,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
15,loudness_sma3_pctlrange02,0.16386732002056276,7.749244340339922e-14,0.026852498570721528,0.1457944547002706,3.122818745457187e-11,0.021256023021349258,0.1457944547002706,6.819335019499131e-12,9.160268320007749e-10,True,True
16,loudness_sma3_meanRisingSlope,0.1582041701604601,5.479984379462397e-13,0.025028559456159814,0.15354506413967092,2.5997472703226985e-12,0.02357608672165566,0.15354506413967092,2.4111931269634547e-11,1.1438887989419873e-10,True,True
14,loudness_sma3_percentile800,0.15197041490518934,4.353404374561352e-12,0.023095007006455393,0.14196863728272996,1.0157361978158342e-10,0.020155093971915342,0.14196863728272996,1.2769986165379965e-10,2.2346196351948354e-09,True,True
78,slopeUV0500_sma3nz_amean,-0.14965846311900993,9.190631383847428e-12,0.022397655583144056,-0.15416063661909254,2.1221178866322902e-12,0.023765501882803897,0.15416063661909254,2.021938904446434e-10,1.1438887989419873e-10,True,True
17,loudness_sma3_stddevRisingSlope,0.14839490389596624,1.3759031705176003e-11,0.022021047502293056,0.13416187188970832,1.0231151036582211e-09,0.017999407868950507,0.13416187188970832,2.0802048381071124e-10,1.2862018445989065e-08,True,True
87,equivalentSoundLevel_dBp,0.1482993845372002,1.4183214805275765e-11,0.021992707454112376,0.11966413599030103,5.3015811840277786e-08,0.014319505442305258,0.11966413599030103,2.0802048381071124e-10,4.241264947222223e-07,True,True
10,loudness_sma3_amean,0.1461967660772311,2.7535294240987026e-11,0.021373494411440628,0.13584746117936214,6.281981578977531e-10,0.018454532708878302,0.13584746117936214,3.461579847438369e-10,1.1056287579000454e-08,True,True
13,loudness_sma3_percentile500,0.1436681878425947,6.038251478335178e-11,0.020640548197975072,0.13064041599394524,2.779927934202506e-09,0.017066918291071063,0.13064041599394524,6.642076626168696e-10,3.0579207276227564e-08,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.14143270986172032,1.195223440936438e-10,0.02000321141882956,0.08280382058690267,0.00017138475942164272,0.006856472703787966,0.08280382058690267,1.1686629200267394e-09,0.0005585873640409095,True,True
18,loudness_sma3_meanFallingSlope,0.13889024538060624,2.5649195533014927e-10,0.019290500261885012,0.12901926320705387,4.365740538118399e-09,0.016645970278491046,0.12901926320705387,2.2571292069053135e-09,4.268724081715768e-08,True,True
