,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,-0.16290067111609294,2.290224769634903e-17,0.026536628650073477,-0.037832518424931384,0.050406409835163084,0.0014312994503727727,0.037832518424931384,2.0153977972787146e-15,0.08871528130988703,True,False
15,loudness_sma3_pctlrange02,0.1585609038417223,1.5940842319591029e-16,0.02514156022710391,0.1487548572043055,1.0493773383056601e-14,0.022128007541873322,0.1487548572043055,5.173484360712799e-15,2.66289130424547e-13,True,True
16,loudness_sma3_meanRisingSlope,0.15833141058746336,1.7636878502429994e-16,0.025068835578615906,0.1558251389277883,5.269014412104302e-16,0.024281473921864524,0.1558251389277883,5.173484360712799e-15,4.636732682651786e-14,True,True
14,loudness_sma3_percentile800,0.15503628983212114,7.408487262733566e-16,0.02403625116490947,0.1519592179492551,2.7524332345457493e-15,0.023091603919749213,0.1519592179492551,1.6298671978013844e-14,1.2110706232001296e-13,True,True
10,loudness_sma3_amean,0.15291774163150962,1.8340484831656288e-15,0.02338383570568113,0.1484088979815665,1.2104051382933955e-14,0.022025201000103016,0.1484088979815665,3.227925330371507e-14,2.66289130424547e-13,True,True
17,loudness_sma3_stddevRisingSlope,0.1520462310101635,2.6531304552095827e-15,0.023118056364396008,0.14294946716386223,1.101471800811504e-13,0.020434550162432126,0.14294946716386223,3.891258000974055e-14,1.6154919745235395e-12,True,True
13,loudness_sma3_percentile500,0.1488118906946699,1.0249358912250564e-14,0.022144978812122382,0.14380768826153614,7.82739322606463e-14,0.02068065120312716,0.14380768826153614,1.2884908346829282e-13,1.377621207787375e-12,True,True
68,mfcc1V_sma3nz_amean,-0.14716572930451127,2.016094275727572e-14,0.02165775188172869,-0.01821576138675427,0.34631332830541917,0.0003318139628991679,0.01821576138675427,2.2177037033003292e-13,0.47618082641995135,True,False
87,equivalentSoundLevel_dBp,0.1404496503652381,2.944460935379972e-13,0.019726104287717625,0.12989793468130947,1.542720097863679e-11,0.01687347343446974,0.12989793468130947,2.879028470149306e-12,1.3575936861200374e-10,True,True
18,loudness_sma3_meanFallingSlope,0.1399206100055399,3.617492175476377e-13,0.019577777104322392,0.13253732598863815,5.899316468877454e-12,0.01756614278021854,0.13253732598863815,3.1833931144192117e-12,6.463926140400397e-11,True,True
19,loudness_sma3_stddevFallingSlope,0.13485713353445417,2.4943295876554616e-12,0.018186446465129603,0.12043627148595419,4.1346433346138917e-10,0.014504895489438462,0.12043627148595419,1.9954636701243693e-11,2.5989186674715893e-09,True,True
66,spectralFluxV_sma3nz_amean,0.12877233868594004,2.3109326019135667e-11,0.01658231521064645,0.1243429933008304,1.0956964329340647e-10,0.015461179983010354,0.1243429933008304,1.694683908069949e-10,7.417022007553668e-10,True,True
