,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
72,mfcc3V_sma3nz_amean,-0.4605745245493998,4.129434265444955e-07,0.21212889266390567,-0.49861886871418215,2.962315709328302e-08,0.24862077623781081,0.49861886871418215,2.1449183414298537e-05,1.3034189121044528e-06,True,True
26,mfcc3_sma3_amean,-0.45378349091089165,6.396814440197504e-07,0.2059194566232753,-0.5016022029160435,2.3762192556011e-08,0.2516047699702277,0.5016022029160435,2.1449183414298537e-05,1.3034189121044528e-06,True,True
13,loudness_sma3_percentile500,0.4516785880329573,7.312221618510864e-07,0.20401354688744594,0.44221988275418544,1.319229896380426e-06,0.1955584247031255,0.44221988275418544,2.1449183414298537e-05,2.200723113956452e-05,True,True
10,loudness_sma3_amean,0.44455185867684754,1.1424910974609414e-06,0.19762635505303983,0.45426031734557504,6.205138242075551e-07,0.20635243591490254,0.45426031734557504,2.513480414414071e-05,1.820173884342162e-05,True,True
14,loudness_sma3_percentile800,0.4247231291952718,3.7541287678153396e-06,0.18038973647342352,0.43501907156464864,2.0432059685928814e-06,0.1892415926249689,0.43501907156464864,6.607266631354998e-05,2.5686017890881936e-05,True,True
87,equivalentSoundLevel_dBp,0.4200369984346981,4.919412869840896e-06,0.17643108005403058,0.4026302763058538,1.296939837731092e-05,0.16211113939812818,0.4026302763058538,7.215138875766647e-05,0.00014266338215042013,True,True
12,loudness_sma3_percentile200,0.40720344187936114,1.0105932575133298e-05,0.16581464307839824,0.440117805365711,1.5004930322430354e-06,0.19370368259992987,0.440117805365711,0.00012704600951596147,2.200723113956452e-05,True,True
78,slopeUV0500_sma3nz_amean,-0.3707073151286731,6.702568759749496e-05,0.13742391348990934,-0.44114256342554087,1.4093634031925297e-06,0.19460676126565735,0.44114256342554087,0.0007372825635724446,2.200723113956452e-05,True,True
20,spectralFlux_sma3_amean,0.36159418857170544,0.00010390398532801023,0.13075035720883008,0.3581121777218164,0.00012242900667378987,0.12824433183266182,0.3581121777218164,0.0010159500787627668,0.0010773752587293509,True,True
66,spectralFluxV_sma3nz_amean,0.3507521241788969,0.00017211537305387742,0.12302705261600831,0.3482001517393019,0.00019331956097703572,0.12124334567127287,0.3482001517393019,0.0015146152828741215,0.0015465564878162858,True,True
