,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
13,loudness_sma3_percentile500,0.47635865464382676,8.867147131831774e-09,0.22691756785407663,0.48446589766868986,4.541564170472994e-09,0.23470720600392947,0.48446589766868986,7.211628581459999e-07,1.3321921566720784e-07,True,True
10,loudness_sma3_amean,0.4687246932387074,1.6390064957863635e-08,0.21970283805172036,0.49494529781224034,1.8630357367718857e-09,0.2449708478264473,0.49494529781224034,7.211628581459999e-07,9.60154474283923e-08,True,True
12,loudness_sma3_percentile200,0.4563272258424934,4.307180674736646e-08,0.208234537045106,0.49311138920829617,2.1821692597361887e-09,0.24315884216693576,0.49311138920829617,1.2634396645894163e-06,9.60154474283923e-08,True,True
14,loudness_sma3_percentile800,0.4441767948336417,1.0705078723170175e-07,0.19729302506868704,0.47117342871120654,1.3480640210834689e-08,0.22200439992347443,0.47117342871120654,2.3551173190974384e-06,2.9657408463836316e-07,True,True
87,equivalentSoundLevel_dBp,0.4357909835539414,1.9662318907406734e-07,0.18991378134691164,0.37447337183378704,1.0510858080162312e-05,0.14023030621256571,0.37447337183378704,3.4605681277035854e-06,0.00013213650157918336,True,True
72,mfcc3V_sma3nz_amean,-0.4332043925623599,2.3640434143753113e-07,0.1876660457353232,-0.41864361820837126,6.484985628102424e-07,0.17526247906659653,0.41864361820837126,3.4672636744171235e-06,9.511312254550222e-06,True,True
26,mfcc3_sma3_amean,-0.42082111551541146,5.59331824749887e-07,0.17709041126363528,-0.4200216760370186,5.906179217085314e-07,0.1764182083409462,0.4200216760370186,7.031600082570008e-06,9.511312254550222e-06,True,True
20,spectralFlux_sma3_amean,0.37511669867526454,1.0121472254651326e-05,0.14071253762502922,0.36990052156075653,1.3714287360868473e-05,0.1368263958509197,0.36990052156075653,0.00011133619480116459,0.0001508571609695532,True,True
30,jitterLocal_sma3nz_amean,-0.358395230205428,2.6316069228352868e-05,0.12844714103400173,-0.2969783362886494,0.0005720192084562909,0.08819613222477413,0.2969783362886494,0.00023855448790620028,0.0033558460229435733,True,True
66,spectralFluxV_sma3nz_amean,0.3578608790457357,2.7108464534795486e-05,0.1280644087513867,0.35847224710776987,2.6203671353059943e-05,0.12850235194649404,0.35847224710776987,0.00023855448790620028,0.00025621367545214163,True,True
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,-0.3262961931322353,0.00014267766635874587,0.106469205652589,-0.18053197147793434,0.03906838730475014,0.0325917927257097,0.18053197147793434,0.001141421330869967,0.08185757340042886,True,False
17,loudness_sma3_stddevRisingSlope,0.3230510948605388,0.00016756779905900766,0.10436200989059283,0.3108845611106526,0.00030137553713290277,0.0966492103369631,0.3108845611106526,0.001228830526432723,0.0020400805590534954,True,True
78,slopeUV0500_sma3nz_amean,-0.3148074901130936,0.0002500888220923785,0.09910375583130553,-0.321356432972836,0.00018211634240355846,0.10326995701302484,0.321356432972836,0.0016929089495484081,0.0014569307392284677,True,True
0,F0semitoneFrom275Hz_sma3nz_amean,0.2818326441938273,0.0011095151651636444,0.07942963933328447,0.192919048691899,0.027266647099122923,0.037217759348187295,0.192919048691899,0.006974095323885765,0.06314381433481098,True,False
54,F3bandwidth_sma3nz_amean,-0.27627700324205084,0.0014020085130756605,0.07632898252040818,-0.21901748163992468,0.011959493185672137,0.047968657263894744,0.21901748163992468,0.007255080097831402,0.03189198182845903,True,True
49,F2bandwidth_sma3nz_stddevNorm,-0.27622061442620394,0.0014053076552953984,0.07629782783398963,-0.3124388217141473,0.0002799908275462712,0.0976180173141247,0.3124388217141473,0.007255080097831402,0.0020400805590534954,True,True
76,alphaRatioUV_sma3nz_amean,0.27513864693517487,0.001469996113343849,0.07570127503731881,0.26223472018304167,0.002479894732968287,0.06876704846947816,0.26223472018304167,0.007255080097831402,0.009919578931873148,True,True
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.27491024575318945,0.0014839936563746051,0.07557564322007902,-0.19422817117965316,0.026219097668679813,0.03772458247979265,0.19422817117965316,0.007255080097831402,0.06235893499577901,True,False
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,-0.269629395893329,0.0018434288798185104,0.07270001112980155,-0.14525830592610417,0.09784026945764371,0.02109997544052167,0.14525830592610417,0.008537986390738364,0.15654443113222993,True,False
84,StddevVoicedSegmentLengthSec,-0.2653618085617324,0.0021897787729326435,0.07041688944315352,-0.05312205615342181,0.546769367164616,0.0028219528499673,0.05312205615342181,0.009434892965219419,0.6331013725063974,True,False
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,-0.26466627565331674,0.0022515085485182705,0.07004823746819744,-0.18815850730744288,0.03138206778944969,0.03540362387216504,0.18815850730744288,0.009434892965219419,0.07081081962747623,True,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.2632780385984792,0.0023794504748845743,0.0693153256082623,0.268606986522789,0.0019215406298786816,0.07214971320885377,0.268606986522789,0.009517801899538297,0.0084547787714662,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.25924758085627697,0.0027890335765101497,0.06720930817983187,0.2836279332941056,0.0010276611509365116,0.08044480454468562,0.2836279332941056,0.010570912629259164,0.005652136330150813,True,True
34,HNRdBACF_sma3nz_amean,0.2583990634368659,0.0028829761716161356,0.06677007598504946,0.34908677283120493,4.3791654680402956e-05,0.12186157496570528,0.34908677283120493,0.010570912629259164,0.00038536656118754603,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.2520324976095764,0.0036839503919666944,0.06352037985132114,0.280788242110338,0.0011598321341243618,0.07884203690741377,0.280788242110338,0.012599303172953828,0.006003836929584932,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.25102823965115967,0.003827118422889452,0.06301517710236006,0.30419718288652203,0.00041177182875276803,0.09253592607609613,0.30419718288652203,0.012599303172953828,0.0025882800664459703,True,True
25,mfcc2_sma3_stddevNorm,-0.2507634145977109,0.0038656952917017423,0.06288229010070345,-0.06768864872861524,0.4423752217510468,0.004581753166705866,0.06768864872861524,0.012599303172953828,0.5332742399190701,True,False
15,loudness_sma3_pctlrange02,0.24667925867186258,0.004506491227416069,0.06085065665889969,0.25569001680631764,0.003202317488613929,0.065377384694415,0.25569001680631764,0.013910347842475919,0.011741830791584407,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.24622059212821312,0.004584091902634109,0.060624579987967886,-0.2646485998460728,0.002253097636893488,0.07003888140048677,0.2646485998460728,0.013910347842475919,0.00944155200222033,True,True
39,logRelF0H1A3_sma3nz_stddevNorm,-0.24478519218239198,0.004834731019936204,0.059919790311770575,-0.2329309976385251,0.007419639769676841,0.054256849660878584,0.2329309976385251,0.014181877658479532,0.021764276657718736,True,True
58,alphaRatioV_sma3nz_amean,0.23937186586108636,0.005893849828786674,0.05729889016581792,0.2212703546418147,0.011090099535022139,0.04896056984331444,0.2212703546418147,0.016730928546233138,0.03049777372131088,True,True
16,loudness_sma3_meanRisingSlope,0.23717909847090846,0.006378611195621785,0.05625392475147289,0.24344475175278518,0.0050797804363421515,0.0592653471559752,0.24344475175278518,0.017151754735387714,0.015965024228503905,True,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.23694714677966822,0.006431908025770393,0.05614395036702564,0.1086550933411404,0.2166978638915082,0.011805929308971933,0.1086550933411404,0.017151754735387714,0.29795956285082376,True,False
28,mfcc4_sma3_amean,-0.23516521487828113,0.006854732662957423,0.05530267828874814,-0.1953226793254438,0.025369852306040965,0.038150949058870155,0.1953226793254438,0.01769889271640815,0.06201519452587791,True,False
32,shimmerLocaldB_sma3nz_amean,-0.23441770561167719,0.007039332330389604,0.05495166070424295,-0.24912499312929173,0.0041122218594308955,0.062063262201669654,0.24912499312929173,0.01769889271640815,0.013918289370381491,True,True
35,HNRdBACF_sma3nz_stddevNorm,-0.23157141300226056,0.007783257545879417,0.05362531931986353,-0.26091994399863955,0.0026119269605992227,0.0680792171762532,0.26091994399863955,0.018717582160543863,0.009993459675336156,True,True
85,MeanUnvoicedSegmentLength,-0.2312557950128564,0.007869892499319579,0.05347924272702826,-0.15997543209376877,0.06796667679133156,0.025592138873588022,0.15997543209376877,0.018717582160543863,0.12206260321708526,True,False
48,F2bandwidth_sma3nz_amean,0.22733419626861953,0.00901974046572798,0.051680836793099226,0.09982554977264152,0.25660941172471186,0.009965140387410129,0.09982554977264152,0.020394175945258136,0.34315988631692523,True,False
