,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
16,loudness_sma3_meanRisingSlope,0.41723005962716797,1.0153814942228753e-10,0.17408092265649014,0.4590487089582553,6.437980194958766e-13,0.21072571719624097,0.4590487089582553,8.935357149161303e-09,1.0407367623775472e-11,True,True
18,loudness_sma3_meanFallingSlope,0.40867457735815604,2.6321772367372083e-10,0.16701491017886747,0.46257103664893023,4.0697262414551817e-13,0.21397196394646595,0.46257103664893023,1.1581579841643716e-08,8.9533977312014e-12,True,True
66,spectralFluxV_sma3nz_amean,0.399180805793083,7.342899549491388e-10,0.15934531571361507,0.5227762433467035,6.707262888156798e-17,0.27329500060769174,0.5227762433467035,1.5314923548763894e-08,2.951195670788991e-15,True,True
15,loudness_sma3_pctlrange02,0.39877963697291446,7.662796510347558e-10,0.15902519886424946,0.4644870002320692,3.164146825047885e-13,0.21574817338458624,0.4644870002320692,1.5314923548763894e-08,8.9533977312014e-12,True,True
14,loudness_sma3_percentile800,0.3963408648536396,9.918385645215615e-10,0.15708608115293102,0.4582961755298188,7.095932470756002e-13,0.21003538450525847,0.4582961755298188,1.5314923548763894e-08,1.0407367623775472e-11,True,True
20,spectralFlux_sma3_amean,0.3958522189435176,1.0441993328702655e-09,0.1566989792425066,0.5381633009560027,5.418333800243227e-18,0.28961973849586115,0.5381633009560027,1.5314923548763894e-08,4.768133744214039e-16,True,True
19,loudness_sma3_stddevFallingSlope,0.3934780795786032,1.339120685093773e-09,0.1548249991088656,0.36197478186901794,3.031223263246698e-08,0.13102574270912312,0.36197478186901794,1.683466004117886e-08,2.4249786105973586e-07,True,True
87,equivalentSoundLevel_dBp,0.3870716363920777,2.5948103609216786e-09,0.1498244516992408,0.40034599461803194,6.485403986418886e-10,0.16027691540670125,0.40034599461803194,2.8542913970138464e-08,5.70715550804862e-09,True,True
10,loudness_sma3_amean,0.38466573782889996,3.31444409779231e-09,0.147967729859452,0.44719058185349003,2.9024827848184593e-12,0.19997941649846296,0.44719058185349003,3.240789784508036e-08,3.192731063300305e-11,True,True
17,loudness_sma3_stddevRisingSlope,0.3813934260499415,4.60919749359021e-09,0.14546094543411217,0.3330122900640658,4.0221893852131254e-07,0.1108971853337135,0.3330122900640658,4.056093794359385e-08,2.722712814605808e-06,True,True
13,loudness_sma3_percentile500,0.36641032779556176,1.9930079142831307e-08,0.13425652831525103,0.4343593609815343,1.3884789303083642e-11,0.18866805447228685,0.4343593609815343,1.5944063314265046e-07,1.3576238429681782e-10,True,True
80,spectralFluxUV_sma3nz_amean,0.35674215922949887,4.9308396935471433e-08,0.1272649681717251,0.45188958851787175,1.6092371405756743e-12,0.20420420021085145,0.45188958851787175,3.6159491086012386e-07,2.0230409767237048e-11,True,True
