,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
16,loudness_sma3_meanRisingSlope,0.4048311956779921,2.568115334390549e-11,0.16388829699407273,0.48719658215103817,2.285906922329588e-16,0.23736050965965327,0.48719658215103817,1.6746869757849896e-09,3.4335095638714885e-15,True,True
18,loudness_sma3_meanFallingSlope,0.40161333261096294,3.806106763147704e-11,0.16129326893088394,0.4905446337509613,1.329203166000142e-16,0.24063403770186476,0.4905446337509613,1.6746869757849896e-09,2.924246965200312e-15,True,True
14,loudness_sma3_percentile800,0.3885746396448195,1.7960477220914207e-10,0.15099025057510132,0.4870485990756836,2.3410292480941965e-16,0.23721633786158597,0.4870485990756836,3.3468618949993606e-09,3.4335095638714885e-15,True,True
15,loudness_sma3_pctlrange02,0.3885347299327904,1.8044110277661724e-10,0.1509592363639464,0.4925221307953196,9.622771993961297e-17,0.2425780493231619,0.4925221307953196,3.3468618949993606e-09,2.8226797848953142e-15,True,True
19,loudness_sma3_stddevFallingSlope,0.38808356014061424,1.901626076704182e-10,0.15060884965141375,0.39674489301233856,6.847456141113826e-11,0.15740651013137197,0.39674489301233856,3.3468618949993606e-09,5.477964912891061e-10,True,True
66,spectralFluxV_sma3nz_amean,0.3864326036427359,2.3026302814777476e-10,0.14933015715810383,0.5438957001935397,1.0006611021347175e-20,0.29582253268902087,0.5438957001935397,3.3537104286277947e-09,4.402908849392757e-19,True,True
20,spectralFlux_sma3_amean,0.3851564678326539,2.667724204590291e-10,0.14834550471332617,0.5582452559103451,5.768438723807603e-22,0.3116377657464067,0.5582452559103451,3.3537104286277947e-09,5.07622607695069e-20,True,True
17,loudness_sma3_stddevRisingSlope,0.3809203369701402,4.328605486821984e-10,0.14510030311744518,0.36952598739198783,1.5381344587156153e-09,0.13654945535802354,0.36952598739198783,4.648943426935628e-09,1.1279652697247847e-08,True,True
10,loudness_sma3_amean,0.38009173532991775,4.754601232093256e-10,0.14446972726610824,0.47698792198893547,1.1517167563017227e-15,0.2275174777233228,0.47698792198893547,4.648943426935628e-09,1.266888431931895e-14,True,True
87,equivalentSoundLevel_dBp,0.37542077865253504,8.031327826970704e-10,0.1409407610440757,0.4166458786201379,5.839227702557008e-12,0.17359378817114668,0.4166458786201379,7.06756848773422e-09,5.138520378250167e-11,True,True
13,loudness_sma3_percentile500,0.36306739245580494,3.0883580823294957e-09,0.13181793146465748,0.46516585694243523,7.0133622125578235e-15,0.2163792744649901,0.46516585694243523,2.4706864658635966e-08,6.857509718945428e-14,True,True
80,spectralFluxUV_sma3nz_amean,0.3540915081742204,7.932716356278306e-09,0.12538079616109402,0.4772369072603859,1.1078833766715891e-15,0.2277550656514582,0.4772369072603859,5.817325327937425e-08,1.266888431931895e-14,True,True
12,loudness_sma3_percentile200,0.29698983248052013,1.6658539710657082e-06,0.0882029605968074,0.36268770174469467,3.2160046873749656e-09,0.1315423689968486,0.36268770174469467,1.1276549957983256e-05,2.1769877883768997e-08,True,True
78,slopeUV0500_sma3nz_amean,-0.251631874620744,5.53600215615332e-05,0.06331860032514983,-0.254443535851301,4.535726645815193e-05,0.06474151293651229,0.254443535851301,0.0003479772783867801,0.0002494649655198356,True,True
36,logRelF0H1H2_sma3nz_amean,-0.239924777405427,0.00012385697307635546,0.0575638988130437,-0.2716164316039268,1.2767320329757499e-05,0.07377548591725064,0.2716164316039268,0.0007266275753812853,7.4901612601244e-05,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.18377479024902663,0.0034786548562856724,0.03377317353107373,0.2041000674992314,0.0011471334807278016,0.041656837553190815,0.2041000674992314,0.0191326017095712,0.005047387315202327,True,True
64,slopeV5001500_sma3nz_amean,-0.17211648671686833,0.006263525699738137,0.02962408499975791,-0.2926107458822705,2.4015042467425855e-06,0.08562104860577867,0.2926107458822705,0.032422956563350355,1.5095169550953395e-05,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.16121383860585478,0.010524179882556644,0.025989901758034593,0.19081041432085602,0.002398526587070329,0.03640861421329673,0.19081041432085602,0.0504361248954394,0.009594106348281317,False,True
74,mfcc4V_sma3nz_amean,-0.16047414773586097,0.01088961787515169,0.02575195209155093,-0.14610739270856962,0.02057670487534907,0.021347370204096185,0.14610739270856962,0.0504361248954394,0.047651316553439946,False,True
26,mfcc3_sma3_amean,-0.15919223943403166,0.011549538324563187,0.025342169096022063,-0.253498867956126,4.851067526153486e-05,0.0642616760550374,0.253498867956126,0.050817968628078025,0.0002511140837067687,False,True
82,VoicedSegmentsPerSec,0.15586216324995805,0.013431365875261085,0.024293013932956575,0.20588074740410933,0.0010354999634764738,0.042386882151674674,0.20588074740410933,0.05628381890585597,0.004795999830838405,False,True
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.1542270994200021,0.014450234497188075,0.02378599819550721,-0.17956095925257606,0.00431980944992795,0.032242138087705284,0.17956095925257606,0.0578009379887523,0.015839301316402484,False,True
21,spectralFlux_sma3_stddevNorm,0.1493212373255095,0.017924635804798215,0.022296831916421133,0.0945864028438561,0.1350703665441389,0.008946587602940228,0.0945864028438561,0.0673609274725988,0.2285806203054658,False,False
34,HNRdBACF_sma3nz_amean,0.14875236610745962,0.01837116203798149,0.022127266422567703,0.15648796978491553,0.01305843081995452,0.024488484687404635,0.15648796978491553,0.0673609274725988,0.034822482186545385,False,True
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,-0.13353094431093107,0.034477161173641635,0.017830513088568974,-0.1239878700026004,0.049749710189076674,0.015372991907781738,0.1239878700026004,0.12135960733121855,0.09728832214752772,False,False
85,MeanUnvoicedSegmentLength,-0.12882429355479566,0.041422280146899984,0.016595698609892167,-0.13312650205722945,0.03503234233232835,0.017722665549993518,0.13312650205722945,0.1401984866510461,0.07519136890841208,False,False
69,mfcc1V_sma3nz_stddevNorm,-0.12088737577328759,0.05578947063621603,0.014613757621352039,-0.09335131176367216,0.14026553063698977,0.008714467407998316,0.09335131176367216,0.18183234874025966,0.23289371124632263,False,False
33,shimmerLocaldB_sma3nz_stddevNorm,0.11887695747795408,0.06002113557241333,0.014131731019215303,0.1583808958751031,0.011985217211950106,0.025084508178200248,0.1583808958751031,0.18863785465615618,0.03295934733286279,False,True
86,StddevUnvoicedSegmentLength,-0.11179243034578362,0.07708931752209573,0.012497547482616883,-0.07464803710566802,0.2386415940582662,0.005572329443729189,0.07464803710566802,0.23392620489463534,0.3484592364089897,False,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.10913823296819213,0.08441899887995309,0.011911153895419378,0.17093241134210532,0.0066362258676412435,0.029217889247226698,0.17093241134210532,0.23966574892175543,0.02242926529717825,False,True
68,mfcc1V_sma3nz_amean,0.1091351921013062,0.08442770700652749,0.011910490154989009,0.18358980420347287,0.0035122207502772886,0.0337052162074695,0.18358980420347287,0.23966574892175543,0.013438062001060931,False,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,-0.10412894850827265,0.0997729007363551,0.010842837917438496,-0.1694329125291368,0.007136584412738534,0.028707511848106125,0.1694329125291368,0.272898872114499,0.02242926529717825,False,True
28,mfcc4_sma3_amean,-0.10335323101043194,0.10233707704293711,0.01068189036029571,-0.1478539180100609,0.01909609977605064,0.02186078107092581,0.1478539180100609,0.272898872114499,0.04581543358513859,False,True
63,slopeV0500_sma3nz_stddevNorm,0.10224966923957744,0.10607445342925668,0.01045499485960299,0.10052119275533125,0.11214344712876237,0.01010451019295446,0.10052119275533125,0.27454564416984084,0.19737246694662175,False,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.09940490264432768,0.116205409653945,0.009881334669728264,0.1916986206763239,0.002286459814699395,0.036748361169205115,0.1916986206763239,0.29217360141563314,0.009581355413978417,False,True
39,logRelF0H1A3_sma3nz_stddevNorm,-0.09217895221999603,0.1453368614949728,0.008496959232376311,-0.11886291114632858,0.06005160681832625,0.014128391646180002,0.11886291114632858,0.35526788365437795,0.114881334782885,False,False
75,mfcc4V_sma3nz_stddevNorm,-0.09086680172737145,0.15117709391431433,0.008256775656161435,0.03963808099355148,0.5319077749656523,0.0015711774648513473,0.03963808099355148,0.3595563314718827,0.6065059870536627,False,False
67,spectralFluxV_sma3nz_stddevNorm,0.08832916653363984,0.16297350411116812,0.007802041660527481,0.14865618741868505,0.018447604717940068,0.022098662057859216,0.14865618741868505,0.3679237417461393,0.04581543358513859,False,True
35,HNRdBACF_sma3nz_stddevNorm,-0.08831168133008807,0.16305711281931173,0.007798953059347026,-0.03685285047790819,0.5611447107891021,0.001358132588347058,0.03685285047790819,0.3679237417461393,0.6096386981412467,False,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.08475534297290517,0.1807386324699612,0.007183468162454786,-0.16620334186069477,0.008330115609979087,0.027623550845662974,0.16620334186069477,0.3976249914339146,0.02527759219579861,False,True
65,slopeV5001500_sma3nz_stddevNorm,0.0821405448156733,0.19461463595961245,0.006747069102615634,-0.11061780550567664,0.08026688212591995,0.012236298894891705,0.11061780550567664,0.4080623639659322,0.15028692823576503,False,False
50,F2amplitudeLogRelF0_sma3nz_amean,0.08211442906160953,0.19475703734737673,0.006742779460114103,0.16964555026521502,0.007063641365980072,0.028779612724787598,0.16964555026521502,0.4080623639659322,0.02242926529717825,False,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.07935598268774258,0.21022880838453048,0.0062973719883372995,0.15451227362040562,0.014267798862146491,0.023874042699347096,0.15451227362040562,0.4302357008799693,0.03692842058437915,False,True
72,mfcc3V_sma3nz_amean,-0.07729313461402398,0.22236349211408968,0.005974228658461632,-0.13157414309292842,0.0372342402071644,0.017311755130638404,0.13157414309292842,0.44472698422817936,0.07801459852929683,False,False
24,mfcc2_sma3_amean,-0.0718355811898402,0.2568472691891005,0.005160350724882122,-8.821606526081902e-05,0.9988904388518511,7.782074170101079e-09,8.821606526081902e-05,0.47883982231594835,0.9988904388518511,False,False
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.07182351449388426,0.2569273899169347,0.005158617234253202,-0.011605771929138755,0.8548306780448435,0.00013469394207118508,0.011605771929138755,0.47883982231594835,0.8955369008088836,False,False
58,alphaRatioV_sma3nz_amean,-0.07149952297967374,0.2590850853984107,0.005112181786320893,-0.14765090544837675,0.019263307302842363,0.02180078987972549,0.14765090544837675,0.47883982231594835,0.04581543358513859,False,True
46,F2frequency_sma3nz_amean,-0.07118593358206587,0.2611853576268809,0.005067437139950294,0.07118430606083913,0.2611962884221879,0.0050672054293632186,0.07118430606083913,0.47883982231594835,0.37073021582504084,False,False
25,mfcc2_sma3_stddevNorm,0.07036576350968403,0.2667336807799283,0.00495134067430078,0.04644089738568026,0.4638726361357952,0.002156756949987284,0.04644089738568026,0.47903191650272847,0.551632324053378,False,False
84,StddevVoicedSegmentLengthSec,-0.06873907530041595,0.2779750052415778,0.004725060473156254,-0.05922541270152289,0.3500749367010768,0.003507649509665709,0.05922541270152289,0.4892360092251769,0.45418941733085844,False,False
0,F0semitoneFrom275Hz_sma3nz_amean,0.06787100856808026,0.2841031878406313,0.004606473804048424,0.15927365141009167,0.011506602217952343,0.025368096033503398,0.15927365141009167,0.49021726529363835,0.03266390307031633,False,True
79,slopeUV5001500_sma3nz_amean,-0.06615395856688333,0.29649077431311005,0.004376346234068917,-0.24148531418676542,0.0001115030632510699,0.0583151569678808,0.24148531418676542,0.49068730724930176,0.0005451260870052305,False,True
43,F1bandwidth_sma3nz_stddevNorm,-0.06571927788871108,0.29968288958535244,0.004319023486213629,-0.09207549834128921,0.14579099283743222,0.008477897394796752,0.09207549834128921,0.49068730724930176,0.23758532166100063,False,False
22,mfcc1_sma3_amean,0.06552680594928371,0.3011035749029806,0.004293762297915084,0.17485118830356786,0.005473381568223843,0.030572938051169743,0.17485118830356786,0.49068730724930176,0.019266303120147925,False,True
71,mfcc2V_sma3nz_stddevNorm,0.05814248305398184,0.35897052265200136,0.0033805483356825657,-0.010583240629400949,0.8674976700088441,0.00011200498221980299,0.010583240629400949,0.566068265551507,0.8981152348326856,False,False
11,loudness_sma3_stddevNorm,0.05799109213320514,0.3602252598964135,0.0033629667668018874,0.09885216146805452,0.1182588154421255,0.009771749826906323,0.09885216146805452,0.566068265551507,0.20405442664523615,False,False
62,slopeV0500_sma3nz_amean,-0.05347098342992745,0.3989405884472266,0.0028591460689635756,0.04179541464297884,0.5098015146268491,0.00174685668517853,0.04179541464297884,0.6075093475079786,0.5940001495613717,False,False
61,hammarbergIndexV_sma3nz_stddevNorm,-0.05125863443827188,0.41876389317926255,0.0026274476044763923,-0.037776007928371054,0.5513690791396934,0.0014270267750043527,0.037776007928371054,0.6075093475079786,0.6065059870536627,False,False
27,mfcc3_sma3_stddevNorm,0.05074995000115062,0.423402001102855,0.0025755574251192883,0.0009844468774325773,0.9876183461912239,9.691356544867518e-07,0.0009844468774325773,0.6075093475079786,0.9988904388518511,False,False
32,shimmerLocaldB_sma3nz_amean,-0.05028643558367457,0.4276541596602309,0.002528725603711052,0.055309986205477266,0.38289794484182216,0.0030591945740500856,0.055309986205477266,0.6075093475079786,0.4883336108127587,False,False
60,hammarbergIndexV_sma3nz_amean,0.05027807319973835,0.42773110024939864,0.0025278846446782476,0.16054281860528458,0.01085522580389126,0.025773996605729307,0.16054281860528458,0.6075093475079786,0.03184199569141437,False,True
48,F2bandwidth_sma3nz_amean,0.05024690431415794,0.4280179493806213,0.0025247513931561435,0.13852967686324588,0.0282096413525013,0.01919047137183532,0.13852967686324588,0.6075093475079786,0.06365252407743884,False,False
73,mfcc3V_sma3nz_stddevNorm,0.048007146803882975,0.4489201503926322,0.0023046861442495713,0.06228586729592329,0.3256946941721975,0.003879529264805366,0.06228586729592329,0.6270630672151053,0.43425959222959665,False,False
