,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
18,loudness_sma3_meanFallingSlope,0.526391980061821,7.422157719501462e-07,0.2770885166734045,0.5504815803169315,1.7762384057444753e-07,0.3030299702682263,0.5504815803169315,3.815903122684158e-05,2.2329854243644835e-06,True,True
19,loudness_sma3_stddevFallingSlope,0.5236527989759515,8.67250709700945e-07,0.2742122538753483,0.5598100113046496,9.900440160595514e-08,0.3133872487569119,0.5598100113046496,3.815903122684158e-05,2.2329854243644835e-06,True,True
15,loudness_sma3_pctlrange02,0.5034640198615806,2.622338059298765e-06,0.25347601929518204,0.5548327760841829,1.3553769997620698e-07,0.30783940941728105,0.5548327760841829,7.692191640609712e-05,2.2329854243644835e-06,True,True
16,loudness_sma3_meanRisingSlope,0.4916069165500626,4.863150400134621e-06,0.24167736039986024,0.55503342389878,1.338456065372119e-07,0.30806210164480274,0.55503342389878,0.00010698930880296165,2.2329854243644835e-06,True,True
17,loudness_sma3_stddevRisingSlope,0.4862807311053166,6.3706265169926935e-06,0.23646894944432123,0.5596147595187475,1.0024152294278935e-07,0.3131686790712256,0.5596147595187475,0.0001121230266990714,2.2329854243644835e-06,True,True
14,loudness_sma3_percentile800,0.47829145293819747,9.471974880056062e-06,0.22876271395373196,0.525909941763738,7.62907593504672e-07,0.27658126684593826,0.525909941763738,0.00013892229824082227,7.459540914267904e-06,True,True
10,loudness_sma3_amean,0.4646716358723468,1.8211168035753107e-05,0.21591972918428284,0.5182852215664391,1.1720189845451108e-06,0.2686195708941729,0.5182852215664391,0.00022894039816375334,1.0313767063996975e-05,True,True
13,loudness_sma3_percentile500,0.45452652073949706,2.911301624059264e-05,0.20659435805555246,0.4914095194724747,4.912458165586232e-06,0.24148331582816848,0.4914095194724747,0.000320243178646519,3.929966532468986e-05,True,True
66,spectralFluxV_sma3nz_amean,0.4250042357029046,0.00010509330682766993,0.18062860036541006,0.5514583922650903,1.6721747006621327e-07,0.3041063583995982,0.5514583922650903,0.0010275790000927726,2.2329854243644835e-06,True,True
20,spectralFlux_sma3_amean,0.42117445474025383,0.00012308411486138245,0.17738792132575013,0.5592116100497969,1.0284242681925162e-07,0.3127176248144861,0.5592116100497969,0.0010452243725907313,2.2329854243644835e-06,True,True
12,loudness_sma3_percentile200,0.4197160944399067,0.0001306530465738414,0.17616159993188868,0.44069501967006625,5.3910939856134193e-05,0.19421210036200007,0.44069501967006625,0.0010452243725907313,0.00036493559287229297,True,True
80,spectralFluxUV_sma3nz_amean,0.39836062708525816,0.0003036628028674899,0.15869118921176012,0.5260741781324768,7.55797244719528e-07,0.27675404089776096,0.5260741781324768,0.002226860554361593,7.459540914267904e-06,True,True
87,equivalentSoundLevel_dBp,0.39503810187924987,0.0003445101146090723,0.1560551019363606,0.46981096544831646,1.4276787971072631e-05,0.2207223432554792,0.46981096544831646,0.002332068468122951,0.0001046964451211993,True,True
