,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
19,loudness_sma3_stddevFallingSlope,0.5299809289047399,3.6169924490761547e-07,0.280879785002731,0.5679785683863063,3.2002982403349956e-08,0.32259965414615804,0.5679785683863063,1.6553515289726333e-05,7.343306359361351e-07,True,True
18,loudness_sma3_meanFallingSlope,0.529323988598346,3.762162565846894e-07,0.2801838849056619,0.559118200181503,5.78895118806703e-08,0.3126131617742033,0.559118200181503,1.6553515289726333e-05,7.343306359361351e-07,True,True
15,loudness_sma3_pctlrange02,0.5097403715336051,1.171467663969877e-06,0.25983524637121774,0.5638353882372782,4.2315097910944653e-08,0.3179103450286822,0.5638353882372782,3.4363051476449726e-05,7.343306359361351e-07,True,True
16,loudness_sma3_meanRisingSlope,0.4984138145268144,2.1893145051231657e-06,0.24841633051116974,0.5636824469293338,4.2750525194075776e-08,0.3177379009762412,0.5636824469293338,4.816491911270964e-05,7.343306359361351e-07,True,True
17,loudness_sma3_stddevRisingSlope,0.4919350239189301,3.0997729155523295e-06,0.24200006775811836,0.568507052170008,3.0874312476176296e-08,0.32320026836703214,0.568507052170008,5.4556003313721e-05,7.343306359361351e-07,True,True
14,loudness_sma3_percentile800,0.48692868572192866,4.0358257879164e-06,0.23709954497888477,0.5354014149583501,2.6058443763100447e-07,0.28665467513940346,0.5354014149583501,5.9192111556107205e-05,2.866428813941049e-06,True,True
10,loudness_sma3_amean,0.4741523294182688,7.768714424673162e-06,0.22482043149277048,0.5277765757786754,4.126200950030191e-07,0.2785481139406639,0.5277765757786754,9.766383848160547e-05,3.6310568360265684e-06,True,True
13,loudness_sma3_percentile500,0.46369791730100113,1.3023848288278651e-05,0.2150157585092861,0.5011355260550827,1.8877145290915797e-06,0.2511368154745045,0.5011355260550827,0.00014326233117106516,1.5101716232732638e-05,True,True
66,spectralFluxV_sma3nz_amean,0.4368879568659278,4.5468189736271784e-05,0.19087108685448478,0.5589816963983719,5.841266422219256e-08,0.31246053690840164,0.5589816963983719,0.00044457785519910184,7.343306359361351e-07,True,True
20,spectralFlux_sma3_amean,0.4317570265418516,5.708597556531837e-05,0.18641412996826115,0.566429989188679,3.554061606156622e-08,0.320842932652287,0.566429989188679,0.0005023565849748017,7.343306359361351e-07,True,True
12,loudness_sma3_percentile200,0.4287894686060725,6.500764445793179e-05,0.18386040838747802,0.4511475931512471,2.3691288830578734e-05,0.20353415080616316,0.4511475931512471,0.0005200611556634543,0.0001603718013146868,True,True
80,spectralFluxUV_sma3nz_amean,0.40943238268146726,0.000147395143264886,0.16763487598822344,0.5321079328682246,3.182484383139013e-07,0.283138852221295,0.5321079328682246,0.0010808977172758307,3.1117625079581455e-06,True,True
