,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
15,loudness_sma3_pctlrange02,0.43046590282896957,9.3191859160715e-05,0.18530089349835988,0.4753302232203815,1.2515898691696545e-05,0.2259388211067377,0.4753302232203815,0.0024876147082238146,0.00036713302828976534,True,True
19,loudness_sma3_stddevFallingSlope,0.4248008376941083,0.00011777409748724012,0.18045575170561615,0.4836172664433534,8.367606473434816e-06,0.23388566040214148,0.4836172664433534,0.0024876147082238146,0.00036713302828976534,True,True
10,loudness_sma3_amean,0.4243265531711897,0.00012008273422804095,0.1800530237261425,0.43985077774611314,6.265294381075403e-05,0.19346870668386063,0.43985077774611314,0.0024876147082238146,0.0007876370079066222,True,True
14,loudness_sma3_percentile800,0.4195046605215171,0.00014604559083105672,0.1759841601992733,0.4504826092697173,3.939115160873845e-05,0.20293458125445277,0.4504826092697173,0.0024876147082238146,0.0005777368902614974,True,True
13,loudness_sma3_percentile500,0.41913577255924706,0.00014823105970371506,0.17567479583883688,0.4327406216927974,8.4731490626969e-05,0.18726444566306882,0.4327406216927974,0.0024876147082238146,0.0009320463968966589,True,True
82,VoicedSegmentsPerSec,-0.4157701585449202,0.0001696100937425328,0.1728648247364681,-0.33471708652175464,0.0029258485572642152,0.11203552800961178,0.33471708652175464,0.0024876147082238146,0.01839104807423221,True,True
18,loudness_sma3_meanFallingSlope,0.4090177027369832,0.00022131177400524284,0.16729548115223913,0.49901285896931513,3.8496028879892866e-06,0.24901383341672959,0.49901285896931513,0.002782205158923053,0.0003387650541430572,True,True
54,F3bandwidth_sma3nz_amean,-0.3891768001948877,0.0004685086083289818,0.15145858180993155,-0.2120997602694415,0.0640464967805795,0.044986308306354555,0.2120997602694415,0.0051535946916188,0.21677275833426907,True,False
87,equivalentSoundLevel_dBp,0.3742104885827891,0.0008003558094030469,0.14003348976536972,0.409369131485304,0.00021829845942857606,0.16758308581303213,0.409369131485304,0.007825701247496458,0.0021344738255238546,True,True
83,MeanVoicedSegmentLengthSec,0.3680946613926583,0.0009889832066240862,0.13549367974577575,0.2592625672035212,0.02279270422869828,0.06721707875296035,0.2592625672035212,0.008703052218291958,0.10028789860627244,True,False
