,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
10,loudness_sma3_amean,0.425558184036328,8.312108890149998e-05,0.1810997680002972,0.4489913114389251,2.948721684042823e-05,0.20159319774764586,0.4489913114389251,0.0022041159810336276,0.00037069644027966917,True,True
15,loudness_sma3_pctlrange02,0.42303209321446683,9.253138574217132e-05,0.17895615188941336,0.4832945614471094,5.60177413561251e-06,0.2335736331243538,0.4832945614471094,0.0022041159810336276,0.00016431870797796696,True,True
14,loudness_sma3_percentile800,0.4210934653744339,0.0001004120525224613,0.17731970658104954,0.459267589071143,1.826490388363797e-05,0.2109267183712203,0.459267589071143,0.0022041159810336276,0.0002678852569600236,True,True
13,loudness_sma3_percentile500,0.42051775165224226,0.00010286932140443,0.1768351794546569,0.44202852630188294,4.044146819567377e-05,0.19538921806461443,0.44202852630188294,0.0022041159810336276,0.00044485615015241143,True,True
19,loudness_sma3_stddevFallingSlope,0.4148898562863283,0.0001299982658580671,0.17213359284929014,0.490771861814366,3.80649243482371e-06,0.24085702034873915,0.490771861814366,0.0022041159810336276,0.00016431870797796696,True,True
18,loudness_sma3_meanFallingSlope,0.4113533291357228,0.0001502806350704746,0.1692115613910423,0.5067412449554313,1.6166563305566301e-06,0.2567866893389804,0.5067412449554313,0.0022041159810336276,0.00014226575708898345,True,True
82,VoicedSegmentsPerSec,-0.39761480180680975,0.00026000233744537807,0.1580975306158686,-0.294716659185833,0.007960080799036706,0.08685790920165845,0.294716659185833,0.003268600813599039,0.05003479359394501,True,False
54,F3bandwidth_sma3nz_amean,-0.37668347142932557,0.0005733583143309485,0.14189043764804754,-0.14197510637250743,0.20902430365805813,0.0201569308294848,0.14197510637250743,0.005819653857546595,0.3832112233731066,True,False
83,MeanVoicedSegmentLengthSec,0.37565906665383647,0.0005951918717945382,0.14111973435923156,0.27386655062700527,0.013964384021193436,0.07500288755233404,0.27386655062700527,0.005819653857546595,0.07156223869503649,True,False
87,equivalentSoundLevel_dBp,0.3723692856616053,0.0006705396405861275,0.13865888490413422,0.4185521610088038,0.00011168439948551934,0.17518591148513965,0.4185521610088038,0.005900748837157922,0.0010920252394139669,True,True
12,loudness_sma3_percentile200,0.36573095396694694,0.0008496589311987138,0.13375913068957307,0.35137354588486586,0.001394060196796059,0.12346336874770393,0.35137354588486586,0.006797271449589711,0.009436715178311784,True,True
66,spectralFluxV_sma3nz_amean,0.34447856203482213,0.0017541433666088612,0.1186654797015788,0.4637826650193652,1.4726040865126527e-05,0.21509436037246474,0.4637826650193652,0.012863718021798316,0.0002591783192262269,True,True
16,loudness_sma3_meanRisingSlope,0.3369335185977299,0.0022424695712339386,0.1135241959546468,0.4083152598351107,0.000169995927785499,0.16672135141421396,0.4083152598351107,0.015179794020660506,0.0014959641645123911,True,True
20,spectralFlux_sma3_amean,0.3332325018122124,0.002524029229353334,0.11104390026402615,0.4764845327053669,7.902366834953716e-06,0.22703750990745186,0.4764845327053669,0.01586532658450667,0.00017385207036898175,True,True
17,loudness_sma3_stddevRisingSlope,0.3296489776230606,0.0028264513813930593,0.10866844844792911,0.40359066106126107,0.00020543986114774127,0.1628854216958657,0.40359066106126107,0.016581848104172615,0.0016435188891819302,True,True
