,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
30,jitterLocal_sma3nz_amean,-0.3886101340800493,6.3011916049260955e-12,0.15101783630971388,-0.30750012512775726,8.639131485571343e-08,0.09455632695358637,0.30750012512775726,5.545048612334964e-10,1.8403038405053512e-06,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.3514414465240704,6.951927845140394e-10,0.12351109033493103,-0.2554371305072365,1.0237879664627514e-05,0.06524812764177096,0.2554371305072365,3.058848251861773e-08,8.190303731702011e-05,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.33925171565893747,2.861450808117243e-09,0.11509172657753255,0.29102998505368904,4.348566609154777e-07,0.08469845220035047,0.29102998505368904,6.871533495169689e-08,5.053966612620403e-06,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.3384794265379275,3.123424315986222e-09,0.11456832218944427,0.30560700297718163,1.0456271821053131e-07,0.0933956402686951,0.30560700297718163,6.871533495169689e-08,1.8403038405053512e-06,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.32122286946639755,2.0787710849464465e-08,0.10318413186822628,0.2658213448529577,4.264730716368936e-06,0.07066098737943508,0.2658213448529577,3.658637109505746e-07,3.752963030404664e-05,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.31439319871006943,4.2620689294529216e-08,0.0988430833951492,-0.198022137130903,0.000680872995298405,0.03921276679389015,0.198022137130903,6.251034429864286e-07,0.0028531820755361734,True,True
83,MeanVoicedSegmentLengthSec,0.3014343347520176,1.5850839578167028e-07,0.09086265816739139,0.26785677769310856,3.5764230670673956e-06,0.07174725335613538,0.26785677769310856,1.992676975540998e-06,3.496946998910342e-05,True,True
34,HNRdBACF_sma3nz_amean,0.2939201631415515,3.2985964330077e-07,0.08638906230115626,0.3537544899654877,5.278378161631035e-10,0.12514223917074233,0.3537544899654877,3.62845607630847e-06,4.5835307453671245e-08,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.2799653755679614,1.2180216701880954e-06,0.07838061151690968,0.3361404309648727,4.066478100315412e-09,0.11299038932925037,0.3361404309648727,1.1909545219616932e-05,1.192833576092521e-07,True,True
62,slopeV0500_sma3nz_amean,0.2682315951546024,3.461815761185603e-06,0.07194818863918251,0.1986945852760791,0.0006521612581151106,0.03947953821803307,0.1986945852760791,3.0463978698433307e-05,0.0028531820755361734,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.25947562591280154,7.314980891892446e-06,0.06732760044284013,0.293011483273791,3.599198908238205e-07,0.0858557293303071,0.293011483273791,5.851984713513957e-05,5.053966612620403e-06,True,True
0,F0semitoneFrom275Hz_sma3nz_amean,0.24973819567157587,1.6298029818979668e-05,0.06236916637729432,0.29045075724323244,4.5945151023821846e-07,0.08436164238316714,0.29045075724323244,0.00011951888533918424,5.053966612620403e-06,True,True
67,spectralFluxV_sma3nz_stddevNorm,0.23758926684148052,4.2344086621001726e-05,0.05644865971827223,0.3480103171008366,1.0417115330379828e-09,0.12111118080862483,0.3480103171008366,0.0002866368940498578,4.5835307453671245e-08,True,True
33,shimmerLocaldB_sma3nz_stddevNorm,0.23084660765384665,7.043351657378206e-05,0.05329015626528901,0.25107555436407825,1.4627777089180668e-05,0.0630389339992292,0.25107555436407825,0.00044272496132091585,0.00010727036532065824,True,True
79,slopeUV5001500_sma3nz_amean,0.22815280204588703,8.595372638772647e-05,0.052053701081389715,0.11647008609389231,0.047140010187236736,0.013565280954718687,0.11647008609389231,0.000504261861474662,0.0987695451542103,True,False
15,loudness_sma3_pctlrange02,0.22234380766559145,0.0001310064260760551,0.04943676880723352,0.17180658556262804,0.003281290604955125,0.029517502842688628,0.17180658556262804,0.000720535343418303,0.010694576786520407,True,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.21816110748346965,0.0001762641485122835,0.047594268818414,0.2017362136041282,0.0005357512696597911,0.04069749987933043,0.2017362136041282,0.0009124261805341735,0.0024813743015821904,True,True
16,loudness_sma3_meanRisingSlope,0.21594329566333184,0.00020583186484127912,0.04663150694194115,0.20362505831411787,0.00047348776716950417,0.0414631643734279,0.20362505831411787,0.0009749137956655896,0.002314829083939798,True,True
86,StddevUnvoicedSegmentLength,-0.21562120436260704,0.00021049275133688868,0.04649250377078115,-0.15323447966729795,0.008839130101385989,0.02348080575890755,0.15323447966729795,0.0009749137956655896,0.02430760777881147,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.2113678144451267,0.00028204409132444314,0.04467635298330951,-0.09222367380709767,0.11646305486977485,0.008505206010477953,0.09222367380709767,0.0012409940018275499,0.1970913236257728,True,False
35,HNRdBACF_sma3nz_stddevNorm,-0.208387053728867,0.0003450627444881977,0.04342516416179771,-0.11816862367072072,0.043989386577135116,0.013963823620232416,0.11816862367072072,0.0014459772149981616,0.09441624436068026,True,False
17,loudness_sma3_stddevRisingSlope,0.2030960621251558,0.0004902119639074585,0.041248010450745144,0.21430302878875415,0.00023061440418572541,0.04592578814803359,0.21430302878875415,0.001960847855629834,0.0011937686804908139,True,True
14,loudness_sma3_percentile800,0.19928008866758742,0.0006280783735367445,0.03971255373936151,0.18973819996200503,0.0011445339204671997,0.036000584524821806,0.18973819996200503,0.0024030824726623268,0.0040287594000445424,True,True
10,loudness_sma3_amean,0.19020335643949826,0.0011122541302662297,0.036177316800850824,0.19453654212688978,0.0008493492104464311,0.03784446622268716,0.19453654212688978,0.004029948621227887,0.003249683935621128,True,True
12,loudness_sma3_percentile200,0.18973339565039224,0.0011448717673942861,0.03599876142502828,0.16780368175461055,0.004097223111323504,0.02815807561040262,0.16780368175461055,0.004029948621227887,0.01287698692130244,True,True
84,StddevVoicedSegmentLengthSec,0.18873134996542784,0.0012173755608831623,0.0356195224597728,0.22110978429675043,0.00014307587256005605,0.048889536711755506,0.22110978429675043,0.0041203480522199335,0.0007869172990803083,True,True
