,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.3197720960215807,1.315923445816909e-11,0.10225419339403502,-0.24484978599984955,3.008340893308018e-07,0.05995141770417212,0.24484978599984955,1.15801263231888e-09,2.0364153739315815e-06,True,True
30,jitterLocal_sma3nz_amean,-0.3149765801106222,2.740952696456609e-11,0.09921024601818319,-0.2369642318155119,7.308237532761011e-07,0.05615204715991567,0.2369642318155119,1.206019186440908e-09,4.019530643018556e-06,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.3055114850688244,1.1228269290254567e-10,0.09333726750895853,-0.1689675831805163,0.0004539523899862967,0.028550044165864694,0.1689675831805163,2.8541264854446455e-09,0.0017368613182084395,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.30328355275558994,1.5534750663600419e-10,0.0919809133720527,0.25655569244091586,7.608892769865234e-08,0.06582082332383782,0.25655569244091586,2.8541264854446455e-09,7.439806263868228e-07,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.3029873267884388,1.6216627758208212e-10,0.0918013201944042,0.2742906983350778,8.30227884364345e-09,0.07523538719314465,0.2742906983350778,2.8541264854446455e-09,1.2026256820076207e-07,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.2994586502140051,2.695122940966316e-10,0.08967548318799384,0.2466638413968608,2.442069006767504e-07,0.060843050652655696,0.2466638413968608,3.95284698008393e-09,1.7908506049628364e-06,True,True
15,loudness_sma3_pctlrange02,0.2569541154024394,7.252286207704786e-08,0.06602541742225014,0.2581234254270381,6.296392038098272e-08,0.0666277027541877,0.2581234254270381,8.70672188332759e-07,6.926031241908099e-07,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.2561159793881089,8.022096313436016e-08,0.06559539489793023,-0.13053298795205343,0.00691335362276454,0.017038860943690923,0.13053298795205343,8.70672188332759e-07,0.017382146251522273,True,True
12,loudness_sma3_percentile200,0.2546107310256639,9.606964244139548e-08,0.06482662435342297,0.2520067250132007,1.3087796360812102e-07,0.06350738945187896,0.2520067250132007,8.70672188332759e-07,1.0715474348334291e-06,True,True
16,loudness_sma3_meanRisingSlope,0.2543640182043283,9.894002140144988e-08,0.06470105375705186,0.2827687398673473,2.7174566041667672e-09,0.07995816024616752,0.2827687398673473,8.70672188332759e-07,7.928560271351253e-08,True,True
83,MeanVoicedSegmentLengthSec,0.24968911481250916,1.7184381168585252e-07,0.06234465405585438,0.2405768445308578,4.88496352381937e-07,0.05787721812442452,0.2405768445308578,1.274446208074292e-06,2.865845267307364e-06,True,True
14,loudness_sma3_percentile800,0.2495928680869474,1.7378811928285797e-07,0.06229659979986832,0.276333532321583,6.3654397010149496e-09,0.07636022108532334,0.276333532321583,1.274446208074292e-06,1.1203173873786312e-07,True,True
10,loudness_sma3_amean,0.248289567315947,2.0229593269061489e-07,0.06164770923794018,0.2806526045211749,3.6038910324323878e-09,0.07876588442451901,0.2806526045211749,1.3693878520595468e-06,7.928560271351253e-08,True,True
13,loudness_sma3_percentile500,0.24103369984876416,4.640217255097927e-07,0.05809724446278413,0.27319393076280235,9.566340652333345e-09,0.07463492380563085,0.27319393076280235,2.916707988918697e-06,1.2026256820076207e-07,True,True
40,F1frequency_sma3nz_amean,-0.2333722098924105,1.0839676486228423e-06,0.0544625883500673,-0.18583000947940792,0.00011226711727301873,0.03453279242311684,0.18583000947940792,6.359276871920675e-06,0.0004490684690920749,True,True
18,loudness_sma3_meanFallingSlope,0.22218271720472002,3.5557725593094626e-06,0.04936515982447259,0.24411839285568152,3.270710706165182e-07,0.059593789730440855,0.24411839285568152,1.9556749076202044e-05,2.0558753010181144e-06,True,True
