,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
15,loudness_sma3_pctlrange02,0.35858023442170284,7.576444165784872e-23,0.12857978451792337,0.36725294369831174,5.7674286281317495e-24,0.13487472465507533,0.36725294369831174,6.6672708658906866e-21,1.69177906425198e-22,True,True
16,loudness_sma3_meanRisingSlope,0.3480989595713298,1.534467617966181e-21,0.1211728856546423,0.36228748973645036,2.5441914460249437e-23,0.13125222521953864,0.36228748973645036,6.751657519051196e-20,5.597221181254876e-22,True,True
14,loudness_sma3_percentile800,0.33360238896967187,8.192901109079693e-20,0.11129055392627225,0.3544913426999655,2.4830043033382766e-22,0.1256641120492244,0.3544913426999655,2.40325099199671e-18,4.370087573875367e-21,True,True
10,loudness_sma3_amean,0.32342683530460214,1.181093677199359e-18,0.10460491779515024,0.3361668615208907,4.1157725666808304e-20,0.1130081587848057,0.3361668615208907,2.59840608983859e-17,4.527349823348913e-19,True,True
17,loudness_sma3_stddevRisingSlope,0.3209815281021944,2.2094939097618266e-18,0.1030291413828198,0.3283021214971531,3.330513512346741e-19,0.10778228297953148,0.3283021214971531,3.428950979094628e-17,3.2565021009612576e-18,True,True
18,loudness_sma3_meanFallingSlope,0.32075983915129247,2.3379211221099734e-18,0.10288687441236302,0.3400684821270745,1.4261120239912152e-20,0.11564657253621241,0.3400684821270745,3.428950979094628e-17,1.7928265444460992e-19,True,True
87,equivalentSoundLevel_dBp,0.313450490084369,1.4671582883077914e-17,0.0982512097341311,0.3423894550154689,7.53726612678853e-21,0.11723053890578981,0.3423894550154689,1.8444275624440805e-16,1.1054656985956513e-19,True,True
13,loudness_sma3_percentile500,0.30858629412651384,4.843574896227091e-17,0.09522550092273531,0.3188365033795967,3.8093765148551374e-18,0.10165671588732757,0.3188365033795967,5.3279323858498e-16,3.352251333072521e-17,True,True
66,spectralFluxV_sma3nz_amean,0.2959832909649207,9.65471842108809e-16,0.08760610853042491,0.3705972777843943,2.0915161888569166e-24,0.13734234230120348,0.3705972777843943,9.440169122841687e-15,1.69177906425198e-22,True,True
20,spectralFlux_sma3_amean,0.28899844534922103,4.762922795326122e-15,0.08352010141426669,0.36737242087271416,5.563312817884966e-24,0.13496249561787863,0.36737242087271416,4.191372059886988e-14,1.69177906425198e-22,True,True
