,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
15,loudness_sma3_pctlrange02,0.3432669584904927,6.244934433517168e-26,0.11783220479131365,0.39667875835498906,8.41975646961465e-35,0.1573540373300558,0.39667875835498906,5.495542301495107e-24,3.479163494715634e-33,True,True
14,loudness_sma3_percentile800,0.33348092069838625,1.7586396896073482e-24,0.11120952446984338,0.3861621831966093,6.386709783997005e-33,0.14912123173117162,0.3861621831966093,7.359327708011694e-23,1.1240609219834729e-31,True,True
16,loudness_sma3_meanRisingSlope,0.3324182728607295,2.50886171864035e-24,0.11050190813171042,0.3908429410516901,9.482678688125218e-34,0.15275820456993489,0.3908429410516901,7.359327708011694e-23,2.086189311387548e-32,True,True
10,loudness_sma3_amean,0.32950457356852464,6.598658898307851e-24,0.10857326400257526,0.3652950112915679,2.1796019078726266e-29,0.1334404452745067,0.3652950112915679,1.4517049576277272e-22,2.3975620986598893e-28,True,True
13,loudness_sma3_percentile500,0.3201747411886057,1.3613805229232854e-22,0.10251186489519067,0.35050485203258724,4.893391392962448e-27,0.12285365129838588,0.35050485203258724,2.3960297203449825e-21,4.306184425806954e-26,True,True
18,loudness_sma3_meanFallingSlope,0.31488171991048003,7.235616926009576e-22,0.099150497533782,0.36842686395394936,6.674976821271415e-30,0.1357383540829419,0.36842686395394936,1.0612238158147379e-20,9.78996600453141e-29,True,True
17,loudness_sma3_stddevRisingSlope,0.30657010599312234,9.323477939214658e-21,0.09398522988863427,0.36122490555711295,9.949882413253435e-29,0.13048343239474516,0.36122490555711295,1.1720943695012715e-19,9.728773915181136e-28,True,True
87,equivalentSoundLevel_dBp,0.30539537985999066,1.3293252534716811e-20,0.09326633803982799,0.3671202856830165,1.0953326547872283e-29,0.13477730415997966,0.3671202856830165,1.462257778818849e-19,1.376989623161087e-28,True,True
66,spectralFluxV_sma3nz_amean,0.29948748190469726,7.723649071467718e-20,0.08969275181761636,0.39849214009494893,3.9283593150973093e-35,0.1587959857174524,0.39849214009494893,7.552012425435101e-19,3.456956197285632e-33,True,True
20,spectralFlux_sma3_amean,0.29284213637044204,5.327447826191262e-19,0.08575651683400458,0.39586001498058626,1.1860784641076024e-34,0.15670515146043,0.39586001498058626,4.6881540870483106e-18,3.479163494715634e-33,True,True
12,loudness_sma3_percentile200,0.28156563148136254,1.2585582262582264e-17,0.07927920483149846,0.2590522804242422,4.557879303489265e-15,0.06710808399300022,0.2590522804242422,1.0068465810065811e-16,3.085333682361964e-14,True,True
19,loudness_sma3_stddevFallingSlope,0.27678360052440776,4.608955293754686e-17,0.07660916151925494,0.3231673329289045,5.215940527162167e-23,0.1044371250723814,0.3231673329289045,3.379900548753437e-16,4.172752421729734e-22,True,True
36,logRelF0H1H2_sma3nz_amean,-0.22311327921653634,1.8122468724229847e-11,0.04977953536275611,-0.20478078261641847,7.477458817846059e-10,0.041935168928992836,0.20478078261641847,1.2267517290247896e-10,3.870684564532078e-09,True,True
