,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
15,loudness_sma3_pctlrange02,0.7195990755165422,2.4394787934159546e-07,0.5178228294842623,0.7627535363096276,1.661796427445508e-08,0.5817929571528424,0.7627535363096276,2.14674133820604e-05,7.311904280760235e-07,True,True
87,equivalentSoundLevel_dBp,0.6239651944121901,2.193217207735913e-05,0.3893325638378422,0.6759314903736955,2.334147284451947e-06,0.4568833796788052,0.6759314903736955,0.0007428987502752907,4.108099220635427e-05,True,True
20,spectralFlux_sma3_amean,0.6194791701386384,2.6116810111130548e-05,0.3837544422356561,0.6241839728317186,2.174467419330675e-05,0.3896056319399876,0.6241839728317186,0.0007428987502752907,0.00031892188816849904,True,True
66,spectralFluxV_sma3nz_amean,0.612750133728311,3.376812501251321e-05,0.37546272638406303,0.5978243978449541,5.849389533757596e-05,0.357394010658682,0.5978243978449541,0.0007428987502752907,0.0005719403099674093,True,True
14,loudness_sma3_percentile800,0.604083950472586,4.661257056586523e-05,0.36491741921856574,0.7946824145309791,1.5384500775194255e-09,0.631520139964787,0.7946824145309791,0.0008203812419592281,1.3538360682170943e-07,True,True
10,loudness_sma3_amean,0.5720700499749671,0.00014191293255846785,0.3272641420783614,0.7138354597242218,3.364912924641257e-07,0.5095610635596911,0.7138354597242218,0.002081389677524195,9.870411245614355e-06,True,True
17,loudness_sma3_stddevRisingSlope,0.5604471689025833,0.0002067621314382845,0.3141010291309207,0.6026453078460334,4.913031763028768e-05,0.3631813670688404,0.6026453078460334,0.0024496880423317715,0.0005404334939331644,True,True
13,loudness_sma3_percentile500,0.5581022016686812,0.00022269891293925196,0.3114780675074293,0.69007810438354,1.1719974295811538e-06,0.4762077901495799,0.69007810438354,0.0024496880423317715,2.5783943450785385e-05,True,True
0,F0semitoneFrom275Hz_sma3nz_amean,0.5097754856308743,0.000916654562584293,0.2598710457501937,0.5061507065691998,0.00101090919653761,0.2561885377605002,0.5061507065691998,0.008689845096510683,0.0052329417232535105,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.5070226980084674,0.0009874823973307595,0.2570720162957856,0.6071545480752952,4.1626362613633786e-05,0.36863664524851597,0.6071545480752952,0.008689845096510683,0.0005233028442856819,True,True
16,loudness_sma3_meanRisingSlope,0.50029366159814,0.0011814490180120836,0.25029374783527425,0.4774519616506462,0.002115029070750023,0.22796037568405011,0.4774519616506462,0.009451592144096669,0.010340142123666778,True,True
36,logRelF0H1H2_sma3nz_amean,-0.4968271882958501,0.0012939665743651463,0.2468372550299601,-0.5302152800021345,0.0005170076416659005,0.2811282431477419,0.5302152800021345,0.009489088212011073,0.0030331114977732833,True,True
12,loudness_sma3_percentile200,0.46114290430168886,0.0031304501993160427,0.21265277818779657,0.5580284388182429,0.00022321766536651563,0.31139573852992547,0.5580284388182429,0.021190739810754748,0.0016271540306537693,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.4389166931281827,0.0051858261030960015,0.1926478635065793,0.570629907635672,0.00014880131979629505,0.3256184914882956,0.570629907635672,0.03259662121946058,0.0011904105583703604,True,True
80,spectralFluxUV_sma3nz_amean,0.38873652726804564,0.01445607191843663,0.15111608763242,0.3430160121600849,0.03253522846629519,0.11765998459820753,0.3430160121600849,0.08480895525482823,0.11929583770974904,False,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.3827394346116604,0.016181051317924893,0.14648947480685345,0.2436901984478861,0.13492168589574136,0.05938491281957012,0.2436901984478861,0.08899578224858691,0.2826930561625057,False,False
25,mfcc2_sma3_stddevNorm,-0.362042549895047,0.023522655903913062,0.13107480793450757,-0.3346518336712042,0.037308834024796816,0.11199184977949933,0.3346518336712042,0.12176433644378527,0.13132709576728477,False,False
