,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
14,loudness_sma3_percentile800,0.6048115107941122,5.288269450615191e-06,0.3657969635890565,0.7771385361765389,8.324251949534812e-11,0.6039443044106138,0.7771385361765389,0.0001855985011726299,7.325341715590634e-09,True,True
87,equivalentSoundLevel_dBp,0.6021392146688722,5.96647899904639e-06,0.36257163384204616,0.5779727183015364,1.693917574797171e-05,0.33405246310086717,0.5779727183015364,0.0001855985011726299,0.00016562749620239003,True,True
10,loudness_sma3_amean,0.6008303349340609,6.32722163088511e-06,0.36099709137697583,0.7105362674064784,1.5376079285765167e-08,0.5048617872999305,0.7105362674064784,0.0001855985011726299,6.765474885736674e-07,True,True
13,loudness_sma3_percentile500,0.5927589099027237,9.035893668141883e-06,0.3513631252690653,0.6942261325540894,4.446280894510041e-08,0.4819499231210081,0.6942261325540894,0.00019878966069912141,1.3042423957229455e-06,True,True
12,loudness_sma3_percentile200,0.5724712740131466,2.123682048224386e-05,0.32772335957023513,0.594230534324158,8.473573085094427e-06,0.35310992792317425,0.594230534324158,0.00037376804048749196,0.00012427907191471827,True,True
20,spectralFlux_sma3_amean,0.5591097933869467,3.617345324944307e-05,0.3126037610611942,0.6189461105160472,2.741747146167305e-06,0.3830942877229429,0.6189461105160472,0.0005305439809918318,4.825474977254457e-05,True,True
66,spectralFluxV_sma3nz_amean,0.5498930985876496,5.1550709778622716e-05,0.30238241987432646,0.5868156904052423,1.1675637231729708e-05,0.3443526545057812,0.5868156904052423,0.0006480660657883999,0.0001284320095490268,True,True
15,loudness_sma3_pctlrange02,0.528678339552581,0.00011212177662115339,0.2795007867120742,0.6793017357409168,1.1074253020390069e-07,0.4614508481806224,0.6793017357409168,0.0012333395428326872,2.436335664485815e-06,True,True
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,-0.45708411547971356,0.0010909482861564395,0.20892588862387212,-0.24889257050014285,0.08802955564507142,0.06194751165016858,0.24889257050014285,0.010667049909085185,0.19863079222477653,True,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.44005627417472415,0.0017491146605554818,0.19364952444053998,0.5053270485126136,0.00024895264326066005,0.25535542595846933,0.5053270485126136,0.01539220901288824,0.001685217892841391,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.42505869388000994,0.0025995332158146533,0.18067489324298,0.49824907141614483,0.0003135283191715835,0.24825213716705058,0.49824907141614483,0.019564038176424284,0.0019707494347928106,True,True
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,-0.42405321313173133,0.00266782338769422,0.17982112756734556,-0.21430832199324773,0.14355257975887437,0.04592805687556155,0.21430832199324773,0.019564038176424284,0.2937820236925801,True,False
0,F0semitoneFrom275Hz_sma3nz_amean,0.41725995212675854,0.0031721937886909483,0.17410586764882482,0.4253661139691967,0.002578964581764295,0.18093633091325564,0.4253661139691967,0.021473311800369495,0.01334993430560341,True,True
17,loudness_sma3_stddevRisingSlope,0.40493466795728433,0.0043047594756281775,0.1639720853136761,0.5730044233823919,2.0780225553491846e-05,0.3283340692157874,0.5730044233823919,0.027058488132519973,0.00016624180442793477,True,True
74,mfcc4V_sma3nz_amean,-0.39675416961471294,0.0052393785973859925,0.1574138711066604,-0.2807928263524318,0.053211507405717194,0.07884461133098691,0.2807928263524318,0.03065549234767904,0.13378893290580324,True,False
28,mfcc4_sma3_amean,-0.39413641014509004,0.005573725881396189,0.15534350980205863,-0.28093724357093264,0.053084015987654415,0.07892573482523353,0.28093724357093264,0.03065549234767904,0.13378893290580324,True,False
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,-0.3847271040856062,0.006934006425126532,0.14801494461809686,-0.30068014840416607,0.03783994367006199,0.09040855164435133,0.30068014840416607,0.03589368031830205,0.11855599953694726,True,False
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,-0.3813748327306787,0.0074839114139070625,0.14544676304035314,-0.2864288234298491,0.04841620895510863,0.08204147089140768,0.2864288234298491,0.03658801135687897,0.13314457462654875,True,False
25,mfcc2_sma3_stddevNorm,-0.3778844867711815,0.008096253660074906,0.14279668534231926,-0.28099958663827,0.05302905587538967,0.07896076769087862,0.28099958663827,0.03749843800455746,0.13378893290580324,True,False
34,HNRdBACF_sma3nz_amean,0.3742850675004501,0.008772678291597748,0.14008931175381648,0.5750139385656965,1.9139222713525716e-05,0.3306410295448346,0.5750139385656965,0.0376146995035487,0.00016624180442793477,True,True
36,logRelF0H1H2_sma3nz_amean,-0.37324887104372445,0.008976235108801394,0.13931471973541484,-0.4650667507507279,0.0008669809776081996,0.21628708265383967,0.4650667507507279,0.0376146995035487,0.005086288401968105,True,True
