,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,0.3023859243388609,1.581958453820753e-20,0.09143724723826732,0.3396374537634479,8.638470543106732e-26,0.1153535999989182,0.3396374537634479,1.3921234393622627e-18,7.601854077933924e-24,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,0.26652476866335484,3.912821617426106e-16,0.07103545231105482,0.04658265607420762,0.1621579921311769,0.002169943846927912,0.04658265607420762,1.7216415116674866e-14,0.2098515192285819,True,False
24,mfcc2_sma3_amean,0.264651498198784,6.377990640307276e-16,0.07004041549886096,0.24623731900534235,6.34019997665036e-14,0.06063281727093873,0.24623731900534235,1.8708772544901344e-14,6.199306643835908e-13,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,0.26107283911210183,1.6047114034053748e-15,0.06815902732205341,0.16594455535994268,5.393968624808565e-07,0.027537595453609082,0.16594455535994268,3.5303650874918244e-14,1.3888129025170322e-06,True,True
79,slopeUV5001500_sma3nz_amean,-0.2505575406023667,2.227233887981934e-14,0.06277908115270663,-0.18582543961136655,1.884828247583307e-08,0.034531094006757634,0.18582543961136655,3.919931642848204e-13,6.715076275956068e-08,True,True
61,hammarbergIndexV_sma3nz_stddevNorm,0.24898347894471293,3.268192954464501e-14,0.061992772787412304,0.15659503423440785,2.2929012128848913e-06,0.024522004746875367,0.15659503423440785,4.793349666547935e-13,5.1737258136889855e-06,True,True
78,slopeUV0500_sma3nz_amean,0.24037465796437563,2.5399914421047847e-13,0.05777997619149057,0.30526164510037274,6.5908876186962536e-21,0.09318467196938592,0.30526164510037274,3.193132098646015e-12,1.4499952761131758e-19,True,True
69,mfcc1V_sma3nz_stddevNorm,0.2371786925832951,5.330284598910987e-13,0.056253732215521206,0.14284249867481727,1.6609430436448897e-05,0.020403979427665173,0.14284249867481727,5.8633130588020856e-12,3.1774562574076155e-05,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.23162416911514203,1.8843201942348774e-12,0.053649755718279915,0.1674605624281586,4.2327446956457405e-07,0.028043039968755203,0.1674605624281586,1.740331054091613e-11,1.1640047913025787e-06,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.23103101680062668,2.1522360265458877e-12,0.05337533072393145,-0.19337504386776774,4.770396671299832e-09,0.0373939075908611,0.19337504386776774,1.740331054091613e-11,1.9081586685199327e-08,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.23098315254358193,2.1754138176145164e-12,0.05335321675897164,0.1676844909585232,4.0830993068313466e-07,0.028118088508019046,0.1676844909585232,1.740331054091613e-11,1.1590733516166402e-06,True,True
70,mfcc2V_sma3nz_amean,0.2300080613079452,2.704498791845263e-12,0.05290370826663948,0.2524987098940199,1.3828978596090194e-14,0.06375559849814443,0.2524987098940199,1.98329911401986e-11,1.5211876455699212e-13,True,True
25,mfcc2_sma3_stddevNorm,-0.22570068469536034,6.99202108820866e-12,0.050940799071954465,-0.030798541574074093,0.35552859137438814,0.0009485501630899703,0.030798541574074093,4.7330604289412466e-11,0.41418695808900735,True,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.22364758770187498,1.0921829790754611e-11,0.050018243484867865,-0.1600728929236879,1.3513855354371122e-06,0.02562333104895845,0.1600728929236879,6.811630232373086e-11,3.2141061383369153e-06,True,True
38,logRelF0H1A3_sma3nz_amean,0.22336444412395604,1.1610733350635941e-11,0.049891674898803876,0.23818120843312654,4.2293509447374624e-13,0.05673028805066447,0.23818120843312654,6.811630232373086e-11,3.101524026140806e-12,True,True
48,F2bandwidth_sma3nz_amean,0.222722604339738,1.3333488404795841e-11,0.049605358483875484,0.23882915589238143,3.6398962244116987e-13,0.05703936570426743,0.23882915589238143,7.333418622637712e-11,2.911916979529359e-12,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.22047006292985716,2.159510659665554e-11,0.048607048648295174,0.1666704045860539,4.80415015796438e-07,0.027779023764878896,0.1666704045860539,1.1178643414739338e-10,1.2811067087905014e-06,True,True
85,MeanUnvoicedSegmentLength,-0.21994019497857464,2.417058828079979e-11,0.04837368936721343,-0.1202627966837991,0.00029457118579998747,0.0144631402662088,0.1202627966837991,1.181673204839101e-10,0.0005082796931450764,True,True
59,alphaRatioV_sma3nz_stddevNorm,-0.21908065333425578,2.9000009857479678e-11,0.04799633266536436,-0.08477143086170487,0.010864642828124299,0.007186195490340809,0.08477143086170487,1.3431583512937957e-10,0.015934809481248972,True,True
43,F1bandwidth_sma3nz_stddevNorm,0.2142759768140924,7.917422833477395e-11,0.04591419423963347,0.15436800281555813,3.197625867792992e-06,0.02382948029326416,0.15436800281555813,3.483666046730054e-10,7.0347769091445826e-06,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.20956432418095292,2.0722479246263313e-10,0.043917205969419525,-0.14935738448911356,6.644564617827297e-06,0.022307628301428902,0.14935738448911356,8.68370558891034e-10,1.359817875276284e-05,True,True
62,slopeV0500_sma3nz_amean,0.2079995207908037,2.83834384310523e-10,0.04326380064920398,0.24469292745711052,9.171023259140073e-14,0.05987462874753075,0.24469292745711052,1.135337537242092e-09,8.070500468043264e-13,True,True
67,spectralFluxV_sma3nz_stddevNorm,0.19344690046900925,4.707152673438232e-09,0.03742170330106677,0.17349141737258852,1.5789566390990693e-07,0.03009927190194971,0.17349141737258852,1.8009975446198457e-08,4.791316697955797e-07,True,True
36,logRelF0H1H2_sma3nz_amean,0.19142361006149125,6.8410151319441185e-09,0.03664299848897386,0.15174161131349104,4.7053082585454636e-06,0.02302551660401459,0.15174161131349104,2.508372215046177e-08,9.858741113142876e-06,True,True
52,F3frequency_sma3nz_amean,0.18775931590033462,1.3326835957021737e-08,0.03525356070736165,0.2327937621874632,1.4482523028721968e-12,0.05419293571339317,0.2327937621874632,4.691046256871651e-08,9.803554050211793e-12,True,True
60,hammarbergIndexV_sma3nz_amean,0.18142558423272695,4.0916056933931426e-08,0.0329152426141863,0.18575780395261296,1.9076921238511558e-08,0.03450596172929739,0.18575780395261296,1.3848511577638328e-07,6.715076275956068e-08,True,True
58,alphaRatioV_sma3nz_amean,-0.17630679875498853,9.846366367068702e-08,0.031084087287232026,-0.17620744996460944,1.0013124179070552e-07,0.031049065423030337,0.17620744996460944,3.209186075192762e-07,3.2635367694748465e-07,True,True
83,MeanVoicedSegmentLengthSec,0.17444913230481413,1.3457784325820176e-07,0.030432499761902543,0.09304441718138763,0.005163927895380769,0.008657263568624101,0.09304441718138763,4.229589359543484e-07,0.007702129742262843,True,True
28,mfcc4_sma3_amean,-0.16832947380866115,3.680009286775115e-07,0.02833481175270074,-0.17078091854220664,2.470062585706728e-07,0.02916612213811982,0.17078091854220664,1.116692473228311e-06,7.245516918073069e-07,True,True
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.16617402706524162,5.200349085476918e-07,0.027613807271079656,0.14779168622716027,8.310829309610244e-06,0.021842382517867395,0.14779168622716027,1.5254357317398961e-06,1.6621658619220487e-05,True,True
0,F0semitoneFrom275Hz_sma3nz_amean,0.16520910976957773,6.062389896298074e-07,0.027294049950856384,0.20535542367150073,4.802780666442702e-10,0.04217085003130156,0.20535542367150073,1.7209364866910661e-06,2.0125938030807514e-09,True,True
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,0.1553970334298398,2.7436984800230847e-06,0.024148237998794748,0.0520714259524189,0.11810689495539946,0.0027114334007182442,0.0520714259524189,7.545170820063482e-06,0.15747585994053262,True,False
71,mfcc2V_sma3nz_stddevNorm,-0.15458039494623416,3.0984109692689225e-06,0.023895098501733734,-0.02966682818955097,0.37349083266705074,0.0008801206948283362,0.02966682818955097,8.262429251383793e-06,0.41701768436514536,True,False
64,slopeV5001500_sma3nz_amean,-0.1543314022206988,3.215027568287876e-06,0.023818181711407115,-0.1451187390311201,1.2113507629561129e-05,0.02105944841798234,0.1451187390311201,8.321247823803915e-06,2.3688637142252875e-05,True,True
84,StddevVoicedSegmentLengthSec,0.1528657751013623,3.991388485809448e-06,0.023367945197340274,0.11048493899062295,0.0008879722769457054,0.012206921743761675,0.11048493899062295,1.0035491050035183e-05,0.0014470659328004087,True,True
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,0.15136653902369981,4.969562017312698e-06,0.022911829136013237,0.053803770395248696,0.10634652235961782,0.00289484570874464,0.053803770395248696,1.214781826454215e-05,0.1439768302714826,True,False
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.15058395295998667,5.5673405135726594e-06,0.022675526889055476,0.15404376741969197,3.3549749098629817e-06,0.023729482280852154,0.15404376741969197,1.324124230255119e-05,7.200921757754693e-06,True,True
46,F2frequency_sma3nz_amean,0.1474108909938429,8.772635028972078e-06,0.02172997078359864,0.2591205151004023,2.638988336256816e-15,0.06714344134589781,0.2591205151004023,2.0315575856566917e-05,3.3175853370085687e-14,True,True
53,F3frequency_sma3nz_stddevNorm,0.14502825102799144,1.2267584237579857e-05,0.0210331935962381,0.16579521082212598,5.523687680465469e-07,0.0274880519315532,0.16579521082212598,2.7680702895051987e-05,1.3888129025170322e-06,True,True
40,F1frequency_sma3nz_amean,0.14205953830163845,1.8493940842242087e-05,0.020180912422474682,0.22022025895369135,2.2774016413416392e-11,0.048496962453630874,0.22022025895369135,4.068666985293259e-05,1.4315096031290304e-10,True,True
16,loudness_sma3_meanRisingSlope,-0.1409128672872649,2.162444481947759e-05,0.01985643616711833,-0.2943247520832003,1.748229118619091e-19,0.08662705968883733,0.2943247520832003,4.641344253936654e-05,2.5640693739746667e-18,True,True
39,logRelF0H1A3_sma3nz_stddevNorm,0.1344552735222829,5.1011075833214135e-05,0.018078220577951908,0.10205699714365621,0.0021486591183130467,0.010415630665980252,0.10205699714365621,0.00010688034936482961,0.0032600345243370367,True,True
11,loudness_sma3_stddevNorm,-0.13382541386737157,5.5352260276712795e-05,0.017909241396773287,-0.0734279943636699,0.027439683393370808,0.005391670356271138,0.0734279943636699,0.00011327904428722619,0.039585117026502144,True,True
19,loudness_sma3_stddevFallingSlope,-0.13243309519669827,6.622005230635091e-05,0.017538524703377745,-0.30175518759826553,1.9143828704515114e-20,0.09105619324246442,0.30175518759826553,0.00013244010461270183,3.36931385199466e-19,True,True
35,HNRdBACF_sma3nz_stddevNorm,0.1307064961226999,8.250417203925725e-05,0.017084188128673367,0.06009103568874256,0.07125315416448484,0.0036109325701457317,0.06009103568874256,0.00016134149198788084,0.09797308697616665,True,False
18,loudness_sma3_meanFallingSlope,-0.1283042014986665,0.00011152789497738642,0.016461968122210416,-0.3077217139437055,3.0922369004498327e-21,0.09469265323245173,0.3077217139437055,0.00021335771213065228,9.070561574652843e-20,True,True
81,loudnessPeaksPerSec,-0.12421858463907941,0.00018400803145244478,0.015430256769736134,-0.1914189619503229,6.846861365835897e-09,0.03664121899413917,0.1914189619503229,0.00034452567591096043,2.6196686964937345e-08,True,True
17,loudness_sma3_stddevRisingSlope,-0.12322355756975982,0.00020740113381600322,0.015184045140147913,-0.3085758593751767,2.373694222745199e-21,0.09521906098912881,0.3085758593751767,0.0003802354119960059,9.070561574652843e-20,True,True
49,F2bandwidth_sma3nz_stddevNorm,0.1222570081409501,0.0002327713786542248,0.014946776039576339,0.11908446168150089,0.0003379794058138828,0.014181109013972853,0.11908446168150089,0.00041803839431779155,0.000571965148300417,True,True
15,loudness_sma3_pctlrange02,-0.12122547912197171,0.0002630374041013265,0.0146956167883516,-0.21742785538536244,4.1076909526533283e-11,0.04727487229747808,0.21742785538536244,0.0004629458312183346,2.2592300239593305e-10,True,True
37,logRelF0H1H2_sma3nz_stddevNorm,0.11479175820214696,0.0005518857847474749,0.013177147751140175,0.007630744650569917,0.8189761057875197,5.82282639222014e-05,0.007630744650569917,0.0009522735109368193,0.8283896242448475,True,False
42,F1bandwidth_sma3nz_amean,0.10632866642334346,0.0013836318083258956,0.011305785303366647,0.18080362918570536,4.558479718656707e-08,0.03268995232672205,0.18080362918570536,0.0023415307525515155,1.54287005862227e-07,True,True
74,mfcc4V_sma3nz_amean,-0.10527755690368173,0.0015441693306196792,0.011083363987607946,-0.10404193211642916,0.001754703262460428,0.010824723638519653,0.10404193211642916,0.0025639037942364485,0.0027090155630968013,True,True
22,mfcc1_sma3_amean,0.10471823623963984,0.001636413840008105,0.010965909001141019,0.11524528200236574,0.0005244270678600653,0.013281475023804805,0.11524528200236574,0.002666748480013208,0.0008707468296544479,True,True
47,F2frequency_sma3nz_stddevNorm,0.10390213944031008,0.0017801120928817912,0.01079565458027364,0.16115443120070838,1.1438535998127426e-06,0.02597075069562385,0.16115443120070838,0.002848179348610866,2.796086577320037e-06,True,True
41,F1frequency_sma3nz_stddevNorm,0.10336309687259332,0.0018812822214183881,0.010683929795093111,0.12854313157651984,0.0001082592036286879,0.01652333667549849,0.12854313157651984,0.002956300633657467,0.00019442469223111296,True,True
66,spectralFluxV_sma3nz_amean,-0.10024651353315606,0.0025769548402484036,0.01004936347555324,-0.2175470714678869,4.0061967650117904e-11,0.04732672830425389,0.2175470714678869,0.003967062007890646,2.2592300239593305e-10,True,True
