,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,0.33354057859976677,1.0934854913746115e-30,0.11124931757266719,0.24013737188303455,3.01973456421959e-16,0.05766595737489083,0.24013737188303455,9.62267232409658e-29,3.3217080206415487e-15,True,True
38,logRelF0H1A3_sma3nz_amean,0.2920830755704871,1.3262806912633477e-23,0.0853125230347149,0.2560248182855287,2.516410302702427e-18,0.065548707578138,0.2560248182855287,5.83563504155873e-22,3.6907351106302263e-17,True,True
24,mfcc2_sma3_amean,0.27359985383676233,8.453413418227272e-21,0.07485688001949771,0.25292650411762124,6.573958566029984e-18,0.06397181648516108,0.25292650411762124,2.479667936013333e-19,8.264405054437694e-17,True,True
70,mfcc2V_sma3nz_amean,0.26216766113667206,3.6070595683600016e-19,0.06873188254587291,0.25742962856435736,1.6211519129621437e-18,0.066270013662783,0.25742962856435736,7.935531050392003e-18,2.853227366813373e-17,True,True
36,logRelF0H1H2_sma3nz_amean,0.25875331861078055,1.0686235081479953e-18,0.06695327989209211,0.22041338225157694,7.238719229918605e-14,0.048582059075579775,0.22041338225157694,1.6410184067346575e-17,3.74710171901669e-13,True,True
48,F2bandwidth_sma3nz_amean,0.2586077373766119,1.1188761864099936e-18,0.06687796183105067,0.18763218211634244,2.1750798469964824e-10,0.035205835765740295,0.18763218211634244,1.6410184067346575e-17,8.70031938798593e-10,True,True
60,hammarbergIndexV_sma3nz_amean,0.23636200600685,8.96535732479908e-16,0.055866997883582195,0.2011458123337741,9.432579094170822e-12,0.04045963781941387,0.2011458123337741,1.1270734922604559e-14,4.368773475194907e-11,True,True
52,F3frequency_sma3nz_amean,0.22873641629775354,7.626707989803985e-15,0.052320348140739215,0.13885885943625456,2.881113962752569e-06,0.019281782843937504,0.13885885943625456,8.314686163394335e-14,7.923063397569565e-06,True,True
0,F0semitoneFrom275Hz_sma3nz_amean,0.2283413711442193,8.50365630347148e-15,0.052139781776022104,0.18791542613267626,2.0413353732865126e-10,0.0353122073786253,0.18791542613267626,8.314686163394335e-14,8.554167278533957e-10,True,True
62,slopeV0500_sma3nz_amean,0.22362242509219243,3.072182723567439e-14,0.05000698900411322,0.23794176962239683,5.699116445912615e-16,0.05661628573103777,0.23794176962239683,2.7035207967393467e-13,5.572469413781223e-15,True,True
58,alphaRatioV_sma3nz_amean,-0.21918574545509736,1.0012295840803327e-13,0.04804239101070674,-0.1856340505319785,3.3938208232804936e-10,0.034460000716909155,0.1856340505319785,8.009836672642662e-13,1.2985053584725367e-09,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,0.2146966185739633,3.224994957031075e-13,0.04609463802709388,0.017275865124743734,0.5623431748389325,0.00029845551580833684,0.017275865124743734,2.3649963018227886e-12,0.603490236412513,True,False
25,mfcc2_sma3_stddevNorm,-0.21078988213136415,8.740672811910734e-13,0.044432374408954395,-0.02645610588018578,0.3749050769496118,0.0006999255383436006,0.02645610588018578,5.916763134216496e-12,0.4519403667337786,True,False
69,mfcc1V_sma3nz_stddevNorm,0.2091591433193927,1.3176700430878975e-12,0.043747547234102256,0.044646099516503376,0.1341618627827475,0.001993274202037523,0.044646099516503376,8.282497413695356e-12,0.17110498441857652,True,False
42,F1bandwidth_sma3nz_amean,0.20161816077633993,8.41807524462162e-12,0.040649882754834055,0.1482777548620676,5.734667912138886e-07,0.02198629258693541,0.1482777548620676,4.938604143511351e-11,1.8023242009579358e-06,True,True
46,F2frequency_sma3nz_amean,0.19761029598950175,2.1911978614761096e-11,0.039049829081058494,0.15675651615411787,1.2276070011218744e-07,0.024572605356776217,0.15675651615411787,1.2051588238118602e-10,4.001089485137961e-07,True,True
34,HNRdBACF_sma3nz_amean,0.19683015243306506,2.633564745162125e-11,0.03874210890682363,0.22311915589643044,3.5172388474285387e-14,0.04978215772793563,0.22311915589643044,1.363257044554512e-10,2.0190443907908732e-13,True,True
40,F1frequency_sma3nz_amean,0.19374298379197455,5.4119994958171234e-11,0.037536343768617315,0.17797788903873826,1.7841753660736886e-09,0.03167612898668543,0.17797788903873826,2.6458664201772604e-10,6.541976342270192e-09,True,True
61,hammarbergIndexV_sma3nz_stddevNorm,0.18495656011200357,3.942018222399721e-10,0.03420892912846519,0.09141130227800127,0.0021278636374024705,0.00835602618416012,0.09141130227800127,1.8257768609009233e-09,0.0039010833352378627,True,True
67,spectralFluxV_sma3nz_stddevNorm,0.17167689720429116,6.629460879835156e-09,0.029472957033692754,0.13759225365286243,3.5517310200172084e-06,0.018931628265273635,0.13759225365286243,2.916962787127469e-08,9.471282720045889e-06,True,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.16937944849857092,1.057220460576869e-08,0.02868939757368004,0.14762667170286184,6.432895443565007e-07,0.02179363419806455,0.14762667170286184,4.430257168131642e-08,1.8869826634457356e-06,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,0.1687208941407682,1.2071429717641353e-08,0.028466740119660314,0.09907501978960041,0.0008667896833981368,0.009815859546309714,0.09907501978960041,4.828571887056541e-08,0.0017335793667962735,True,True
53,F3frequency_sma3nz_stddevNorm,0.1597072777735625,7.038417173324314e-08,0.02550641457384185,0.14228990519905838,1.619381499689671e-06,0.02024641712155702,0.14228990519905838,2.692959614141477e-07,4.596953934602937e-06,True,True
