,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
76,alphaRatioUV_sma3nz_amean,-0.403386856795205,3.966143150827209e-15,0.1627209562351152,-0.4068168594870203,2.2058680893352155e-15,0.16549995716288202,0.4068168594870203,3.4902059727279436e-13,1.9411639186149897e-14,True,True
77,hammarbergIndexUV_sma3nz_amean,0.3760173672137418,3.3804307252037294e-13,0.14138906044635394,0.35253440622582655,1.1137964498221913e-11,0.1242805075729961,0.35253440622582655,1.1039425770015597e-11,6.125880474022052e-11,True,True
54,F3bandwidth_sma3nz_amean,0.37532391822331607,3.763440603414408e-13,0.14086804359050245,0.3848567075292954,8.41375382724918e-14,0.14811468533028962,0.3848567075292954,1.1039425770015597e-11,6.731003061799344e-13,True,True
36,logRelF0H1H2_sma3nz_amean,0.36871001566642,1.0342237130423517e-12,0.13594707565273167,0.3257061623216806,4.302328875537885e-10,0.10608450417431695,0.3257061623216806,2.180234533093391e-11,1.992657584459652e-09,True,True
10,loudness_sma3_amean,-0.3675132317908088,1.2387696210757903e-12,0.13506597554132477,-0.4807377202175609,1.2172800380084282e-21,0.23110875563997785,0.4807377202175609,2.180234533093391e-11,3.57068811149139e-20,True,True
19,loudness_sma3_stddevFallingSlope,-0.36625652372256234,1.4960354531723713e-12,0.13414384116933586,-0.4187619645467554,2.7106856064983886e-16,0.17536158295105803,0.4187619645467554,2.1941853313194782e-11,2.9817541671482272e-15,True,True
13,loudness_sma3_percentile500,-0.3639760044482266,2.1025547134238223e-12,0.13247853181409547,-0.49099374718003297,1.2318429075518244e-22,0.24107485976989013,0.49099374718003297,2.643211639732805e-11,5.4201087932280275e-21,True,True
16,loudness_sma3_meanRisingSlope,-0.3615416372466993,3.0146414238491294e-12,0.1307123554630239,-0.44946680314401305,8.31649722392009e-19,0.20202040712849897,0.44946680314401305,3.316105566234042e-11,1.2197529261749467e-17,True,True
14,loudness_sma3_percentile800,-0.36022174669638335,3.660400923053842e-12,0.12975970679299337,-0.4696678387708074,1.3251139296568958e-20,0.22058787877564115,0.4696678387708074,3.5790586803193114e-11,2.915250645245171e-19,True,True
18,loudness_sma3_meanFallingSlope,-0.35799081008734873,5.071351663619029e-12,0.12815742010699618,-0.4502363977879637,7.138701375795682e-19,0.2027128138930815,0.4502363977879637,4.462789463984745e-11,1.2197529261749467e-17,True,True
58,alphaRatioV_sma3nz_amean,-0.35419249459576646,8.78349890231724e-12,0.12545232322797206,-0.38282803993605813,1.162050586385234e-13,0.14655730816128412,0.38282803993605813,7.026799121853792e-11,8.521704300158383e-13,True,True
12,loudness_sma3_percentile200,-0.3507279412740399,1.4404227255958734e-11,0.12301008879032638,-0.5235650811262569,5.0012783926469127e-26,0.27412039417474393,0.5235650811262569,1.0563099987703072e-10,4.401124985529283e-24,True,True
15,loudness_sma3_pctlrange02,-0.350161282242027,1.5609070996770556e-11,0.12261292358138051,-0.42907805953082273,4.1405063728049236e-17,0.18410798117073626,0.42907805953082273,1.0566140367044683e-10,5.205208011526189e-16,True,True
17,loudness_sma3_stddevRisingSlope,-0.3494917745957038,1.715956399319274e-11,0.12214450051005422,-0.4119372285658076,9.072621182788498e-16,0.16969228027847844,0.4119372285658076,1.0786011652864007e-10,8.87100737872653e-15,True,True
66,spectralFluxV_sma3nz_amean,-0.33693730207670086,9.725392919049914e-11,0.11352674553072596,-0.36540352995522385,1.6996651437533863e-12,0.13351973970373818,0.36540352995522385,5.705563845842617e-10,1.0683609475021285e-11,True,True
60,hammarbergIndexV_sma3nz_amean,0.33566515254983204,1.1544618392696576e-10,0.11267109463630201,0.35732024587503664,5.59072495624714e-12,0.12767775811219664,0.35732024587503664,6.349540115983117e-10,3.279891974331655e-11,True,True
24,mfcc2_sma3_amean,0.32814870381969746,3.1295775878721997e-10,0.10768157181854753,0.2945125109422868,1.9640639529318947e-08,0.0867376191015306,0.2945125109422868,1.62001663372208e-09,7.51467947208725e-08,True,True
47,F2frequency_sma3nz_stddevNorm,-0.3263582029432948,3.952996455674339e-10,0.1065096766283768,-0.3242275998199917,5.209253965764059e-10,0.1051235364850327,0.3242275998199917,1.9325760449963435e-09,2.292071744936186e-09,True,True
20,spectralFlux_sma3_amean,-0.32243168084571966,6.562589910015793e-10,0.10396218881299603,-0.367003731234931,1.3373919047027079e-12,0.13469173874036147,0.367003731234931,3.0395153267441567e-09,9.053114431833715e-12,True,True
87,equivalentSoundLevel_dBp,-0.2940726629296041,2.0662632796985224e-08,0.08647873108250854,-0.33946337926079967,6.902663686670942e-11,0.11523538585916152,0.33946337926079967,9.091558430673499e-08,3.5731435554531933e-10,True,True
70,mfcc2V_sma3nz_amean,0.28798674492578596,4.132312160131109e-08,0.08293636525294971,0.261529064153658,6.981373315759003e-07,0.06839745139708817,0.261529064153658,1.7316355718644647e-07,2.2754105621733045e-06,True,True
80,spectralFluxUV_sma3nz_amean,-0.2869282258539859,4.653989619849372e-08,0.08232780679171596,-0.29839541963756355,1.2504230002941705e-08,0.08903982646067765,0.29839541963756355,1.8615958479397488e-07,5.001692001176682e-08,True,True
38,logRelF0H1A3_sma3nz_amean,0.28139125878743027,8.599050112651836e-08,0.07918104052197456,0.2746198312157017,1.7893648517088815e-07,0.0754160516969405,0.2746198312157017,3.290071347449398e-07,6.056311805783906e-07,True,True
