,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,0.3805278272671681,1.536987185431456e-14,0.14480142732467172,0.2885790643044517,1.008758673593758e-08,0.08327787635483286,0.2885790643044517,1.0818771455432504e-12,5.2218096044853355e-08,True,True
36,logRelF0H1H2_sma3nz_amean,0.3777627735580839,2.4588116944164782e-14,0.14270471308629618,0.3311615891242395,3.542918553153317e-11,0.10966799811129162,0.3311615891242395,1.0818771455432504e-12,2.0785122178499462e-10,True,True
76,alphaRatioUV_sma3nz_amean,-0.3739992234511798,4.6277272594524944e-14,0.1398754191420855,-0.38739109702093144,4.696190020575304e-15,0.15007186205108072,0.38739109702093144,1.3574666627727319e-12,4.132647218106268e-14,True,True
77,hammarbergIndexUV_sma3nz_amean,0.3615993258021637,3.5103481111482424e-13,0.13075407242057932,0.34497892764608284,4.639821149210351e-12,0.11901046051984127,0.34497892764608284,7.722765844526133e-12,2.916459008075078e-11,True,True
58,alphaRatioV_sma3nz_amean,-0.3600736034388884,4.477390429552097e-13,0.12965299989346585,-0.35939316146870076,4.988525532028414e-13,0.12916344451046763,0.35939316146870076,7.880207156011691e-12,3.990820425622731e-12,True,True
60,hammarbergIndexV_sma3nz_amean,0.348724893988872,2.6274271836952517e-12,0.12160905168755003,0.32708647994328716,6.330371576543205e-11,0.10698556536169039,0.32708647994328716,3.853559869419703e-11,3.481704367098763e-10,True,True
38,logRelF0H1A3_sma3nz_amean,0.31397302766406976,3.867674084536765e-10,0.09857906210054271,0.27679370199714903,4.123796749101159e-08,0.07661475346528654,0.27679370199714903,4.862218849131934e-09,1.9099690206363262e-07,True,True
70,mfcc2V_sma3nz_amean,0.2970241351663918,3.531291109040206e-09,0.088223336871343,0.26646337365143297,1.3432264178421727e-07,0.07100272949770318,0.26646337365143297,3.8844202199442264e-08,5.372905671368691e-07,True,True
42,F1bandwidth_sma3nz_amean,0.2943011489758027,4.972170229805856e-09,0.0866131662884776,0.16319274202489834,0.0014121441241304036,0.02663187104960502,0.16319274202489834,4.534545435707634e-08,0.0035505337978135863,True,True
24,mfcc2_sma3_amean,0.29401540012377697,5.1528925405768564e-09,0.08644505550994468,0.27617723278738987,4.431026386899624e-08,0.07627386391010013,0.27617723278738987,4.534545435707634e-08,1.9496516102358346e-07,True,True
19,loudness_sma3_stddevFallingSlope,-0.28239994738808044,2.1279040690733932e-08,0.0797497302847906,-0.3956812014576561,1.0801864766778002e-15,0.15656361318697423,0.3956812014576561,1.7023232552587146e-07,1.1882051243455801e-14,True,True
10,loudness_sma3_amean,-0.27715027730135605,3.955591733573813e-08,0.07681227620821855,-0.4522417873663367,1.485450302999687e-20,0.2045226342402989,0.4522417873663367,2.900767271287463e-07,4.357320888799083e-19,True,True
13,loudness_sma3_percentile500,-0.27320436218840605,6.250576540381946e-08,0.07464062351877375,-0.4628006054213707,1.4421756195490099e-21,0.21418440037838724,0.4628006054213707,4.231159504258548e-07,6.345572726015643e-20,True,True
52,F3frequency_sma3nz_amean,0.2716714809213463,7.451898597318636e-08,0.07380539354599742,0.15120126873679018,0.003129219419360195,0.022861823667615046,0.15120126873679018,4.3629821469638214e-07,0.006884282722592429,True,True
14,loudness_sma3_percentile800,-0.27122188413199516,7.844588118907633e-08,0.07356131043210941,-0.44153683056446025,1.456714905988041e-19,0.19495477274490888,0.44153683056446025,4.3629821469638214e-07,3.2047727931736905e-18,True,True
34,HNRdBACF_sma3nz_amean,0.27075651239407794,8.272051576909298e-08,0.07330908900380448,0.2556022274832395,4.410587909166232e-07,0.06533249869439373,0.2556022274832395,4.3629821469638214e-07,1.6875292869853408e-06,True,True
16,loudness_sma3_meanRisingSlope,-0.2705919812874018,8.428488238452837e-08,0.07322002033704161,-0.42292778653748264,6.391523492469109e-18,0.17886791262549448,0.42292778653748264,4.3629821469638214e-07,9.374234455621361e-17,True,True
18,loudness_sma3_meanFallingSlope,-0.27006613972117716,8.947824582620534e-08,0.07293571982389838,-0.42525145426673566,4.036833682432317e-18,0.18083879935597358,0.42525145426673566,4.3744920181700383e-07,7.104827281080879e-17,True,True
12,loudness_sma3_percentile200,-0.2687458899277465,1.0391353139710771e-07,0.07222435335305644,-0.4955169801554587,6.137167105142155e-25,0.24553707762238525,0.4955169801554587,4.812837243655515e-07,5.400707052525096e-23,True,True
17,loudness_sma3_stddevRisingSlope,-0.26650270515797586,1.337325319812104e-07,0.07102369185651901,-0.3876840341753217,4.461676082726192e-15,0.150298910354452,0.3876840341753217,5.884231407173258e-07,4.132647218106268e-14,True,True
15,loudness_sma3_pctlrange02,-0.2629494553156361,1.9849326022596398e-07,0.06914241605078972,-0.40290652923019976,2.900161446591527e-16,0.1623336712963258,0.40290652923019976,8.317812809468966e-07,3.6459172471436344e-15,True,True
74,mfcc4V_sma3nz_amean,0.258375156069003,3.2724393254361657e-07,0.06675772127368167,0.247369430297343,1.0484697289442983e-06,0.06119163504563204,0.247369430297343,1.2904021923946647e-06,3.844389006129094e-06,True,True
66,spectralFluxV_sma3nz_amean,-0.258096403406975,3.3726420937587824e-07,0.06661375345161596,-0.3477071037105043,3.0687326027671085e-12,0.12090022997074738,0.3477071037105043,1.2904021923946647e-06,2.0772959157192733e-11,True,True
33,shimmerLocaldB_sma3nz_stddevNorm,0.25180426247797244,6.600994152488798e-07,0.06340538660207563,0.22690166324055078,7.934219896763437e-06,0.05148436478132831,0.22690166324055078,2.420364522579226e-06,2.7928454036607296e-05,True,True
