,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,0.3731286143717309,1.1326252116746638e-12,0.13922496286296787,0.31469681595682836,2.9788397581329464e-09,0.0990340859733659,0.31469681595682836,9.967101862737041e-11,1.7475859914379953e-08,True,True
24,mfcc2_sma3_amean,0.34939407408530604,3.38297808664755e-11,0.12207621900592833,0.3415164751805766,9.825964015841226e-11,0.1166335028197654,0.3415164751805766,1.1347249968458912e-09,6.651421795338676e-10,True,True
13,loudness_sma3_percentile500,-0.348415506642018,3.868380671065538e-11,0.12139336526861408,-0.4654208756100018,1.1129603724088953e-19,0.21661659145358075,0.4654208756100018,1.1347249968458912e-09,4.897025638599139e-18,True,True
10,loudness_sma3_amean,-0.34288818140955163,8.178435592196888e-11,0.1175723049503496,-0.45340021655189927,1.2165077271635038e-18,0.20557175636930916,0.45340021655189927,1.7992558302833154e-09,3.568422666346278e-17,True,True
14,loudness_sma3_percentile800,-0.33793658387855,1.5796466313860212e-10,0.11420113472350428,-0.43928806128819176,1.791493512609759e-17,0.1929740007903381,0.43928806128819176,2.7801780712393975e-09,2.9107577209331367e-16,True,True
12,loudness_sma3_percentile200,-0.3268331978246371,6.628773179522001e-10,0.10681993920027837,-0.47973402970525403,5.690123060841325e-21,0.23014473925724155,0.47973402970525403,8.37555669249166e-09,5.007308293540366e-19,True,True
70,mfcc2V_sma3nz_amean,0.3267932531488591,6.662374641754729e-10,0.1067938303036143,0.3232965572857565,1.0342360909902397e-09,0.10452066395282245,0.3232965572857565,8.37555669249166e-09,6.50091257193865e-09,True,True
15,loudness_sma3_pctlrange02,-0.32512513881212096,8.223298817030168e-10,0.10570635588760093,-0.3996894563776429,1.7941334128716004e-14,0.15975166153945572,0.3996894563776429,9.045628698733184e-09,1.9735467541587604e-13,True,True
18,loudness_sma3_meanFallingSlope,-0.31269031497445626,3.794517740667997e-09,0.09777523307882467,-0.44467530780702275,6.511677957698358e-18,0.19773612937327043,0.44467530780702275,3.7101951242087077e-08,1.4325691506936387e-16,True,True
16,loudness_sma3_meanRisingSlope,-0.3051652932734462,9.25579506068943e-09,0.09312585621866844,-0.43873775160101275,1.9846075369998656e-17,0.19249081467991197,0.43873775160101275,8.1450996534067e-08,2.9107577209331367e-16,True,True
66,spectralFluxV_sma3nz_amean,-0.30038488721006473,1.6098764891179327e-08,0.0902310804642033,-0.39029879385757693,8.109281335119744e-14,0.15233314848667934,0.39029879385757693,1.2879011912943461e-07,7.136167574905376e-13,True,True
19,loudness_sma3_stddevFallingSlope,-0.2879767445651012,6.466090484782594e-08,0.08293060541031354,-0.3755596716728815,7.870739772902839e-13,0.14104506698704256,0.3755596716728815,4.4745246478062476e-07,6.296591818322271e-12,True,True
