,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,0.38325165706726844,1.330392358260191e-14,0.14688183264480714,0.27140335366718,8.999251827270477e-08,0.07365978038179238,0.27140335366718,1.1707452752689681e-12,5.279561071998681e-07,True,True
70,mfcc2V_sma3nz_amean,0.32934224205379053,5.8116733262354584e-11,0.10846631240101755,0.32325354195992106,1.3589141882692136e-10,0.10449285238963445,0.32325354195992106,2.5571362635436016e-09,8.541746326263629e-10,True,True
24,mfcc2_sma3_amean,0.3198303573462856,2.172698992072336e-10,0.10229145748025276,0.32365262355785346,1.2860689559226696e-10,0.1047510207358816,0.32365262355785346,6.373250376745519e-09,8.541746326263629e-10,True,True
58,alphaRatioV_sma3nz_amean,-0.2765480149492416,5.000681654583279e-08,0.07647880457236594,-0.24848107367842942,1.0667171723418304e-06,0.06174284397638507,0.24848107367842942,1.1001499640083213e-06,5.215061731448948e-06,True,True
13,loudness_sma3_percentile500,-0.27023469659648824,1.026688641087152e-07,0.07302679124459606,-0.43495799655017736,8.709130185080827e-19,0.1891884587629441,0.43495799655017736,1.8069720083133875e-06,3.832017281435564e-17,True,True
38,logRelF0H1A3_sma3nz_amean,0.2674316388622309,1.4047909699781408e-07,0.0715196814645387,0.21328110814610318,3.046240875025053e-05,0.04548883109202976,0.21328110814610318,2.0603600893012733e-06,0.00011655182478356725,True,True
10,loudness_sma3_amean,-0.2660335936342704,1.6404020045781063e-07,0.07077387294196413,-0.42366709055590274,8.248382772279298e-18,0.1794938036201035,0.42366709055590274,2.0622196628981907e-06,2.4195256132019274e-16,True,True
14,loudness_sma3_percentile800,-0.26181812324884496,2.6041998666928557e-07,0.06854872966154738,-0.41041024836722595,1.0396919742522604e-16,0.1684365719648481,0.41041024836722595,2.643976360328367e-06,1.5374623013138351e-15,True,True
60,hammarbergIndexV_sma3nz_amean,0.26147165505610614,2.7040667321540117e-07,0.06836742639777936,0.21707332489874215,2.1769088490180635e-05,0.04712082838259487,0.21707332489874215,2.643976360328367e-06,9.122284700647123e-05,True,True
25,mfcc2_sma3_stddevNorm,-0.2598396378514169,3.2261637579466783e-07,0.06751663739875548,-0.0800140694027552,0.12141810112868986,0.006402251302388926,0.0800140694027552,2.839024106993077e-06,0.1936241884201373,True,False
15,loudness_sma3_pctlrange02,-0.2516157704182254,7.712419326175808e-07,0.06331049592315711,-0.37415560180003044,6.127172322193136e-14,0.13999241435834295,0.37415560180003044,5.781840819141247e-06,6.73988955441245e-13,True,True
12,loudness_sma3_percentile200,-0.25140402196666506,7.884328389738064e-07,0.06320398226101541,-0.45017474257195983,3.672994029891095e-20,0.2026572988497303,0.45017474257195983,5.781840819141247e-06,3.2322347463041636e-18,True,True
76,alphaRatioUV_sma3nz_amean,-0.2405408952709711,2.379594629899976e-06,0.05785992229776029,-0.2552820129472114,5.248813300633813e-07,0.06516890613438021,0.2552820129472114,1.610802518701522e-05,2.8192260323536443e-06,True,True
