,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
15,loudness_sma3_pctlrange02,-0.47214038992557233,1.2938178142993667e-60,0.2229165477990715,-0.4922306254261606,1.6886211184802102e-66,0.2422909886074292,0.4922306254261606,1.1385596765834426e-58,4.953288614208617e-65,True,True
14,loudness_sma3_percentile800,-0.4609627317561257,1.6595288697212606e-57,0.2124866400680699,-0.476693755871282,6.4914295748245455e-62,0.22723693688666938,0.476693755871282,7.301927026773546e-56,1.4281145064614e-60,True,True
16,loudness_sma3_meanRisingSlope,-0.4508390061106696,8.6529828980629e-55,0.20325580943085642,-0.49929920067202554,1.1539904537086527e-68,0.24929969179172362,0.49929920067202554,2.538208316765118e-53,1.0155115992636143e-66,True,True
66,spectralFluxV_sma3nz_amean,-0.4452586076572099,2.4902582983881133e-53,0.1982552276928372,-0.432061485086811,5.502388065562945e-50,0.18667712689542063,0.432061485086811,5.478568256453849e-52,6.91728785385056e-49,True,True
18,loudness_sma3_meanFallingSlope,-0.4359753553300653,5.808796408781984e-51,0.1900745104551767,-0.4945748576240669,3.273689650964275e-67,0.24460428979386603,0.4945748576240669,1.002854144016111e-49,1.4404234464242808e-65,True,True
10,loudness_sma3_amean,-0.4356932132896149,6.837641891018939e-51,0.18982857610662987,-0.44831339685639193,3.9892059690771623e-54,0.20098490180091677,0.44831339685639193,1.002854144016111e-49,7.021002505575806e-53,True,True
13,loudness_sma3_percentile500,-0.4202096024908399,4.172192183707128e-47,0.17657611002550966,-0.428999423983081,3.130495217652324e-49,0.18404050577781528,0.428999423983081,5.245041602374675e-46,3.4435447394175564e-48,True,True
20,spectralFlux_sma3_amean,-0.40651023018447263,6.43551378338946e-44,0.1652505672446329,-0.3899896427941164,2.88706944157715e-40,0.15209192148668252,0.3899896427941164,7.079065161728406e-43,2.5406211085878922e-39,True,True
19,loudness_sma3_stddevFallingSlope,-0.40013324914078363,1.7489106298211874e-42,0.16010661706796042,-0.4243696791513587,4.193643417750337e-48,0.18008962458302713,0.4243696791513587,1.7100459491584941e-41,4.100451341800329e-47,True,True
17,loudness_sma3_stddevRisingSlope,-0.3965762484064577,1.0696670096398964e-41,0.15727272080014046,-0.4460445182620243,1.557380531278217e-53,0.19895571227160133,0.4460445182620243,9.41306968483109e-41,2.284158112541385e-52,True,True
87,equivalentSoundLevel_dBp,-0.3736261212247505,7.549413442620354e-37,0.13959647846145193,-0.35718293878510515,1.317723124745446e-33,0.12757965175916416,0.35718293878510515,6.039530754096283e-36,1.0541784997963568e-32,True,True
54,F3bandwidth_sma3nz_amean,0.3529851999275437,8.269392323897e-33,0.12459855136788799,0.3247516979508633,9.487387860575338e-28,0.10546366532196874,0.3247516979508633,6.064221037524467e-32,6.957417764421915e-27,True,True
12,loudness_sma3_percentile200,-0.32224254674393,2.521970857712864e-27,0.1038402589320139,-0.3146227927502855,4.642267432212197e-26,0.09898750171798909,0.3146227927502855,1.7071802729133235e-26,3.1424579541128717e-25,True,True
80,spectralFluxUV_sma3nz_amean,-0.31813858747861207,1.2234877441307761e-26,0.1012121608428865,-0.2656670604931233,8.939414022893171e-19,0.07057898703105682,0.2656670604931233,7.690494391679164e-26,4.916677712591244e-18,True,True
78,slopeUV0500_sma3nz_amean,0.27554920271451455,3.934761575150946e-20,0.07592736311660464,0.3003295707464626,8.753397434015989e-24,0.09019785106475449,0.3003295707464626,2.3083934574218883e-19,5.502135529952908e-23,True,True
38,logRelF0H1A3_sma3nz_amean,0.2591142298349424,6.606390509879317e-18,0.06714018410295537,0.2535260400264364,3.480214139659745e-17,0.06427545297148624,0.2535260400264364,3.6335147804336246e-17,1.801522613470927e-16,True,True
42,F1bandwidth_sma3nz_amean,0.25360646948358323,3.398941364619168e-17,0.06431624136392763,0.17031885339895156,2.0113933169448616e-08,0.02900851182313355,0.17031885339895156,1.7594520005087458e-16,7.080104475645912e-08,True,True
70,mfcc2V_sma3nz_amean,0.24576930281065704,3.2689564849199746e-16,0.06040255020403643,0.2871774773191422,8.437572865273535e-22,0.08247090347938645,0.2871774773191422,1.5981565037386542e-15,4.950042747627141e-21,True,True
52,F3frequency_sma3nz_amean,0.22936421107764765,2.9041520463635856e-14,0.052607941323271706,0.16913195507959453,2.5278462131431364e-08,0.02860561822904598,0.16913195507959453,1.3450809477894501e-13,8.238906176170222e-08,True,True
60,hammarbergIndexV_sma3nz_amean,0.22605512941557648,6.893236079475642e-14,0.05110092153509303,0.22423514282416504,1.10254508519052e-13,0.05028139927737369,0.22423514282416504,3.0330238749692826e-13,5.106524605092935e-13,True,True
46,F2frequency_sma3nz_amean,0.22553174305935272,7.893369000520951e-14,0.0508645671273899,0.20244403956531765,2.2323414586480712e-11,0.04098358915552389,0.20244403956531765,3.307697485932589e-13,8.929365834592285e-11,True,True
24,mfcc2_sma3_amean,0.21553834323276375,9.835042006079947e-13,0.04645677740352468,0.24319057978744188,6.767778019565972e-16,0.05914165809735213,0.24319057978744188,3.934016802431979e-12,3.308691476232253e-15,True,True
55,F3bandwidth_sma3nz_stddevNorm,-0.20036676669311035,3.5949251327785e-11,0.04014684119505132,-0.20713909502054734,7.461662927855192e-12,0.04290660468593134,0.20713909502054734,1.3754496160196e-10,3.2831316882562844e-11,True,True
58,alphaRatioV_sma3nz_amean,-0.19797276548768153,6.18605554942474e-11,0.039193215874840544,-0.20272880434024537,2.0903545687186596e-11,0.04109896810922549,0.20272880434024537,2.268220368122405e-10,8.759581049868668e-11,True,True
40,F1frequency_sma3nz_amean,0.19692848293096782,7.821972738043152e-11,0.038780827389492484,0.1968666767581467,7.931035551714144e-11,0.03875648841779662,0.1968666767581467,2.7533344037911894e-10,3.0344831676123685e-10,True,True
64,slopeV5001500_sma3nz_amean,0.19456230736673824,1.324780094285766e-10,0.03785449144786913,0.15765193347055106,2.1233518595645776e-07,0.02485413212700306,0.15765193347055106,4.483871088351823e-10,5.839217613802588e-07,True,True
65,slopeV5001500_sma3nz_stddevNorm,-0.18560221914351221,9.179226960884683e-10,0.034448183750996335,-0.01623666088958118,0.5954007777107407,0.0002636291568432551,0.01623666088958118,2.9917480465105633e-09,0.7194002745431435,True,False
48,F2bandwidth_sma3nz_amean,0.18225855434658922,1.8454853149468893e-09,0.033218180632508615,0.15632373960104817,2.690301754176156e-07,0.024437111562856318,0.15632373960104817,5.800096704118795e-09,7.174138011136415e-07,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.1659652997481957,4.6148735397217236e-08,0.02754448072050845,0.14699336717105482,1.3419851318060886e-06,0.02160704999228454,0.14699336717105482,1.4003754189500403e-07,3.37413404568388e-06,True,True
0,F0semitoneFrom275Hz_sma3nz_amean,0.16156505649859723,1.04525172813188e-07,0.026103267481394916,0.19495909002104866,1.213309843441854e-10,0.03800904678183536,0.19495909002104866,3.066071735853515e-07,4.448802759286798e-10,True,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.15924685957850532,1.5939274178598973e-07,0.02535956228561619,0.15294504258182823,4.868504490230875e-07,0.02339218605035725,0.15294504258182823,4.524697186182934e-07,1.2600835151185794e-06,True,True
34,HNRdBACF_sma3nz_amean,0.15699585248421188,2.387252389725181e-07,0.024647697697244418,0.1658081202958421,4.753422816390844e-08,0.027492332756040447,0.1658081202958421,6.564944071744246e-07,1.3943373594746476e-07,True,True
74,mfcc4V_sma3nz_amean,0.15144700641116013,6.307245071395206e-07,0.022936195750901976,0.16154303398351655,1.0494797593419502e-07,0.026096151828599583,0.16154303398351655,1.6819320190387216e-06,2.979168349099729e-07,True,True
25,mfcc2_sma3_stddevNorm,-0.14686748145307982,1.370495919293889e-06,0.021570057108370743,-0.039701034840524244,0.19399078882305576,0.0015761721674085198,0.039701034840524244,3.5471659087606543e-06,0.28451982360714845,True,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.1358403128474109,8.077584706010615e-06,0.018452590594482468,0.16943567854275943,2.3846147403614688e-08,0.028708449163245307,0.16943567854275943,2.030935583225526e-05,8.071003736608048e-08,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.13373698924663466,1.1160244982390902e-05,0.017885582292754474,0.1671016001409436,3.723281193216559e-08,0.027922944769663803,0.1671016001409436,2.7280598845844423e-05,1.1298232586312317e-07,True,True
63,slopeV0500_sma3nz_stddevNorm,-0.13172068795950087,1.5146034374707015e-05,0.017350339636524197,-0.021035189422787946,0.49145631155575326,0.0004424791940525699,0.021035189422787946,3.602300067497884e-05,0.6360022855427395,True,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.12251600234020045,5.7748530144830525e-05,0.015010170829424001,0.09859261613365242,0.0012285270751926133,0.009720503956077738,0.09859261613365242,0.00013373343823013385,0.002772061092742307,True,True
71,mfcc2V_sma3nz_stddevNorm,-0.12163273670493284,6.534894185480869e-05,0.014794522638331517,-0.042245094467401476,0.16692032352962918,0.0017846480065596747,0.042245094467401476,0.0001474540226467478,0.24896590628148083,True,False
