,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
15,loudness_sma3_pctlrange02,-0.37239291093952204,6.507763531211062e-52,0.1386764801180108,-0.4540407409273524,2.8007925262977094e-79,0.20615299442185916,0.4540407409273524,3.900093905247032e-50,8.215658077139948e-78,True,True
14,loudness_sma3_percentile800,-0.37193031252461495,8.863849784652346e-52,0.13833215737465776,-0.43941249698128826,8.358953378647894e-74,0.19308334250333067,0.43941249698128826,3.900093905247032e-50,1.8389697433025367e-72,True,True
16,loudness_sma3_meanRisingSlope,-0.3648438479198737,9.463745015271542e-50,0.13311103336497992,-0.45906432433197847,3.1962156144009693e-81,0.21074005387437592,0.45906432433197847,2.776031871146319e-48,1.4063348703364265e-79,True,True
18,loudness_sma3_meanFallingSlope,-0.36269022355193803,3.8236526957029256e-49,0.1315441982601548,-0.45938301607909454,2.4004730880691666e-81,0.21103275546192563,0.45938301607909454,7.202163147194482e-48,1.4063348703364265e-79,True,True
66,spectralFluxV_sma3nz_amean,-0.3625851349422845,4.0921381518150464e-49,0.13146798008111465,-0.40870941712105496,3.754343663542516e-63,0.1670433876434325,0.40870941712105496,7.202163147194482e-48,4.71974631988202e-62,True,True
10,loudness_sma3_amean,-0.36146012900144986,8.448199326446463e-49,0.13065342485774478,-0.4192611712803688,1.0903521276393718e-66,0.17577992974338677,0.4192611712803688,1.2390692345454812e-47,1.5991831205377453e-65,True,True
13,loudness_sma3_percentile500,-0.3504304633506036,8.848760868509862e-46,0.12280150964411875,-0.4049780064466745,6.240409266637587e-62,0.16400718570552272,0.4049780064466745,1.1124156520412398e-44,6.1017335051567516e-61,True,True
54,F3bandwidth_sma3nz_amean,0.34554888847235055,1.7603509609552938e-44,0.11940403432447695,0.2252489333411527,3.4510014257313317e-19,0.05073708197132705,0.2252489333411527,1.9363860570508233e-43,1.5983585550755641e-18,True,True
19,loudness_sma3_stddevFallingSlope,-0.34013483799628846,4.562241221280746e-43,0.1156917080187614,-0.4063355710682996,2.2537385458734913e-62,0.16510859631540115,0.4063355710682996,4.4608580830300626e-42,2.4791124004608404e-61,True,True
20,spectralFlux_sma3_amean,-0.33418084727741254,1.5190582351079417e-41,0.11167683868704932,-0.3768718272809279,3.182907765138363e-53,0.14203237419806555,0.3768718272809279,1.3367712468949887e-40,2.8009588333217593e-52,True,True
