,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,0.335208957137593,5.815548487202235e-75,0.11236504494527268,0.33334942018107117,4.195964624278447e-74,0.11112183593505634,0.33334942018107117,5.117682668737967e-73,3.6924488693650335e-73,True,True
16,loudness_sma3_meanRisingSlope,-0.3237372231974058,9.22772686232836e-70,0.10480578968356692,-0.40838927199728087,9.85287299033034e-114,0.16678179748246905,0.40838927199728087,4.060199819424478e-68,4.33526411574535e-112,True,True
15,loudness_sma3_pctlrange02,-0.3117964249077395,1.3905150949242241e-64,0.09721701058524765,-0.36390274978190007,5.639540913128502e-89,0.13242521129882817,0.36390274978190007,3.9284536696738254e-63,7.089708576504402e-88,True,True
18,loudness_sma3_meanFallingSlope,-0.3115399680546591,1.785660758942648e-64,0.09705715169549801,-0.41082787230138657,3.3351340593683114e-115,0.1687795406596844,0.41082787230138657,3.9284536696738254e-63,2.934917972244114e-113,True,True
14,loudness_sma3_percentile800,-0.31124016891758505,2.3913499786385232e-64,0.09687044274784687,-0.3748379149455472,1.0424160243216984e-94,0.14050346248072526,0.3748379149455472,4.208775962403801e-63,2.2933152535077363e-93,True,True
66,spectralFluxV_sma3nz_amean,-0.3063786227844146,2.6003528236443814e-62,0.0938678604992746,-0.3338342058903762,2.5099154535379278e-74,0.1114452770224581,0.3338342058903762,3.81385080801176e-61,2.454139554570418e-73,True,True
10,loudness_sma3_amean,-0.29608590825236997,3.982293508496258e-58,0.08766686506563084,-0.3644356203286877,2.9991731727020454e-89,0.13281332136435542,0.3644356203286877,5.006311839252439e-57,4.398787319963e-88,True,True
19,loudness_sma3_stddevFallingSlope,-0.29142464750123126,2.752404018186806e-56,0.0849283251712169,-0.36455221570252366,2.6117165566584985e-89,0.13289831797361934,0.36455221570252366,3.0276444200054866e-55,4.398787319963e-88,True,True
13,loudness_sma3_percentile500,-0.28673688696068417,1.799435235587222e-54,0.08221804234390417,-0.3548245131799695,2.206789776980998e-84,0.12590043515340235,0.3548245131799695,1.7594477859075057e-53,2.4274687546790978e-83,True,True
20,spectralFlux_sma3_amean,-0.28469719303003443,1.082141050630749e-53,0.08105249171918069,-0.31121147467465027,2.4590981530470306e-64,0.09685258196917049,0.31121147467465027,9.522841245550593e-53,1.9672785224376245e-63,True,True
17,loudness_sma3_stddevRisingSlope,-0.2826393341083167,6.5131599147971725e-53,0.07988499318519268,-0.37621362926172736,1.9095245831238714e-95,0.14153669484228043,0.37621362926172736,5.210527931837738e-52,5.60127211049669e-94,True,True
87,equivalentSoundLevel_dBp,-0.2531936184693029,1.810896310883541e-42,0.06410700843357892,-0.2665483261230854,4.828811357914643e-47,0.07104801015901868,0.2665483261230854,1.3279906279812635e-41,3.0352528535463474e-46,True,True
