,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,0.3493438171607482,3.5476885470148875e-104,0.12204110258844227,0.24812611465021076,8.221198203269116e-52,0.061566568771409536,0.24812611465021076,3.121965921373101e-102,5.565118783751402e-51,True,True
38,logRelF0H1A3_sma3nz_amean,0.2838811450661483,6.3691494465580175e-68,0.08058850452406754,0.2448323425123861,1.8872708132269118e-50,0.059942875940102336,0.2448323425123861,2.8024257564855274e-66,1.1071988770931216e-49,True,True
16,loudness_sma3_meanRisingSlope,-0.27374818852480587,4.1941296047763175e-63,0.07493807072061266,-0.3879490407133153,4.671952554511608e-130,0.15050445819038158,0.3879490407133153,1.2302780174010532e-61,2.0556591239851075e-128,True,True
14,loudness_sma3_percentile800,-0.26655836365103913,8.301215355876646e-60,0.07105336123231962,-0.35982812739734227,7.41745919924217e-111,0.12947628126627797,0.35982812739734227,1.8262673782928618e-58,1.6318410238332773e-109,True,True
15,loudness_sma3_pctlrange02,-0.26591016456005423,1.6270153901721408e-59,0.07070821561635512,-0.3495933068815784,2.4769950299134788e-104,0.12221548021639746,0.3495933068815784,2.863547086702968e-58,3.6329260438731023e-103,True,True
60,hammarbergIndexV_sma3nz_amean,0.26453206306381294,6.761206513560646e-59,0.0699772123887971,0.22612930698526712,4.178603402429134e-43,0.05113446347763718,0.22612930698526712,9.916436219888948e-58,2.0428727745209098e-42,True,True
66,spectralFluxV_sma3nz_amean,-0.2642138429660184,9.383215983357022e-59,0.06980895481487183,-0.32569235811134095,5.097384673765058e-90,0.10607551213212596,0.32569235811134095,1.179604295050597e-57,4.9841094587925004e-89,True,True
18,loudness_sma3_meanFallingSlope,-0.2615644736118925,1.4116443415793426e-57,0.06841597385586641,-0.38994435827350604,1.7126684655627155e-131,0.15205660254933645,0.38994435827350604,1.5528087757372768e-56,1.5071482496951895e-129,True,True
10,loudness_sma3_amean,-0.25663608140413013,2.013769699025949e-55,0.06586207827846731,-0.34947814818425776,2.9238706667088506e-104,0.12213497605829803,0.34947814818425776,1.9690192612698167e-54,3.675723123862555e-103,True,True
19,loudness_sma3_stddevFallingSlope,-0.2523548593374706,1.373300186777513e-53,0.06368297503123457,-0.3515867638237365,1.3873867311481454e-105,0.12361325249604786,0.3515867638237365,1.2085041643642114e-52,2.441800646820736e-104,True,True
13,loudness_sma3_percentile500,-0.24736536930759936,1.7024145725732224e-51,0.061189625932685024,-0.34007061256779453,1.774481910001253e-98,0.11564802153223501,0.34007061256779453,1.361931658058578e-50,1.951930101001378e-97,True,True
70,mfcc2V_sma3nz_amean,0.24565202215632326,8.69096531337752e-51,0.06034491598949073,0.25251883454612917,1.1699630162815796e-53,0.06376576180053535,0.25251883454612917,6.373374563143515e-50,8.579728786064918e-53,True,True
17,loudness_sma3_stddevRisingSlope,-0.2436986611363613,5.489519891228978e-50,0.059389037439655054,-0.3625417655178277,1.258407753617262e-112,0.13143653174478356,0.3625417655178277,3.715982695601155e-49,3.691329410610636e-111,True,True
20,spectralFlux_sma3_amean,-0.24349120976903676,6.67000511878414e-50,0.059287969234789066,-0.3060322605724491,3.55168869741906e-79,0.09365574451108338,0.3060322605724491,4.192574646092888e-49,3.1254860537287734e-78,True,True
24,mfcc2_sma3_amean,0.2349178939264607,1.7781449808356392e-46,0.05518641688684384,0.2409944144914801,6.85381588876729e-49,0.058078307816091315,0.2409944144914801,1.0431783887569084e-45,3.769598738822009e-48,True,True
58,alphaRatioV_sma3nz_amean,-0.2287607281827123,4.2318654718525136e-44,0.05233147075868477,-0.21307986456084507,2.3297850377079037e-38,0.04540302868126808,0.21307986456084507,2.3275260095188824e-43,1.079058333254187e-37,True,True
52,F3frequency_sma3nz_amean,0.22800578572944205,8.187333847894513e-44,0.05198663832610024,0.10876757379543044,5.5974047401343553e-11,0.011830385109344406,0.10876757379543044,4.238149285968924e-43,1.3312746408968196e-10,True,True
46,F2frequency_sma3nz_amean,0.22166597906148974,1.9012620524516357e-41,0.04913580627328881,0.13846221687264448,6.326345081663275e-17,0.019171785501287234,0.13846221687264448,9.295058923096884e-41,1.8557278906212274e-16,True,True
