,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
53,F3frequency_sma3nz_stddevNorm,0.4330782403399001,2.0255428572945506e-08,0.18755676225590429,0.5078984065614879,1.7750030610538987e-11,0.25796079138769845,0.5078984065614879,1.7824777144192044e-06,1.562002693727431e-09,True,True
10,loudness_sma3_amean,-0.40118925376396897,2.518145471806529e-07,0.16095281733569028,-0.36329338638937037,3.6418041192521327e-06,0.13198208459425637,0.36329338638937037,1.1079840075948728e-05,4.102494765714929e-05,True,True
74,mfcc4V_sma3nz_amean,0.39363061807153965,4.408045722999935e-07,0.15494506348338233,0.3880748425541947,6.594231875373137e-07,0.150602083423463,0.3880748425541947,1.1121572894180662e-05,9.691251084586329e-06,True,True
14,loudness_sma3_percentile800,-0.391752239447111,5.055260406445755e-07,0.1534698171118266,-0.3061465183631084,0.0001127581618401784,0.09372569070585307,0.3061465183631084,1.1121572894180662e-05,0.0005512621245519833,True,True
13,loudness_sma3_percentile500,-0.38393457467391084,8.860273969352668e-07,0.14740575763003683,-0.344791962330354,1.1925959215145881e-05,0.11888149728761624,0.344791962330354,1.3805710937685918e-05,7.496317220948839e-05,True,True
64,slopeV5001500_sma3nz_amean,0.3822550635372999,9.976694427101896e-07,0.14611893359990516,0.33876313985646317,1.727705892195744e-05,0.11476046492540963,0.33876313985646317,1.3805710937685918e-05,0.00010135874567548365,True,True
66,spectralFluxV_sma3nz_amean,-0.38088972960833356,1.0981815518613798e-06,0.14507698612110945,-0.25436197187773935,0.001455775585458692,0.06470001273753186,0.25436197187773935,1.3805710937685918e-05,0.004927240443090957,True,True
20,spectralFlux_sma3_amean,-0.37759421123878445,1.3820409197355416e-06,0.14257738836103978,-0.2639930947802833,0.000938753535245892,0.06969235409167165,0.2639930947802833,1.5202450117090957e-05,0.003591752656592978,True,True
28,mfcc4_sma3_amean,0.37358009606451614,1.8225134614916513e-06,0.1395620881755731,0.38804649807576763,6.607671194036132e-07,0.15058008466886674,0.38804649807576763,1.7820131623473922e-05,9.691251084586329e-06,True,True
12,loudness_sma3_percentile200,-0.3678547178018005,2.687085372100331e-06,0.1353170934090423,-0.4077009100624796,1.5371463952108534e-07,0.16622003206577407,0.4077009100624796,2.3646351274482914e-05,3.3817220694638772e-06,True,True
87,equivalentSoundLevel_dBp,-0.33852427008174146,1.752990068992536e-05,0.11459868143437583,-0.3245763780884234,4.01144251663896e-05,0.10534982521299917,0.3245763780884234,0.00014023920551940288,0.0002206293384151428,True,True
18,loudness_sma3_meanFallingSlope,-0.3179439918256576,5.864225135732059e-05,0.10108838193803381,-0.26866085961150193,0.0007544462577576659,0.07217865748719116,0.26866085961150193,0.00040549388903250483,0.003032009837874557,True,True
47,F2frequency_sma3nz_stddevNorm,0.3175679818696999,5.990250633434731e-05,0.10084942310879406,0.3484538454812606,9.485963546428985e-06,0.12142008243067826,0.3484538454812606,0.00040549388903250483,6.421267631428851e-05,True,True
16,loudness_sma3_meanRisingSlope,-0.30617738693722185,0.00011256944976877135,0.09374459227170527,-0.2551995816230386,0.0014021834442997294,0.06512682646057392,0.2551995816230386,0.0007075793985465628,0.004927240443090957,True,True
41,F1frequency_sma3nz_stddevNorm,0.3040533484749009,0.00012626635185223567,0.09244843871879951,0.35090885580069064,8.123340844352703e-06,0.1231370250793499,0.35090885580069064,0.000740762597533116,5.957116619191983e-05,True,True
65,slopeV5001500_sma3nz_stddevNorm,-0.2933395714631467,0.00022236543650476802,0.08604810418618256,-0.023756425371840827,0.7699434641659734,0.0005643677464478425,0.023756425371840827,0.001223009900776224,0.8237273040654337,True,False
39,logRelF0H1A3_sma3nz_stddevNorm,0.28530465649317094,0.0003351076872088293,0.08139874701668627,0.292146970703693,0.00023650382916949865,0.08534985249134446,0.292146970703693,0.0017075034101435842,0.0010953861561534674,True,True
43,F1bandwidth_sma3nz_stddevNorm,0.28448077690078366,0.00034926206116573315,0.08092931242607344,0.2526468345335723,0.0015713889996821985,0.06383042299983425,0.2526468345335723,0.0017075034101435842,0.00512156414711235,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,0.2599248200437073,0.0011321578743804465,0.06756091207475363,0.2624541931487921,0.0010080358000985447,0.06888220350138347,0.2624541931487921,0.005243678576077857,0.0036961312670279974,True,True
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.2579503509059775,0.0012386043291323205,0.06653838353251693,0.21081355477507469,0.008680825442335057,0.044442354876903414,0.21081355477507469,0.00544985904818221,0.017361650884670114,True,True
