,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
53,F3frequency_sma3nz_stddevNorm,0.4208040903069059,2.0149265272298617e-09,0.17707608241902262,0.47013870325819423,1.1307161151916917e-11,0.22103040030129642,0.47013870325819423,1.7731353439622782e-07,9.950301813686886e-10,True,True
10,loudness_sma3_amean,-0.38489138925063143,5.3574599490315745e-08,0.14814138151928108,-0.38888529941587324,3.79099622565678e-08,0.15123177610177338,0.38888529941587324,1.6155277358164307e-06,6.672153357155933e-07,True,True
60,hammarbergIndexV_sma3nz_amean,0.38323171548943774,6.177188134990858e-08,0.14686654775697736,0.3462214189290081,1.2116562578570216e-06,0.11986927092521572,0.3462214189290081,1.6155277358164307e-06,1.5232250098773986e-05,True,True
14,loudness_sma3_percentile800,-0.3812034185126884,7.343307890074685e-08,0.14531604628575986,-0.34033709706078996,1.8803033531311855e-06,0.11582933963576557,0.34033709706078996,1.6155277358164307e-06,2.068333688444304e-05,True,True
13,loudness_sma3_percentile500,-0.3724599436474618,1.5270387891086257e-07,0.13872640962187044,-0.368023057832299,2.1961093544892666e-07,0.13544097109623568,0.368023057832299,2.6875882688311813e-06,3.220960386584258e-06,True,True
20,spectralFlux_sma3_amean,-0.36625258780747066,2.534926649453407e-07,0.134140958075669,-0.2589574758550748,0.0003453249191438395,0.06705897430123164,0.2589574758550748,3.717892419198331e-06,0.0013212431688981684,True,True
66,spectralFluxV_sma3nz_amean,-0.36394769295229207,3.051600126703107e-07,0.13245792320529587,-0.2531221387238841,0.00047356505847636563,0.06407081711215323,0.2531221387238841,3.8362973021410485e-06,0.0015626023094138532,True,True
54,F3bandwidth_sma3nz_amean,0.3489075870560407,9.88456170198184e-07,0.12173650430526861,0.43369523626101086,5.629588424286269e-10,0.18809155795549404,0.43369523626101086,1.0873017872180025e-05,2.4770189066859583e-08,True,True
12,loudness_sma3_percentile200,-0.33830321743552244,2.1841945389145415e-06,0.11444906692722638,-0.42155550859108554,1.8733341832706086e-09,0.1777090468234888,0.42155550859108554,2.1356568824942183e-05,4.121335203195339e-08,True,True
87,equivalentSoundLevel_dBp,-0.3325932309791459,3.3075129253552565e-06,0.11061825729314749,-0.29371377207691557,4.5055394469341796e-05,0.0862677799076503,0.29371377207691557,2.9106113743126258e-05,0.00026432498088680524,True,True
74,mfcc4V_sma3nz_amean,0.29741535158926036,3.5688173752375987e-05,0.08845589136096335,0.31105006574813193,1.4709000305970377e-05,0.09675214340191719,0.31105006574813193,0.0002855053900190079,0.0001294392026925393,True,True
16,loudness_sma3_meanRisingSlope,-0.29535281458879536,4.065340659097653e-05,0.08723328508552333,-0.25927760910793096,0.00033932147644144105,0.06722487858472505,0.25927760910793096,0.0002981249816671612,0.0013212431688981684,True,True
65,slopeV5001500_sma3nz_stddevNorm,-0.2844130694119225,7.980145996397819e-05,0.08089079405231106,-0.026085126161949367,0.7230561681682094,0.0006804338068848153,0.026085126161949367,0.0005401944982176985,0.7759627170585662,True,False
58,alphaRatioV_sma3nz_amean,-0.2784139469401392,0.0001141820595189969,0.07751432585078666,-0.29251444113780095,4.855642229213441e-05,0.08556469827416002,0.29251444113780095,0.0006816308994425585,0.00026706032260673924,True,True
18,loudness_sma3_meanFallingSlope,-0.27776825030641783,0.0001186133856392924,0.07715520087828878,-0.2540744056761825,0.00045000247594888655,0.06455380361970536,0.2540744056761825,0.0006816308994425585,0.0015626023094138532,True,True
38,logRelF0H1A3_sma3nz_amean,0.276166019133418,0.0001303137224936303,0.07626767012399939,0.289954952504633,5.6901200915375906e-05,0.08407387448196398,0.289954952504633,0.0006816308994425585,0.0002781836489196155,True,True
28,mfcc4_sma3_amean,0.275987946811797,0.00013167869648322153,0.07616934678539129,0.30593558999769166,2.0616996595104446e-05,0.0935965852272357,0.30593558999769166,0.0006816308994425585,0.0001497596592591673,True,True
64,slopeV5001500_sma3nz_amean,0.27284246995681405,0.0001581046943377919,0.07444301341213498,0.2722743847548058,0.0001633758793191925,0.07413334059360803,0.2722743847548058,0.0007729562834292048,0.0006846227323851875,True,True
47,F2frequency_sma3nz_stddevNorm,0.2703621261237569,0.0001823492454127384,0.07309567924215822,0.3004940744084436,2.932747327367719e-05,0.09029668875458724,0.3004940744084436,0.0008325292553782298,0.0001843441177202566,True,True
43,F1bandwidth_sma3nz_stddevNorm,0.269716009570543,0.00018921119440414312,0.07274672581865724,0.23909061700344159,0.0009823944636463155,0.05716432313908639,0.23909061700344159,0.0008325292553782298,0.0030875254571741343,True,True
46,F2frequency_sma3nz_amean,0.2524763184010482,0.0004901891029346168,0.06374429135334748,0.29052626033068985,5.4929380238931184e-05,0.08440550794173576,0.29052626033068985,0.001979512176458958,0.0002781836489196155,True,True
68,mfcc1V_sma3nz_amean,0.25229782289282227,0.0004948780441147395,0.06365419143645791,0.18023877251357015,0.013569894571529129,0.032486015117198494,0.18023877251357015,0.001979512176458958,0.02548972392939956,True,True
19,loudness_sma3_stddevFallingSlope,-0.2469967710582026,0.0006545526037355932,0.06100740491317816,-0.20351385343451295,0.005211734919057894,0.04141788853976442,0.20351385343451295,0.0025043751795100957,0.012111739408023845,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,0.23745759477921974,0.001066600453773093,0.05638610931833213,0.22871925884881203,0.001640771569088723,0.05231249936834988,0.22871925884881203,0.003910868330501341,0.004657674131606697,True,True
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.23196471970124818,0.001400797069014832,0.05380763118607864,0.20044252963635356,0.0059485713142774285,0.040177207687020475,0.20044252963635356,0.004930805682932208,0.013422417324523428,True,True
40,F1frequency_sma3nz_amean,0.23085140164664703,0.001479239072510542,0.053292369642221546,0.28507031484125156,7.669193809288648e-05,0.08126508440369029,0.28507031484125156,0.005006655322343373,0.0003552047659038953,True,True
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.22758808537190975,0.001732859634515571,0.05179633660325168,0.1833576199715443,0.012008367410113723,0.03362001680162926,0.1833576199715443,0.00564783880879149,0.024016734820227446,True,True
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,0.2258358637983174,0.0018848438081239267,0.05100183737753217,0.20723399715631943,0.00442943464843529,0.04294592957738541,0.20723399715631943,0.005923794825532341,0.011136864258923016,True,True
39,logRelF0H1A3_sma3nz_stddevNorm,0.21950392157682103,0.002540762363470889,0.04818197158760319,0.23695974201295544,0.0010935595191468727,0.0561499193348464,0.23695974201295544,0.007709899585704767,0.0033183875063767174,True,True
67,spectralFluxV_sma3nz_stddevNorm,0.20733740743018725,0.004409283467317007,0.042988800519871466,0.30485518914626525,2.2123586026922442e-05,0.09293668634940516,0.30485518914626525,0.012933898170796555,0.0001497596592591673,True,True
41,F1frequency_sma3nz_stddevNorm,0.20225307443806217,0.0055036905316553615,0.04090630611964832,0.2528917459589597,0.0004794347994792504,0.06395423517417101,0.2528917459589597,0.015455292709868543,0.0015626023094138532,True,True
77,hammarbergIndexUV_sma3nz_amean,0.20176698925920541,0.005620106439952198,0.04070991795472431,0.23364806254313053,0.0012893955301645679,0.05459141713015864,0.23364806254313053,0.015455292709868543,0.0037822268884827328,True,True
62,slopeV0500_sma3nz_amean,0.19703951813529436,0.006872528601250709,0.03882457170698899,0.27371607585712077,0.00015030750497489626,0.07492049018262109,0.27371607585712077,0.01832674293666856,0.0006613530218895436,True,True
22,mfcc1_sma3_amean,0.1930908803304159,0.008103229901038804,0.037284088066774995,0.10765851976582544,0.1424841603124519,0.011590356878168626,0.10765851976582544,0.020973065626218083,0.19591572042962135,True,False
35,HNRdBACF_sma3nz_stddevNorm,0.19129512362837528,0.00872497137557662,0.03659382432399538,0.2034328393362568,0.0052300692898284784,0.04138492012041128,0.2034328393362568,0.021937070887164074,0.012111739408023845,True,True
48,F2bandwidth_sma3nz_amean,0.18928890848904342,0.009469265276584714,0.03583029087697345,0.18015566881179307,0.01361382982592931,0.032456065005024466,0.18015566881179307,0.022681116668463897,0.02548972392939956,True,True
84,StddevVoicedSegmentLengthSec,0.1889632361707683,0.009595246333818613,0.03570710462412956,0.05394393034091177,0.46339982112998473,0.0029099476206251415,0.05394393034091177,0.022681116668463897,0.5365682139399823,True,False
82,VoicedSegmentsPerSec,0.18845674906213306,0.009794118561382138,0.03551594626706779,0.2250478773935974,0.00195707130030788,0.05064654711936365,0.2250478773935974,0.022681116668463897,0.005065361012561572,True,True
76,alphaRatioUV_sma3nz_amean,-0.18137527438152332,0.012981399470311844,0.032896990156972866,-0.22509329542522177,0.0019528407628961048,0.05066699164538616,0.22509329542522177,0.028627697250624334,0.005065361012561572,True,True
15,loudness_sma3_pctlrange02,-0.1813139170563393,0.013012589659374697,0.032874736518313095,-0.0697161548900838,0.3430704606462207,0.004860342252658156,0.0697161548900838,0.028627697250624334,0.41356439091599206,True,False
21,spectralFlux_sma3_stddevNorm,0.17829251425867992,0.014632101677579138,0.03178822064068158,0.31685586652290126,9.949524704886176e-06,0.10039764014997862,0.31685586652290126,0.03140548652748693,9.728424155888705e-05,True,True
17,loudness_sma3_stddevRisingSlope,-0.17259740240069185,0.018168616803948694,0.02978986331546635,-0.25361235173023894,0.00046129643612094484,0.06431922495014243,0.25361235173023894,0.03806757806541631,0.0015626023094138532,True,True
