,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,0.40251120180434713,2.4794392327132436e-22,0.16201526757797985,0.40522784769035664,1.2214763459038991e-22,0.16420960854375888,0.40522784769035664,2.1819065247876542e-20,1.0748991843954313e-20,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.30000597024988507,1.2465808287703314e-12,0.09000358218557493,-0.21020198463781548,8.890535509619956e-07,0.04418487434567641,0.21020198463781548,4.912787045798426e-11,3.4015961949850266e-06,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.29710318364086225,2.0933813482887896e-12,0.08827030172953591,-0.22278067233027132,1.8261201873583047e-07,0.049631227963927715,0.22278067233027132,4.912787045798426e-11,8.066551766541647e-07,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.29673911678495707,2.2330850208174663e-12,0.08805410343031639,0.20683515993799106,1.336500243547665e-06,0.042780783386574345,0.20683515993799106,4.912787045798426e-11,4.70448085728778e-06,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.29339451614664785,4.025347076048105e-12,0.08608034210492561,0.20254391748045147,2.2254146367559473e-06,0.041024038508327934,0.20254391748045147,7.084610853844665e-11,7.532172616712436e-06,True,True
85,MeanUnvoicedSegmentLength,-0.2840319165844321,2.011434763203828e-11,0.0806741296386258,-0.18631039594326282,1.3898212286622202e-05,0.03471156363653536,0.18631039594326282,2.9501043193656144e-10,3.822008378821105e-05,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.2828056216954652,2.4723658496602874e-11,0.07997901966255858,0.2017928396266872,2.430446340580071e-06,0.0407203501246019,0.2017928396266872,3.1081170681443616e-10,7.92145473966838e-06,True,True
24,mfcc2_sma3_amean,0.2807569344701264,3.482047735209739e-11,0.07882445625306285,0.2591538409612739,1.0882814791093677e-09,0.06716071328498126,0.2591538409612739,3.8302525087307125e-10,1.1971096270203045e-08,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,0.2780607761617446,5.4412836650481074e-11,0.07731779523967185,0.15952550589991948,0.00020570213662236331,0.025448387032625246,0.15952550589991948,5.32036625026926e-10,0.0004309949529230469,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.276493742277534,7.037400406138152e-11,0.07644878951863539,-0.18993195523692785,9.358540887496602e-06,0.036074147620122364,0.18993195523692785,6.192912357401573e-10,2.7451719936656703e-05,True,True
61,hammarbergIndexV_sma3nz_stddevNorm,0.2754422402214198,8.355547329682859e-11,0.07586842769819432,0.17855060287884705,3.162414949621565e-05,0.03188031778839975,0.17855060287884705,6.684437863746287e-10,7.730347654630493e-05,True,True
79,slopeUV5001500_sma3nz_amean,-0.264132886165737,5.057601774393796e-10,0.06976618155424218,-0.18082827246929542,2.493183762737477e-05,0.032698864124229746,0.18082827246929542,3.708907967888784e-09,6.452946209438177e-05,True,True
59,alphaRatioV_sma3nz_stddevNorm,-0.2623859672053858,6.629796939629369e-10,0.0688463957863058,-0.08013610567098614,0.06350020963068677,0.006421795432111457,0.08013610567098614,4.487862543749111e-09,0.08731278824219431,True,False
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,0.26034838647413977,9.068432991179703e-10,0.06778128233968804,0.054866680921688935,0.2042865044354829,0.0030103526753624244,0.054866680921688935,5.7001578801701e-09,0.24968350542114576,True,False
69,mfcc1V_sma3nz_stddevNorm,0.24688483604422112,6.719862359199333e-09,0.060952122268581946,0.11629894340280471,0.006977715933001748,0.013525444236608774,0.11629894340280471,3.942319250730275e-08,0.010964982180431317,True,True
43,F1bandwidth_sma3nz_stddevNorm,0.24174433140502294,1.4006461732303997e-08,0.05844032176646156,0.1740560938880989,5.012542814836437e-05,0.030295523819582698,0.1740560938880989,7.476758751143854e-08,0.00011310353018092473,True,True
38,logRelF0H1A3_sma3nz_amean,0.24152660748857344,1.4443738496527899e-08,0.05833510212493942,0.2289223304928624,8.144126975891156e-08,0.05240543339828332,0.2289223304928624,7.476758751143854e-08,5.089937936309022e-07,True,True
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.23762838140165757,2.4920418928445054e-08,0.05646724764757163,0.19699374821609283,4.235155698001838e-06,0.038806536836225376,0.19699374821609283,1.2183315920573136e-07,1.3310489336577204e-05,True,True
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,0.23549839443982665,3.3439032376874e-08,0.05545949378373617,0.08413705458571813,0.05133809094741055,0.007079043954360112,0.08413705458571813,1.5487551837710062e-07,0.07171034925987504,True,False
48,F2bandwidth_sma3nz_amean,0.23082164931950278,6.314987102930908e-08,0.053278633794575515,0.2551967578138952,1.9782819513900664e-09,0.06512538519872389,0.2551967578138952,2.6623738134482373e-07,1.9343201302480648e-08,True,True
70,mfcc2V_sma3nz_amean,0.23077656869133445,6.353392054819658e-08,0.05325782465694621,0.2513907494632058,3.481987000207751e-09,0.0631973089156723,0.2513907494632058,2.6623738134482373e-07,3.0641485601828214e-08,True,True
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.22930272642833385,7.740979958589236e-08,0.05257974034746732,0.17490457209398394,4.599097993407031e-05,0.030591609339379624,0.17490457209398394,3.0963919834356944e-07,0.00010938395227562667,True,True
