,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,0.4143919032106906,3.0125655012914707e-31,0.17172064944657836,0.27198613604362143,1.1200551096907899e-13,0.07397645819993934,0.27198613604362143,2.651057641136494e-29,1.9712969930557903e-12,True,True
38,logRelF0H1A3_sma3nz_amean,0.3270101342473401,2.0949715915401365e-19,0.10693562790046339,0.26258607766853914,8.085852215550286e-13,0.06895144818534807,0.26258607766853914,9.2178750027766e-18,1.185924991614042e-11,True,True
24,mfcc2_sma3_amean,0.28288873950433474,1.0252985304970513e-14,0.08002603893835136,0.25720268642023925,2.4225139533144875e-12,0.06615322190178792,0.25720268642023925,3.007542356124684e-13,2.3686803099074986e-11,True,True
70,mfcc2V_sma3nz_amean,0.26925247993060164,2.0062413635504577e-13,0.07249689794877905,0.2600038666810095,1.372993178763099e-12,0.06760201068907616,0.2600038666810095,4.413730999811006e-12,1.5102924966394088e-11,True,True
48,F2bandwidth_sma3nz_amean,0.2646884553293599,5.231744301559448e-13,0.07005997838464256,0.18808074690493165,3.707359642163533e-07,0.03537436735631696,0.18808074690493165,9.20786997074463e-12,1.359365202126629e-06,True,True
36,logRelF0H1H2_sma3nz_amean,0.2626245999309468,8.021883384048224e-13,0.06897168048888985,0.22503526762238366,1.0194893207335841e-09,0.05064087167387783,0.22503526762238366,1.122303502441617e-11,5.607191264034712e-09,True,True
60,hammarbergIndexV_sma3nz_amean,0.26210534259048096,8.927414223967407e-13,0.0686992106144734,0.2074385198666476,1.935100106982956e-08,0.04303073952446555,0.2074385198666476,1.122303502441617e-11,8.962568916552639e-08,True,True
0,F0semitoneFrom275Hz_sma3nz_amean,0.25411231882107005,4.4968227126605075e-12,0.06457307057662115,0.20084983400951906,5.464725477911802e-08,0.04034065582165136,0.20084983400951906,4.946504983926558e-11,2.2899802002678026e-07,True,True
34,HNRdBACF_sma3nz_amean,0.24531789532730308,2.49997960518777e-11,0.060180869767817634,0.26111557740929425,1.0939083298201422e-12,0.06818134476578915,0.26111557740929425,2.4444245028502637e-10,1.3751990432024644e-11,True,True
58,alphaRatioV_sma3nz_amean,-0.2441067755083321,3.149919057390541e-11,0.059588117849075244,-0.19305702434857108,1.7848789047299268e-07,0.037271014650324764,0.19305702434857108,2.771928770503676e-10,7.139515618919707e-07,True,True
52,F3frequency_sma3nz_amean,0.23731417180897058,1.1252200762862452e-10,0.0563180161413776,0.13916033935308644,0.00017980804333138595,0.01936560004886618,0.13916033935308644,9.001760610289962e-10,0.0004944721191613114,True,True
62,slopeV0500_sma3nz_amean,0.2175598791576121,3.6705623231440608e-09,0.047332301019074784,0.21994414240417273,2.4515052842308953e-09,0.048375425777907016,0.21994414240417273,2.6917457036389782e-08,1.2690145000724635e-08,True,True
42,F1bandwidth_sma3nz_amean,0.21056511083008186,1.168139978377357e-08,0.04433766589888466,0.15103390250621515,4.721797252496483e-05,0.022811239706256904,0.15103390250621515,7.907409084400571e-08,0.00013403811555473885,True,True
46,F2frequency_sma3nz_amean,0.20972460873222903,1.3389281654942718e-08,0.04398441150788656,0.15845132251112543,1.943195303865873e-05,0.025106821605524684,0.15845132251112543,8.416119897392565e-08,5.896592646213684e-05,True,True
69,mfcc1V_sma3nz_stddevNorm,0.20746513303763223,1.9268676279652915e-08,0.04304178142632244,0.015499623781287747,0.6779948644099961,0.00024023833736146067,0.015499623781287747,1.1304290084063045e-07,0.7365870131861687,True,False
67,spectralFluxV_sma3nz_stddevNorm,0.20241514648613695,4.283597637072786e-08,0.040971891527004284,0.1554666819848881,2.7912469166196134e-05,0.024169889207390334,0.1554666819848881,2.3559787003900321e-07,8.1876576220842e-05,True,True
25,mfcc2_sma3_stddevNorm,-0.19198895770574967,2.09146711610876e-07,0.03685975988094013,0.017736528582599078,0.6346932721516912,0.0003145844461613541,0.017736528582599078,1.0297631645246286e-06,0.6981625993668604,True,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.19194109180905888,2.1063337456185584e-07,0.03684138272485357,0.15901374536199536,1.813662736884131e-05,0.0252853712140495,0.15901374536199536,1.0297631645246286e-06,5.700082887350126e-05,True,True
85,MeanUnvoicedSegmentLength,-0.1913364031278563,2.3031446998457388e-07,0.036609619161905534,-0.06469301538126346,0.08279447348193475,0.004185186239120391,0.06469301538126346,1.0667196504548686e-06,0.12037210973949865,True,False
61,hammarbergIndexV_sma3nz_stddevNorm,0.18568793241903203,5.232841034490414e-07,0.03448000824605501,0.06311512795547838,0.09058849597286191,0.003983519376836409,0.06311512795547838,2.302450055175782e-06,0.12857722009051367,True,False
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,0.1804041407873504,1.1026654284756647e-06,0.032545654013222146,0.007180659455628315,0.847471959774704,5.156187021770433e-05,0.007180659455628315,4.620693224088499e-06,0.8671806100020227,True,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.17641439612516346,1.9085480823366835e-06,0.03112203916020609,-0.11319314619454311,0.0023517220633562912,0.01281268834541921,0.11319314619454311,7.527947136560016e-06,0.005306449783983426,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.17619042236098462,1.9675316379645496e-06,0.031043064931742147,0.08718686604745038,0.01929090031547203,0.007601549611176056,0.08718686604745038,7.527947136560016e-06,0.03611913250556465,True,True
40,F1frequency_sma3nz_amean,0.17479526030635217,2.3762291611935415e-06,0.030553383025565414,0.16637296686636566,7.195828910457035e-06,0.027679964103916804,0.16637296686636566,8.712840257709652e-06,2.345307200445256e-05,True,True
44,F1amplitudeLogRelF0_sma3nz_amean,0.1730718797668074,2.9939857677306656e-06,0.02995387556601624,0.08673730069783477,0.019925360115918438,0.007523359332346607,0.08673730069783477,1.0538829902411942e-05,0.036529826879183804,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.17148839885405018,3.6948820425815426e-06,0.0294082709415258,-0.09380715049931468,0.01179256655204888,0.008799781484801074,0.09380715049931468,1.2505754605660605e-05,0.022743162501690697,True,True
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.17095407234463197,3.964966780330996e-06,0.029225294851213664,0.13473263216514939,0.00028838316907680466,0.018152882170149445,0.13473263216514939,1.2638107292238279e-05,0.0007464034964340826,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.1708471840385106,4.02121595662127e-06,0.02918876029388871,0.19131887209969412,2.30910715780335e-07,0.036602910821499114,0.19131887209969412,1.2638107292238279e-05,8.834844777682382e-07,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.1702500299042116,4.34977645152475e-06,0.02898507268238494,0.0810342000449008,0.029692050883189873,0.0065665415769170015,0.0810342000449008,1.3199321646006138e-05,0.05225800955441417,True,False
59,alphaRatioV_sma3nz_stddevNorm,-0.16050678610255523,1.5084357728518764e-05,0.025762428384971416,-0.03739671914029733,0.31631157356495115,0.0013985146024582808,0.03739671914029733,4.424744933698838e-05,0.40341186193790873,True,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.15303888692240236,3.729251410563157e-05,0.023420900910447857,-0.07493181217566242,0.044434959521026315,0.0056147764759287505,0.07493181217566242,0.00010586262068695413,0.0724125266268577,True,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.1522551659510922,4.091053381733085e-05,0.023181635558794628,0.16864195270263316,5.367084539002822e-06,0.02844010821135716,0.16864195270263316,0.00011250396799765983,1.816551690124032e-05,True,True
22,mfcc1_sma3_amean,0.14899669068460417,5.9830680846759594e-05,0.02220001383496361,0.11255216466100922,0.0024907799035640385,0.012667989769878932,0.11255216466100922,0.00015954848225802558,0.005479715787840885,True,True
16,loudness_sma3_meanRisingSlope,-0.14573920873257423,8.6811860614074e-05,0.02123991696199684,-0.30537781890102056,5.251461349366451e-17,0.0932556122767445,0.30537781890102056,0.00022468952158936803,1.155321496860619e-15,True,True
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,0.1445465476281478,9.92939683763032e-05,0.020893704431216402,0.017823643147909296,0.6330306916239699,0.000317682255064014,0.017823643147909296,0.00024965340620327665,0.6981625993668604,True,False
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.14301209287340408,0.00011784852357177659,0.020452458708031154,0.10740221235106226,0.003911077928455837,0.011535235217902671,0.10740221235106226,0.00028807416873100945,0.008004066458235202,True,True
83,MeanVoicedSegmentLengthSec,0.14239874726522697,0.000126140689497306,0.020277403222705985,0.05103273896295939,0.1713545846812351,0.0026043404460615533,0.05103273896295939,0.0003000102885341332,0.23198774541459521,True,False
15,loudness_sma3_pctlrange02,-0.14114139085068036,0.00014488467002435516,0.01992089221126452,-0.23883816138806302,8.484858458737432e-11,0.05704366733523044,0.23883816138806302,0.00033552239374061194,6.184735442912626e-10,True,True
19,loudness_sma3_stddevFallingSlope,-0.1398802075853786,0.00016629228459246365,0.019566472474128613,-0.3120829809699933,9.944578365038267e-18,0.09739578701111722,0.3120829809699933,0.0003752236165163282,2.917076320411225e-16,True,True
79,slopeUV5001500_sma3nz_amean,-0.1387559153389998,0.00018784668885396145,0.019253204041563683,-0.07444015667460342,0.045853498068545905,0.005541336925739504,0.07444015667460342,0.0004132627154787152,0.07336559690967345,True,False
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,0.1382729536264574,0.00019788792702627372,0.019119409704584436,0.06455793155103468,0.08343975788760702,0.004167726526148078,0.06455793155103468,0.0004247350628856607,0.12037210973949865,True,False
33,shimmerLocaldB_sma3nz_stddevNorm,0.1366346741320066,0.00023582514909743,0.018669034175159638,0.13763820948186778,0.00021185135004891692,0.018944276709374517,0.13763820948186778,0.0004941098362041391,0.0005649369334637784,True,True
64,slopeV5001500_sma3nz_amean,-0.13572647892523323,0.0002596891298662132,0.01842167708144178,-0.0811045000802437,0.029550275993100065,0.0065779399332662495,0.0811045000802437,0.0005314568239122502,0.05225800955441417,True,False
49,F2bandwidth_sma3nz_stddevNorm,0.135445614612424,0.0002675149651250573,0.018345514517737284,0.1096598789918796,0.0032164142489633334,0.012025289060513675,0.1096598789918796,0.0005325529608633912,0.006739153664494603,True,True
