,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
36,logRelF0H1H2_sma3nz_amean,0.4523076350025746,1.7151534594903768e-12,0.20458219668162225,0.4349920314351927,1.4328148304491881e-11,0.1892180674121157,0.4349920314351927,1.5093350443515317e-10,1.576096313494107e-10,True,True
19,loudness_sma3_stddevFallingSlope,-0.4038589875467092,4.871729964057959e-10,0.163102081822253,-0.4459913318649481,3.772538366448177e-12,0.19890826809867027,0.4459913318649481,1.4363525423299802e-08,6.639667524948792e-11,True,True
76,alphaRatioUV_sma3nz_amean,-0.40381153203449094,4.89665639430675e-10,0.1630637534040427,-0.40351846345450065,5.053354290887588e-10,0.16282715034868117,0.40351846345450065,1.4363525423299802e-08,4.04268343271007e-09,True,True
10,loudness_sma3_amean,-0.38570868350613124,3.238591621072266e-09,0.14877118853203292,-0.45144067281115136,1.9129728998021965e-12,0.20379868106818502,0.45144067281115136,5.706437707287899e-08,4.208540379564832e-11,True,True
54,F3bandwidth_sma3nz_amean,0.38441938013200927,3.689070710389483e-09,0.14777825982107826,0.3876475379534653,2.6597317499928482e-09,0.1502706136813833,0.3876475379534653,5.706437707287899e-08,1.5603759599958044e-08,True,True
16,loudness_sma3_meanRisingSlope,-0.3834028030148523,4.0864010840489185e-09,0.14699770935964562,-0.4280662012458383,3.2401407244357894e-11,0.1832406726490425,0.4280662012458383,5.706437707287899e-08,3.168137597226105e-10,True,True
34,HNRdBACF_sma3nz_amean,0.38235477947393626,4.539211812615374e-09,0.14619517738656243,0.394751656920472,1.278510542447206e-09,0.155828870641458,0.394751656920472,5.706437707287899e-08,9.375743977946179e-09,True,True
77,hammarbergIndexUV_sma3nz_amean,0.3777498795292894,7.171603104451915e-09,0.14269497148439267,0.3533142616548372,7.230799410104483e-08,0.12483096748870276,0.3533142616548372,6.502596602131051e-08,3.1815517404459724e-07,True,True
18,loudness_sma3_meanFallingSlope,-0.3775114584618797,7.342042640302819e-09,0.14251490127001554,-0.46608549323508774,2.901907190699111e-13,0.21723568700419502,0.46608549323508774,6.502596602131051e-08,1.2768391639076088e-11,True,True
66,spectralFluxV_sma3nz_amean,-0.3774462786017245,7.389314320603468e-09,0.14246569323029065,-0.3606465334690886,3.688173471464809e-08,0.13006592210327045,0.3606465334690886,6.502596602131051e-08,1.8031070304939066e-07,True,True
14,loudness_sma3_percentile800,-0.37541655488636616,9.017641869906122e-09,0.14093758968274797,-0.4360778686443933,1.2586327323689212e-11,0.19016390752143672,0.4360778686443933,7.214113495924898e-08,1.576096313494107e-10,True,True
13,loudness_sma3_percentile500,-0.3702999358641853,1.4807994090282338e-08,0.13712204250101975,-0.45883864057274304,7.461915721402721e-13,0.2105328980826429,0.45883864057274304,1.0859195666207049e-07,2.188828611611465e-11,True,True
15,loudness_sma3_pctlrange02,-0.36445433156395324,2.582520927127688e-08,0.13282695979572795,-0.39182316380510396,1.7328579224661532e-09,0.15352539169424131,0.39182316380510396,1.7481680122095118e-07,1.0892249798358678e-08,True,True
33,shimmerLocaldB_sma3nz_stddevNorm,0.35753097255852373,4.919798722286734e-08,0.12782839633864385,0.3491906256680195,1.0480744843626737e-07,0.12193409305442292,0.3491906256680195,3.092444911151661e-07,4.3919311725673943e-07,True,True
12,loudness_sma3_percentile200,-0.35603526629391036,5.643482264594817e-08,0.12676111084497566,-0.4954047120095519,5.02217738551478e-15,0.24542582868126703,0.4954047120095519,3.310842928562293e-07,4.4195160992530065e-13,True,True
20,spectralFlux_sma3_amean,-0.3532742702878637,7.257061161436945e-08,0.12480271004742256,-0.3549850109627043,6.211745925560974e-08,0.1260143580081913,0.3549850109627043,3.9913836387903195e-07,2.8770191655229775e-07,True,True
17,loudness_sma3_stddevRisingSlope,-0.34987576950924676,9.857508529613555e-08,0.12241305408968757,-0.39300059266034637,1.5339906231104674e-09,0.1544494658313835,0.39300059266034637,5.102710297682311e-07,1.0383936525670856e-08,True,True
58,alphaRatioV_sma3nz_amean,-0.3406082225508682,2.231407567631743e-07,0.11601396126926176,-0.37864924536294287,6.562412950246009e-09,0.14337525101392612,0.37864924536294287,1.090910366397741e-06,3.6093271226353046e-08,True,True
52,F3frequency_sma3nz_amean,0.3350673626845195,3.591495635940754e-07,0.11227013753635931,0.4205990418528302,7.651156929766925e-11,0.1769035540075188,0.4205990418528302,1.6634295576988754e-06,6.733018098194895e-10,True,True
46,F2frequency_sma3nz_amean,0.33301476884279085,4.2739142114939246e-07,0.11089883626741742,0.4408432740452135,7.087267671233632e-12,0.1943427922709032,0.4408432740452135,1.7979040535427746e-06,1.0394659251142662e-10,True,True
47,F2frequency_sma3nz_stddevNorm,-0.33296902859005045,4.290452855045258e-07,0.11086837400020183,-0.3147609138385687,1.9007264547712196e-06,0.09907443288049086,0.3147609138385687,1.7979040535427746e-06,6.4332280007641275e-06,True,True
60,hammarbergIndexV_sma3nz_amean,0.3319147157643826,4.689110062669745e-07,0.11016737854095088,0.3638876350310215,2.723987894447076e-08,0.13241421092846992,0.3638876350310215,1.875644025067898e-06,1.4100643218314275e-07,True,True
80,spectralFluxUV_sma3nz_amean,-0.32951563950814494,5.732700275091212e-07,0.10858055668046174,-0.3462193016960531,1.3649852134838089e-07,0.11986780486690263,0.3462193016960531,2.1933809748175073e-06,5.459940853935235e-07,True,True
87,equivalentSoundLevel_dBp,-0.31462318496900704,1.9215404879708024e-06,0.09898774852004202,-0.3325086377232973,4.460370456087587e-07,0.11056199416060297,0.3325086377232973,7.045648455892943e-06,1.6354691672321153e-06,True,True
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.31039678561578754,2.6769925911322107e-06,0.09634616452061318,0.31707028681038624,1.5821861285003984e-06,0.10053356677802058,0.31707028681038624,9.423013920785382e-06,5.569295172321402e-06,True,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.3056506626408045,3.861202303212593e-06,0.09342232757276288,0.28752102924370415,1.4765380835578266e-05,0.08266834225735897,0.28752102924370415,1.30686847185657e-05,4.6405482626103125e-05,True,True
24,mfcc2_sma3_amean,0.3040034417889883,4.378112092143621e-06,0.0924180926195508,0.2801733454529872,2.47870587025465e-05,0.07849710350231892,0.2801733454529872,1.4269402374394024e-05,7.270870552746975e-05,True,True
35,HNRdBACF_sma3nz_stddevNorm,-0.30152946586888807,5.279788827144605e-06,0.09092001878717694,-0.22327963541145782,0.0008526563433367783,0.049853795589473525,0.22327963541145782,1.6593622028168758e-05,0.0019239425182983716,True,True
0,F0semitoneFrom275Hz_sma3nz_amean,0.29680106724184196,7.5161761953844635e-06,0.0880908735158964,0.3104752394767049,2.66069034315834e-06,0.09639487432811726,0.3104752394767049,2.2807707075649408e-05,8.671879636960516e-06,True,True
38,logRelF0H1A3_sma3nz_amean,0.2819697902907445,2.1867619460204228e-05,0.07950696263660642,0.2846322746034107,1.8132156614436435e-05,0.08101553174591138,0.2846322746034107,6.414501708326574e-05,5.502171662311746e-05,True,True
74,mfcc4V_sma3nz_amean,0.28136430369509247,2.2813226773790796e-05,0.07916587139382422,0.27455077821574075,3.648772277914317e-05,0.07537812981886886,0.27455077821574075,6.476012761592226e-05,0.00010034123764264372,True,True
55,F3bandwidth_sma3nz_stddevNorm,-0.2691785286118719,5.238445344919133e-05,0.07245708026565234,-0.255194774031289,0.00012963640862998256,0.06512437269288064,0.255194774031289,0.00014405724698527615,0.00032594297026967045,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.26805617716025265,5.6441542108539066e-05,0.07185411411376876,0.26606705546676557,6.436710858783439e-05,0.0707916780047549,0.26606705546676557,0.00015051077895610418,0.0001716456229008917,True,True
32,shimmerLocaldB_sma3nz_amean,-0.2635101677910091,7.609598236950995e-05,0.06943760852924577,-0.21935091758668362,0.0010568378884351227,0.04811482504612007,0.21935091758668362,0.0001969543073093199,0.00232504335455727,True,True
40,F1frequency_sma3nz_amean,0.2626954195390695,8.02365578077929e-05,0.06900888344680774,0.34270226789082436,1.859554537478424e-07,0.11744484441751435,0.34270226789082436,0.0002017376310595936,7.114817360787013e-07,True,True
28,mfcc4_sma3_amean,0.2618269264901598,8.488261815657571e-05,0.06855333943528355,0.25474324183811337,0.00013337375650521302,0.06489411926219152,0.25474324183811337,0.0002074908443827406,0.00032602473812385404,True,True
2,F0semitoneFrom275Hz_sma3nz_percentile200,0.25990240535610454,9.609256272645362e-05,0.06754926030988888,0.2617808031777053,8.513628394051335e-05,0.06852918891236448,0.2617808031777053,0.00022854447351156537,0.00022035273490485807,True,True
42,F1bandwidth_sma3nz_amean,0.25944157230974424,9.897556760890666e-05,0.06730992944255225,0.2335652695102736,0.0004775629572445878,0.05455273512140674,0.2335652695102736,0.00022920657762062595,0.001105935269408519,True,True
70,mfcc2V_sma3nz_amean,0.25363656248381933,0.00014296447126922344,0.06433150582860839,0.24333262010132167,0.0002688897821929829,0.05921076400537414,0.24333262010132167,0.0003225864992741452,0.0006395216441346619,True,True
59,alphaRatioV_sma3nz_stddevNorm,0.24112374459350439,0.0003068206501013148,0.05814066020679354,0.19116896350249768,0.004432332318300283,0.03654557260661929,0.19116896350249768,0.0006750054302228926,0.009070819628149415,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.2343215972578372,0.0004571707116708293,0.054906610941464054,0.2757983609325103,3.351208908243283e-05,0.07606473589305923,0.2757983609325103,0.0009812444543178776,9.513109158884158e-05,True,True
64,slopeV5001500_sma3nz_amean,0.21062585932563652,0.001680230458199885,0.044363252616662824,0.21571401226450604,0.0012849705295378676,0.04653253508725146,0.21571401226450604,0.003520482864799759,0.0026923192047460082,True,True
41,F1frequency_sma3nz_stddevNorm,-0.2077104899665908,0.001953959316318102,0.04314364764216122,-0.21717244889767545,0.0011885497493911348,0.047163872560213455,0.21717244889767545,0.003998800461302162,0.002551033608449265,True,True
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,0.18573229852479475,0.005722969032757335,0.034496486715303476,0.17539199152575624,0.009136525511929438,0.030762350691370947,0.17539199152575624,0.01144593806551467,0.017866983223328678,True,True
65,slopeV5001500_sma3nz_stddevNorm,-0.17399077564631604,0.009716699518419821,0.030272790010006684,-0.009849517466964766,0.8845030449647778,9.701299433204401e-05,0.009849517466964766,0.019001545724909873,0.9157207994929464,True,False
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,0.1712943877472653,0.010925540196172874,0.029341767273710472,0.13503092214889903,0.04543610662788354,0.01823334993638203,0.13503092214889903,0.020901033418765497,0.07839955653438728,True,False
48,F2bandwidth_sma3nz_amean,0.1667523806501366,0.013263588041423963,0.027806356452488048,0.18909887496221248,0.0048891657860712975,0.03575838451197447,0.18909887496221248,0.024833952077559764,0.009778331572142595,True,True
23,mfcc1_sma3_stddevNorm,-0.16052713225215856,0.017176280251804538,0.025768960189102005,-0.15801876495638406,0.019016945540247517,0.024969930078340953,0.15801876495638406,0.031489847128308324,0.03486440015712045,True,True
25,mfcc2_sma3_stddevNorm,-0.15476786267897408,0.021655597934598637,0.023953091318217778,-0.03629471391128312,0.5923405839828789,0.0013173062579018883,0.03629471391128312,0.038891686086626125,0.6769606674090045,True,False
62,slopeV0500_sma3nz_amean,0.14966382222629687,0.02643612779052381,0.022399259683384593,0.15303241362810024,0.02318963698904288,0.02341891962084196,0.15303241362810024,0.046527584911321904,0.04164669500073007,True,True
84,StddevVoicedSegmentLengthSec,-0.14403229709345533,0.032734838746613426,0.020745302606017382,-0.17474382484271336,0.00940096877942836,0.03053540432066089,0.17474382484271336,0.05648364332748983,0.01798446201281947,False,True
37,logRelF0H1H2_sma3nz_stddevNorm,-0.14031737333194097,0.03755427308856775,0.0196889652587753,-0.03727301674556992,0.5823949007384447,0.0013892777773155355,0.03727301674556992,0.06355338522680695,0.6743519903287254,False,False
