,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
36,logRelF0H1H2_sma3nz_amean,0.45986545193431355,3.5903751340087046e-14,0.21147623388275044,0.4362171195375244,9.349305692393335e-13,0.19028537537761486,0.4362171195375244,3.15953011792766e-12,4.1136945046530674e-11,True,True
54,F3bandwidth_sma3nz_amean,0.40745444372278095,3.5552198800175684e-11,0.16601912370944086,0.30439966554555775,1.2600893882538592e-06,0.09265915638424742,0.30439966554555775,1.5642967472077301e-09,5.5443933083169806e-06,True,True
33,shimmerLocaldB_sma3nz_stddevNorm,0.3925164672468994,2.060453447721911e-10,0.15406917705998627,0.33652823917227853,7.136108145106373e-08,0.1132512557603943,0.33652823917227853,6.043996779984272e-09,3.9248594798085055e-07,True,True
34,HNRdBACF_sma3nz_amean,0.3899723758456225,2.755304979692306e-10,0.15207845392267946,0.37986439850420783,8.532235293334601e-10,0.1442969612509636,0.37986439850420783,6.061670955323073e-09,8.342630064593831e-09,True,True
58,alphaRatioV_sma3nz_amean,-0.36542357043572155,4.016301507878399e-09,0.13353438582999075,-0.36475972501925785,4.304895070096629e-09,0.13304965699612462,0.36475972501925785,7.068690653865984e-08,3.4439160560773034e-08,True,True
76,alphaRatioUV_sma3nz_amean,-0.36157303214899905,5.993412930242991e-09,0.1307350575774211,-0.3764176453598451,1.2435293294260773e-09,0.14169024373825012,0.3764176453598451,8.790338964356387e-08,1.0943058098949482e-08,True,True
60,hammarbergIndexV_sma3nz_amean,0.35821647021630343,8.459613373092215e-09,0.1283190395342278,0.3394108135947669,5.424939899211958e-08,0.1151997003850616,0.3394108135947669,9.439838757310934e-08,3.182631407537682e-07,True,True
52,F3frequency_sma3nz_amean,0.35807610752962793,8.581671597555395e-09,0.12821849878356967,0.20082040502217693,0.0016160783536122436,0.04032883507327119,0.20082040502217693,9.439838757310934e-08,0.004309542276299316,True,True
77,hammarbergIndexUV_sma3nz_amean,0.3557419726896946,1.0878964514972687e-08,0.1265523511331554,0.34214689146239796,4.171122882303069e-08,0.11706449533738193,0.34214689146239796,1.0637209747973293e-07,2.621848668876215e-07,True,True
46,F2frequency_sma3nz_amean,0.3449695845388938,3.1720523319938214e-08,0.119004014256937,0.2459293367344656,0.00010377394154454664,0.06048123866665417,0.2459293367344656,2.791406052154563e-07,0.0003149002364110381,True,True
38,logRelF0H1A3_sma3nz_amean,0.3362071819524924,7.356103869403687e-08,0.11303526919643632,0.2997591161584377,1.8564930819543647e-06,0.08985552772008774,0.2997591161584377,5.884883095522949e-07,7.779590057713529e-06,True,True
