,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,0.43390477202894817,3.8240345102066896e-11,0.18827335118949348,0.4160160915604278,2.793580324927973e-10,0.17306938843721423,0.4160160915604278,3.3651503689818866e-09,7.319349243265191e-09,True,True
24,mfcc2_sma3_amean,0.33760005295780643,4.776529351824959e-07,0.11397379575711371,0.3293592068435515,9.355628639632809e-07,0.10847748713261336,0.3293592068435515,2.101672914802982e-05,5.880680859197766e-06,True,True
70,mfcc2V_sma3nz_amean,0.32091613681149445,1.8258559348434925e-06,0.10298716686601382,0.31303540801079227,3.347256936754212e-06,0.09799116666848319,0.31303540801079227,5.355844075540912e-05,1.9637240695624712e-05,True,True
13,loudness_sma3_percentile500,-0.3003385211926459,8.574422086770774e-06,0.09020322731218543,-0.414392795685826,3.326976928756905e-10,0.1717213891163147,0.414392795685826,0.00018863728590895704,7.319349243265191e-09,True,True
10,loudness_sma3_amean,-0.29675315786943984,1.1095389305351327e-05,0.08806243670548469,-0.4061816204410843,7.938829464884229e-10,0.16498350878414508,0.4061816204410843,0.00019527885177418337,1.3972339858196244e-08,True,True
58,alphaRatioV_sma3nz_amean,-0.2908858522179245,1.67928904333012e-05,0.08461457902054823,-0.2746827221242965,5.0338345325586924e-05,0.07545059783361349,0.2746827221242965,0.00021478510511642847,0.00022148871943258248,True,True
14,loudness_sma3_percentile800,-0.29018062883505513,1.7639778333810257e-05,0.08420479735110803,-0.39025934668283013,4.013474635270869e-09,0.1523023576733094,0.39025934668283013,0.00021478510511642847,4.7823119915489176e-08,True,True
12,loudness_sma3_percentile200,-0.28871858035837467,1.9525918646948042e-05,0.08335841864415525,-0.4241000576866603,1.153843960844601e-10,0.17986085892982862,0.4241000576866603,0.00021478510511642847,5.076913427716244e-09,True,True
74,mfcc4V_sma3nz_amean,0.28101654720671126,3.303943198655098e-05,0.07897029980398178,0.2979125139613682,1.0211971603470995e-05,0.0887518659747824,0.2979125139613682,0.0003126766619039284,5.616584381909048e-05,True,True
18,loudness_sma3_meanFallingSlope,-0.2797105779791753,3.606642916564641e-05,0.0782380074334443,-0.4376741229303065,2.4774301349739482e-11,0.19155863788281305,0.4376741229303065,0.0003126766619039284,2.180138518777074e-09,True,True
