,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,0.430983867705419,3.4873775166140686e-12,0.18574709422232213,0.32989777735787823,1.896714136295631e-07,0.10883254350566819,0.32989777735787823,3.06889221462038e-10,1.2839295691847348e-06,True,True
70,mfcc2V_sma3nz_amean,0.33229124377270075,1.5270295847543098e-07,0.11041747068800843,0.32348101304972593,3.3611235106062883e-07,0.10463996580367696,0.32348101304972593,6.718930172918963e-06,2.1127062066668097e-06,True,True
24,mfcc2_sma3_amean,0.316993429350424,5.914790078971961e-07,0.10048483425134226,0.32250951587107535,3.6610696028249864e-07,0.1040123878273954,0.32250951587107535,1.7350050898317755e-05,2.147827500323992e-06,True,True
58,alphaRatioV_sma3nz_amean,-0.3035708989100481,1.826853767986059e-06,0.09215529066505466,-0.27032944700372413,2.3634609231172168e-05,0.0730780099173393,0.27032944700372413,4.0190782895693295e-05,0.00011554697846350837,True,True
48,F2bandwidth_sma3nz_amean,0.27551086946597814,1.6197658087540487e-05,0.07590623919389924,0.20829668823325007,0.0012290513133081991,0.043387510328939775,0.20829668823325007,0.00025098153739745726,0.004326260622844861,True,True
36,logRelF0H1H2_sma3nz_amean,0.27469031390491727,1.7205276353175158e-05,0.07545476855318199,0.22979852797534484,0.0003509666730008327,0.05280736345963534,0.22979852797534484,0.00025098153739745726,0.0014707174868606322,True,True
38,logRelF0H1A3_sma3nz_amean,0.2723074169546942,2.04785410369147e-05,0.07415132932853767,0.20753236663215704,0.0012822379107317492,0.04306968319994405,0.20753236663215704,0.00025098153739745726,0.004339882159399767,True,True
74,mfcc4V_sma3nz_amean,0.2693141671022228,2.5428040188485045e-05,0.07253012060196397,0.28594327348691545,7.393675087575424e-06,0.08176355565241293,0.28594327348691545,0.00025098153739745726,4.0665212981664834e-05,True,True
60,hammarbergIndexV_sma3nz_amean,0.26918318428912974,2.5668566324739947e-05,0.07245958670403559,0.2256989736635548,0.0004498492451816942,0.050940026712782,0.2256989736635548,0.00025098153739745726,0.001799396980726777,True,True
13,loudness_sma3_percentile500,-0.2571451397465021,5.973382520098258e-05,0.06612362289524809,-0.4006456314225768,1.3696223758960757e-10,0.16051692197799527,0.4006456314225768,0.0004803957033211264,4.017558969295156e-09,True,True
10,loudness_sma3_amean,-0.2570681705330948,6.00494629151408e-05,0.0660840443012323,-0.39332460537569197,3.1465857660776897e-10,0.15470424519394382,0.39332460537569197,0.0004803957033211264,6.922488685370917e-09,True,True
28,mfcc4_sma3_amean,0.2541707972775242,7.313902432774707e-05,0.06460279418869229,0.27829188844207847,1.318250343244646e-05,0.07744637517265825,0.27829188844207847,0.0005363528450701452,6.823884129736991e-05,True,True
25,mfcc2_sma3_stddevNorm,-0.2527367393014098,8.056835823381238e-05,0.06387585939270876,-0.0608579180218936,0.3498944646185554,0.003703686185959522,0.0608579180218936,0.00054538580958273,0.5132671665014897,True,False
42,F1bandwidth_sma3nz_amean,0.25097117191607043,9.068912644157101e-05,0.06298652913292578,0.10816379119172483,0.09595823810876546,0.01169940572496705,0.10816379119172483,0.0005583248668928016,0.17592343653273668,True,False
14,loudness_sma3_percentile800,-0.2502480680679081,9.516901140218208e-05,0.06262409557172037,-0.3782821568563047,1.6323129157220335e-09,0.1430973901958579,0.3782821568563047,0.0005583248668928016,2.0520505226219852e-08,True,True
76,alphaRatioUV_sma3nz_amean,-0.24772569353508178,0.00011247470307226102,0.06136801923743726,-0.2645255945104228,3.576196989464148e-05,0.06997379015109262,0.2645255945104228,0.0006186108668974356,0.00016563438688044476,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,0.24591370494729328,0.0001266817749000033,0.06047355028090442,0.08590431054097876,0.1865905526443482,0.007379550569520914,0.08590431054097876,0.0006557644818353113,0.3040734931981971,True,False
46,F2frequency_sma3nz_amean,0.24412135593788864,0.0001423746172807355,0.05959523642495332,0.177592121828873,0.006010558324006789,0.03153896173568126,0.177592121828873,0.0006960536844835958,0.015556739191546985,True,True
12,loudness_sma3_percentile200,-0.24185392268292477,0.00016483661923088634,0.058493319917118154,-0.41097517789180726,4.0897708336798e-11,0.16890059684320263,0.41097517789180726,0.0007634538153851578,1.7994991668191122e-09,True,True
69,mfcc1V_sma3nz_stddevNorm,0.23990064858952412,0.00018680020234154704,0.05755232119367434,-0.04726901536035024,0.4679629836557894,0.002234359813137027,0.04726901536035024,0.000821920890302807,0.6434491025267104,True,False
15,loudness_sma3_pctlrange02,-0.23850193594465618,0.00020417578699795039,0.05688317344934888,-0.3449593304548274,4.698852042115616e-08,0.11899693966784282,0.3449593304548274,0.0008555937740866493,3.759081633692493e-07,True,True
18,loudness_sma3_meanFallingSlope,-0.23765032336122602,0.00021548194462444584,0.056477676193695286,-0.4220641398664374,1.0662494209599297e-11,0.17813813816119564,0.4220641398664374,0.0008619277784977833,9.382994904447382e-10,True,True
66,spectralFluxV_sma3nz_amean,-0.23602157682582514,0.00023874957393638094,0.05570618472734888,-0.3654063637491338,6.259174203759833e-09,0.1335218106683643,0.3654063637491338,0.0009134766307131098,5.508073299308653e-08,True,True
20,spectralFlux_sma3_amean,-0.22373600000415647,0.0005058335691934055,0.0500577976978599,-0.3685713354044776,4.522749312602948e-09,0.13584482928183994,0.3685713354044776,0.0018547230870424871,4.975024243863243e-08,True,True
16,loudness_sma3_meanRisingSlope,-0.21953150045773956,0.0006481128738213413,0.048194079693226505,-0.3829425740967015,9.889105379148321e-10,0.14664501505580774,0.3829425740967015,0.002281357315851121,1.6812578745432752e-08,True,True
19,loudness_sma3_stddevFallingSlope,-0.2165067454045416,0.0007724309691266102,0.04687517080566699,-0.34394430708942336,5.174291554492485e-08,0.11829768637922357,0.34394430708942336,0.002614381741659296,3.794480473294489e-07,True,True
80,spectralFluxUV_sma3nz_amean,-0.21399561617457416,0.0008919698369926184,0.045794123741935665,-0.3815766449375566,1.1463121871885967e-09,0.14560073596180215,0.3815766449375566,0.0029071609501981634,1.6812578745432752e-08,True,True
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,0.20319126457530168,0.0016264814689095992,0.04128668999971025,0.15812440753036194,0.01460760600968033,0.025003328256827984,0.15812440753036194,0.005111798902287312,0.03474241429329376,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.1925195289323214,0.0028603650897455523,0.03706376902032294,0.18608974174433898,0.003964847450821788,0.03462939198247478,0.18608974174433898,0.0086797285481934,0.010903330489759918,True,True
47,F2frequency_sma3nz_stddevNorm,-0.19089687243335007,0.0031090281284002087,0.03644161590483473,-0.17775585004189015,0.005963553081132982,0.03159714222411494,0.17775585004189015,0.00911981584330728,0.015556739191546985,True,True
77,hammarbergIndexUV_sma3nz_amean,0.18972600248305715,0.003300448727391832,0.03599595601820101,0.20648652650134444,0.0013584374989502586,0.04263668562659042,0.20648652650134444,0.00935927687722162,0.0044274999965786205,True,True
0,F0semitoneFrom275Hz_sma3nz_amean,0.1891216277088167,0.003403373409898771,0.03576699006723226,0.24756138044265638,0.00011369866706810157,0.06128663708667365,0.24756138044265638,0.00935927687722162,0.000500274135099647,True,True
52,F3frequency_sma3nz_amean,0.1872527595302511,0.0037402722094956277,0.035063595951694046,0.11375676667336791,0.07987635079606409,0.012940601963979068,0.11375676667336791,0.009974059225321673,0.14955572063943914,True,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.18176228408657505,0.0049112644869269695,0.03303752791636881,0.15290931313789993,0.01825287014311896,0.023381258044304336,0.15290931313789993,0.012269807532562111,0.041185963399858166,True,True
87,equivalentSoundLevel_dBp,-0.18171666094445627,0.004922241456597629,0.033020944864802476,-0.2229426016362779,0.0005302405912636979,0.049703403624352105,0.2229426016362779,0.012269807532562111,0.0020287466100524093,True,True
17,loudness_sma3_stddevRisingSlope,-0.18131651105721028,0.005019466717866319,0.03287567718195946,-0.36736683013508487,5.120203431370414e-09,0.13495838788350029,0.36736683013508487,0.012269807532562111,5.006421132895515e-08,True,True
34,HNRdBACF_sma3nz_amean,0.1788563561094991,0.005656055611094074,0.03198959612076795,0.21548309339764224,0.0008192541717849635,0.04643296354021701,0.21548309339764224,0.01345224037233185,0.003003931963211533,True,True
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.17742537222549137,0.006058771630436478,0.03147976270935417,0.13025206519598234,0.04470587285608172,0.016965600487818436,0.13025206519598234,0.014030839565221317,0.09149108863570213,True,False
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.1765673183681851,0.006312381541110639,0.031176017915732032,0.07343311747019099,0.25913804633363613,0.005392422741390869,0.07343311747019099,0.014243322451736826,0.4000727732870172,True,False
71,mfcc2V_sma3nz_stddevNorm,-0.171151325887754,0.008143888382721402,0.029292776353136173,-0.03495798416812801,0.591523066528394,0.0012220606570990885,0.03495798416812801,0.017916554441987084,0.7130689021164202,True,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.16287645291213992,0.01185833883950357,0.026528738913240535,0.1890610916125946,0.0034138410128866027,0.035744096361745886,0.1890610916125946,0.025452044338446687,0.009690903520452291,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,0.14954906420810615,0.021000352352776933,0.022364922605520258,0.1574397890406472,0.015046537333077186,0.024787287173163496,0.1574397890406472,0.04400073826296119,0.034844612771336644,True,True
82,VoicedSegmentsPerSec,0.14363280487606372,0.026712460042969947,0.020630382636565397,0.09625873489691099,0.13870535221250857,0.00926574404395379,0.09625873489691099,0.054667360087938495,0.23933472538628928,False,False
26,mfcc3_sma3_amean,0.14092297783860389,0.029745288951328646,0.01985928568289964,0.16287251407121758,0.01186041444447407,0.02652745583987897,0.16287251407121758,0.05949057790265729,0.028992124197603282,False,True
64,slopeV5001500_sma3nz_amean,0.12737020808319277,0.049689481290420556,0.016223169907155825,0.19129711300472252,0.0030459380239633536,0.03659458544394158,0.19129711300472252,0.09717054119015575,0.008934751536959171,False,True
73,mfcc3V_sma3nz_stddevNorm,0.1263678069671847,0.05152801570334504,0.015968822637695654,0.041643809233221814,0.522598891341149,0.0017342068474529703,0.041643809233221814,0.09857533438900791,0.666502933884364,False,False
