,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
15,loudness_sma3_pctlrange02,-0.4883465853168992,8.110657458386722e-38,0.23848238739067548,-0.47885682142052993,3.137931742766738e-36,0.22930385542097328,0.47885682142052993,7.137378563380315e-36,1.3806899668173646e-34,True,True
14,loudness_sma3_percentile800,-0.4510419590759121,7.468002786928375e-32,0.20343884884703678,-0.4438807155102419,8.635153695349735e-31,0.19703008960188428,0.4438807155102419,3.285921226248485e-30,1.5197870503815533e-29,True,True
16,loudness_sma3_meanRisingSlope,-0.4482301758566901,1.9661646370505613e-31,0.20091029054851936,-0.4897864106243913,4.6110968115914273e-38,0.23989072803232486,0.4897864106243913,5.767416268681647e-30,4.057765194200456e-36,True,True
66,spectralFluxV_sma3nz_amean,-0.43736582286811765,7.614856320237196e-30,0.19128886301310566,-0.4028052496442871,3.6844298207450446e-25,0.16225206914099646,0.4028052496442871,1.675268390452183e-28,4.631854631793771e-24,True,True
18,loudness_sma3_meanFallingSlope,-0.42117952871263825,1.391475993321533e-27,0.17739219540660006,-0.4597089589895528,3.5678211427736954e-33,0.2113323269752583,0.4597089589895528,2.448997748245898e-26,1.0465608685469508e-31,True,True
10,loudness_sma3_amean,-0.41353034248974263,1.480473883279514e-26,0.17100734415968383,-0.4064774401454926,1.2419224657219256e-25,0.1652239093472325,0.4064774401454926,2.171361695476621e-25,1.8214862830588244e-24,True,True
17,loudness_sma3_stddevRisingSlope,-0.3951953423606276,3.361264297474605e-24,0.15617935862353366,-0.4531344934379147,3.612245669514058e-32,0.20533086914323553,0.4531344934379147,3.8480248924368525e-23,7.946940472930927e-31,True,True
13,loudness_sma3_percentile500,-0.39505605565621005,3.498204447669866e-24,0.15606928711064252,-0.3864878156732607,3.9348010306417423e-23,0.14937283166388832,0.3864878156732607,3.8480248924368525e-23,3.847361007738592e-22,True,True
20,spectralFlux_sma3_amean,-0.3870038313209155,3.407951908440804e-23,0.1497719654570676,-0.3518056990111336,3.4991802158166824e-19,0.12376724985671235,0.3518056990111336,3.332219643808786e-22,3.0792785899186804e-18,True,True
54,F3bandwidth_sma3nz_amean,0.3846432927034811,6.564093079307692e-23,0.14795046262177583,0.3065113558469151,1.0301294702358456e-14,0.0939492112631142,0.3065113558469151,5.776401909790769e-22,6.973184106211877e-14,True,True
