,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
15,loudness_sma3_pctlrange02,-0.4269735017099777,1.3095509834444665e-40,0.18230637116248036,-0.4676208688769263,2.1685209313708872e-49,0.2186692770092115,0.4676208688769263,1.1524048654311305e-38,9.541492098031904e-48,True,True
14,loudness_sma3_percentile800,-0.4153705607308304,2.5842756418213694e-38,0.17253270272184446,-0.4431264906035269,5.879095569662192e-44,0.1963610866745976,0.4431264906035269,1.1370812824014026e-36,1.0347208202605458e-42,True,True
66,spectralFluxV_sma3nz_amean,-0.4045259700262535,3.003704071706517e-36,0.16364126042568136,-0.41278422142659504,8.162393249788689e-38,0.17039081345876025,0.41278422142659504,8.810865277005783e-35,1.0261294371162923e-36,True,True
16,loudness_sma3_meanRisingSlope,-0.40315079397624914,5.4219899923467614e-36,0.16253056268368007,-0.47390482474536616,7.407450981887816e-51,0.2245857829169362,0.47390482474536616,1.1928377983162874e-34,6.518556864061278e-49,True,True
10,loudness_sma3_amean,-0.4019691284331513,8.98684955093271e-36,0.16157918021330728,-0.41930501182196983,4.4064383929535456e-39,0.17581669293902227,0.41930501182196983,1.581685520964157e-34,6.462776309665201e-38,True,True
18,loudness_sma3_meanFallingSlope,-0.4007757044610399,1.493975438194268e-35,0.1606211652862428,-0.4565450233588514,7.042611334102772e-47,0.20843335835373417,0.4565450233588514,2.19116397601826e-34,2.06583265800348e-45,True,True
13,loudness_sma3_percentile500,-0.3892618351047819,1.8123189949490866e-33,0.15152477626914243,-0.405332234086831,2.1218311807812758e-36,0.16429421998982155,0.405332234086831,2.278343879364566e-32,2.074679376763914e-35,True,True
54,F3bandwidth_sma3nz_amean,0.38331218728846117,2.0095998204817802e-32,0.14692823292386434,0.2243930800478587,1.380293930868362e-11,0.05035225437336473,0.2243930800478587,2.210559802529958e-31,6.392940311390308e-11,True,True
17,loudness_sma3_stddevRisingSlope,-0.37861057129877496,1.2992502870042692e-31,0.14334596469918476,-0.449322660900256,2.731714489542394e-45,0.20189085359848646,0.449322660900256,1.2703780584041742e-30,6.009771876993267e-44,True,True
20,spectralFlux_sma3_amean,-0.3741563966886966,7.403921544984679e-31,0.13999300918306928,-0.3773808054182117,2.106353530522822e-31,0.14241627229809814,0.3773808054182117,6.515450959586518e-30,1.8535911068600835e-30,True,True
19,loudness_sma3_stddevFallingSlope,-0.3724971590779629,1.4060446136533671e-30,0.13875413352115318,-0.40650441716838165,1.2779621455030982e-36,0.16524584117740565,0.40650441716838165,1.1248356909226937e-29,1.405758360053408e-35,True,True
