,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,0.3819742509058946,3.5423883722939104e-59,0.14590432835511932,0.3522887931646843,5.2140550604936675e-50,0.12410739378942973,0.3522887931646843,3.117301767618641e-57,9.176736906468855e-49,True,True
16,loudness_sma3_meanRisingSlope,-0.3420739382607704,4.4958360765541235e-47,0.11701457923723338,-0.4066979060764123,1.4203579388031507e-67,0.1654031868069383,0.4066979060764123,1.9781678736838144e-45,6.249574930733863e-66,True,True
15,loudness_sma3_pctlrange02,-0.32859508276014315,2.2993398051360298e-43,0.10797472841414534,-0.3474458192195191,1.3262003719617132e-48,0.12071859729312276,0.3474458192195191,6.744730095065688e-42,1.667223324751868e-47,True,True
18,loudness_sma3_meanFallingSlope,-0.3233354237201625,5.741105650221909e-42,0.10454579623229703,-0.41314105167089754,6.990427141589978e-70,0.17068552857573524,0.41314105167089754,1.26304324304882e-40,6.151575884599181e-68,True,True
14,loudness_sma3_percentile800,-0.32256009241300787,9.175984109383598e-42,0.10404501321748817,-0.35006186340882656,2.3254081461444525e-49,0.12254330821325994,0.35006186340882656,1.6149732032515133e-40,3.4105986143451975e-48,True,True
66,spectralFluxV_sma3nz_amean,-0.3182446114777136,1.2170955345359149e-40,0.10127963273460087,-0.3279527741713312,3.4177259229967783e-43,0.10755302208667214,0.3279527741713312,1.7850734506526752e-39,3.3417764580412943e-42,True,True
19,loudness_sma3_stddevFallingSlope,-0.3060537267792913,1.4397261479269502e-37,0.0936688836754931,-0.3597196982608965,3.253487457046701e-52,0.12939826131691043,0.3597196982608965,1.809941443108166e-36,7.157672405502742e-51,True,True
10,loudness_sma3_amean,-0.3042859781692497,3.9078970330110105e-37,0.0925899565104171,-0.3362437302340937,1.9045156849483227e-45,0.11305984612173799,0.3362437302340937,4.2986867363121114e-36,2.094967253443155e-44,True,True
20,spectralFlux_sma3_amean,-0.2938208197908526,1.2540467809586345e-34,0.08633067414256869,-0.30290985976962337,8.461755706868819e-37,0.09175438314565289,0.30290985976962337,1.2254326795136855e-33,6.769404565495055e-36,True,True
17,loudness_sma3_stddevRisingSlope,-0.2936267888399928,1.3925371358110063e-34,0.08621669112448574,-0.3812820474463464,5.945578680914561e-59,0.14537599970487797,0.3812820474463464,1.2254326795136855e-33,1.7440364130682713e-57,True,True
