,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,0.3960581166349257,1.85769422450647e-83,0.1568620317524044,0.25680195019735835,1.9343118121990452e-34,0.06594724162516652,0.25680195019735835,1.6347709175656937e-81,1.3093803036424305e-33,True,True
38,logRelF0H1A3_sma3nz_amean,0.2980808126257505,2.4170682011487423e-46,0.08885217085562777,0.2426260632474915,8.158824024689847e-31,0.05886740656697575,0.2426260632474915,1.0635100085054466e-44,4.7865100944847104e-30,True,True
16,loudness_sma3_meanRisingSlope,-0.29262782608409244,1.185907487400238e-44,0.08563104459870186,-0.39220731302500317,9.702394518084918e-82,0.15382657639029282,0.39220731302500317,3.4786619630406983e-43,4.269053587957364e-80,True,True
15,loudness_sma3_pctlrange02,-0.2852813214124819,1.967855913862588e-42,0.08138543234685182,-0.3458395176738155,8.845891182839884e-63,0.11960497198485734,0.3458395176738155,4.3292830104976935e-41,1.5568768481798195e-61,True,True
66,spectralFluxV_sma3nz_amean,-0.2831615961059066,8.361341673074466e-42,0.08018048950924457,-0.3281226214127587,2.473840806067061e-56,0.10766445468278059,0.3281226214127587,1.471596134461106e-40,3.109971299055734e-55,True,True
14,loudness_sma3_percentile800,-0.2823288521158205,1.4709848785904134e-41,0.07970958073703684,-0.34163346550208135,3.278090076887382e-61,0.1167134247509618,0.34163346550208135,2.157444488599273e-40,4.8078654461014944e-60,True,True
18,loudness_sma3_meanFallingSlope,-0.28050069537591715,5.049558031094974e-41,0.07868064010637307,-0.3997987648287635,3.7863038045944877e-85,0.15983905235860493,0.3997987648287635,6.348015810519396e-40,3.331947348043149e-83,True,True
10,loudness_sma3_amean,-0.27236417421599024,1.0926930257875437e-38,0.07418224339635829,-0.3268269065081902,7.052753201408263e-56,0.10681582681771329,0.3268269065081902,1.2019623283662981e-37,7.758028521549088e-55,True,True
19,loudness_sma3_stddevFallingSlope,-0.26978961142444635,5.767169516235015e-38,0.07278643443255375,-0.3547362544812503,3.5305526592246227e-66,0.12583781024338636,0.3547362544812503,5.639010193652015e-37,7.76721585029417e-65,True,True
34,HNRdBACF_sma3nz_amean,0.2695543981606677,6.707729483550012e-38,0.07265957356775976,0.2653787160276138,9.561051057408038e-37,0.07042586292046489,0.2653787160276138,5.902801945524011e-37,7.64884084592643e-36,True,True
60,hammarbergIndexV_sma3nz_amean,0.2663643967303127,5.128269574366749e-37,0.07094999184550342,0.22251404266750133,4.625532042281498e-26,0.0495124991842346,0.22251404266750133,4.102615659493399e-36,2.0352340986038593e-25,True,True
52,F3frequency_sma3nz_amean,0.26578685142026093,7.389676590883324e-37,0.07064265038789586,0.11736439144797588,3.4224477260331605e-08,0.013774400379953713,0.11736439144797588,5.419096166647771e-36,8.605011425454803e-08,True,True
46,F2frequency_sma3nz_amean,0.26498608650764804,1.2244766341116177e-36,0.07021762604263873,0.15154077564806162,9.204839773327418e-13,0.022964606684016144,0.15154077564806162,8.288764907832489e-36,2.612986774363912e-12,True,True
20,spectralFlux_sma3_amean,-0.25966549231706615,3.3585371637628447e-35,0.06742616790026434,-0.30713512015533345,3.1179204348950514e-49,0.09433198203283112,0.30713512015533345,1.9752912559547674e-34,2.743769982707645e-48,True,True
13,loudness_sma3_percentile500,-0.25966141457163205,3.3669737317410807e-35,0.06742405021734098,-0.3183248028634978,6.014174339365302e-53,0.10133068011808473,0.3183248028634978,1.9752912559547674e-34,5.88052602071274e-52,True,True
17,loudness_sma3_stddevRisingSlope,-0.25839761145658585,7.311299170236066e-35,0.06676932560646871,-0.37150328218243944,6.898242748394525e-73,0.13801468867232522,0.37150328218243944,4.021214543629836e-34,2.023484539529061e-71,True,True
0,F0semitoneFrom275Hz_sma3nz_amean,0.2558903409590828,3.36198809374821e-34,0.06547986659615565,0.20477048539214254,3.0839079944515137e-22,0.04193095168773366,0.20477048539214254,1.7403232485284852e-33,1.2335631977806055e-21,True,True
42,F1bandwidth_sma3nz_amean,0.25502306282534815,5.676736358385257e-34,0.06503676257282147,0.12435618890520991,4.928372574983758e-09,0.015464461719028252,0.12435618890520991,2.7752933307661255e-33,1.2755787841134433e-08,True,True
36,logRelF0H1H2_sma3nz_amean,0.25282341954071585,2.1242690179385962e-33,0.06391968146826082,0.19650756763100297,1.425863685463666e-20,0.03861522413625321,0.19650756763100297,9.838719662031393e-33,5.455478448730548e-20,True,True
58,alphaRatioV_sma3nz_amean,-0.24997517726695193,1.1508962554616953e-32,0.06248758924964404,-0.22525021429511752,1.1089006625904404e-26,0.050737659039996365,0.22525021429511752,5.063943524031459e-32,5.135960963576777e-26,True,True
70,mfcc2V_sma3nz_amean,0.24813213113570526,3.3956601697850046e-32,0.06156955450194683,0.25541989322041625,4.467977299334249e-34,0.06523932185272883,0.25541989322041625,1.42294330924324e-31,2.8084428738672426e-33,True,True
48,F2bandwidth_sma3nz_amean,0.23514655128012701,5.397852890963889e-29,0.055293900578937405,0.1573485778996859,1.1799940606436655e-13,0.024758574967053523,0.1573485778996859,2.1591411563855558e-28,3.5806716322980194e-13,True,True
24,mfcc2_sma3_amean,0.23394402223133806,1.0448721436843216e-28,0.054729805537776795,0.23909572296132856,6.009032772539327e-30,0.05716676473840038,0.23909572296132856,3.9977716801834915e-28,3.110558141079181e-29,True,True
40,F1frequency_sma3nz_amean,0.23081225360903626,5.734683012067612e-28,0.05327429641608207,0.19596824319847117,1.8206412918191433e-20,0.038403552342295144,0.19596824319847117,2.102717104424791e-27,6.675684736670192e-20,True,True
87,equivalentSoundLevel_dBp,-0.2241447496709252,1.9791839948299833e-26,0.05024086880504173,-0.23774785095161124,1.276970119616908e-29,0.05652404063210956,0.23774785095161124,6.96672766180154e-26,6.242965029238217e-29,True,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.2234479497328452,2.846945680815052e-26,0.049928986239812116,0.16921954071206627,1.3866570123130178e-15,0.028635252958802652,0.16921954071206627,9.635816150450945e-26,4.5194747067979836e-15,True,True
