,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
64,slopeV5001500_sma3nz_amean,0.4300076687784707,1.6946090961171067e-05,0.18490659520829494,0.378946483077401,0.00017988222486581932,0.14360043703673095,0.378946483077401,0.0012261295343195106,0.003957408947048025,True,True
53,F3frequency_sma3nz_stddevNorm,0.4199227536769139,2.7866580325443425e-05,0.1763351190556021,0.49859025108557625,3.6533122779991844e-07,0.24859223847757797,0.49859025108557625,0.0012261295343195106,3.214914804639282e-05,True,True
74,mfcc4V_sma3nz_amean,0.3927247362299341,9.871369827961783e-05,0.1542327184468713,0.4471227443582582,7.020362706711446e-06,0.19991874852246033,0.4471227443582582,0.00269218120512153,0.00025667450248682984,True,True
16,loudness_sma3_meanRisingSlope,-0.38786141360348425,0.00012237187296006954,0.1504364761624931,-0.31903325986441444,0.0018275567948663413,0.10178222089971499,0.31903325986441444,0.00269218120512153,0.01786944421647089,True,True
28,mfcc4_sma3_amean,0.37580982571568283,0.00020545830144142125,0.1412330251044519,0.4429305067091814,8.750267130232835e-06,0.19618743377365216,0.4429305067091814,0.003558747864181252,0.00025667450248682984,True,True
10,loudness_sma3_amean,-0.3698793163059994,0.00026320992908350445,0.13681070863099357,-0.2798797648991517,0.0065859334523701765,0.07833268280000441,0.2798797648991517,0.003558747864181252,0.03863747625390504,True,True
65,slopeV5001500_sma3nz_stddevNorm,-0.36330849482637595,0.0003444382953606238,0.13199306241300685,-0.16214756215760595,0.12046106083052935,0.026291831913654685,0.16214756215760595,0.003558747864181252,0.19590342270706,True,False
14,loudness_sma3_percentile800,-0.3621498348902938,0.0003609540687831706,0.13115250291106706,-0.2384669702012492,0.02134053405162039,0.05686649587696348,0.2384669702012492,0.003558747864181252,0.06955433320528127,True,False
39,logRelF0H1A3_sma3nz_stddevNorm,0.3619440202963845,0.00036396284974580986,0.1310034738283096,0.34586183345425026,0.0006845464895199864,0.11962040784033554,0.34586183345425026,0.003558747864181252,0.010908462538390838,True,True
13,loudness_sma3_percentile500,-0.3474455255698834,0.0006442042115078733,0.12071839323853249,-0.25938788889972514,0.012047633391609495,0.06728207690785615,0.25938788889972514,0.005668997061269285,0.04819053356643798,True,True
66,spectralFluxV_sma3nz_amean,-0.33438011023801023,0.0010533820798321945,0.11181005812278387,-0.22513380837489397,0.030030794251489093,0.05068523167338348,0.22513380837489397,0.007696540717485994,0.08303170612542018,True,False
18,loudness_sma3_meanFallingSlope,-0.3339456127619795,0.0010703617285728311,0.11151967228297395,-0.29234415853553625,0.004461602208180309,0.08546510702985075,0.29234415853553625,0.007696540717485994,0.03020161494768209,True,True
