,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
53,F3frequency_sma3nz_stddevNorm,0.41738954457818833,6.322685865025369e-06,0.17421403192318746,0.45400174510196906,7.111003491710176e-07,0.20611758455563328,0.45400174510196906,0.0005563963561222324,6.257683072704955e-05,True,True
65,slopeV5001500_sma3nz_stddevNorm,-0.35777122902638836,0.0001337752435827433,0.12800025231905243,-0.16476058852769995,0.0868891536610072,0.027146051531994054,0.16476058852769995,0.00334028526578987,0.17610875168220572,True,False
74,mfcc4V_sma3nz_amean,0.3556575059045771,0.00014750447322184308,0.1264922615062643,0.3890337949312757,2.9057184735488757e-05,0.1513472935986299,0.3890337949312757,0.00334028526578987,0.0009226731480179963,True,True
16,loudness_sma3_meanRisingSlope,-0.3550291718377176,0.0001518311484449941,0.12604571285577562,-0.32716726850387606,0.0005157846224007213,0.10703842158028734,0.32716726850387606,0.00334028526578987,0.007745064272959246,True,True
18,loudness_sma3_meanFallingSlope,-0.3368644058429375,0.00034136921044996784,0.11347762792391529,-0.33166301307716584,0.00042667598041276524,0.11000035424342428,0.33166301307716584,0.006008098103919435,0.007745064272959246,True,True
28,mfcc4_sma3_amean,0.3315659559177069,0.00042843972598299315,0.10993598312362274,0.38748644893752754,3.145476640970442e-05,0.15014574811021514,0.38748644893752754,0.006283782647750567,0.0009226731480179963,True,True
10,loudness_sma3_amean,-0.3203792909375449,0.0006830863200910472,0.10264289006164405,-0.24849534338592053,0.009175090813706537,0.06174993568448656,0.24849534338592053,0.008587370881144593,0.057671999400441085,True,False
14,loudness_sma3_percentile800,-0.31242925698918,0.0009414807088858443,0.09761204062281108,-0.2231129493523098,0.019701237888930693,0.04977938816868636,0.2231129493523098,0.010356287797744288,0.06934835736903604,True,False
13,loudness_sma3_percentile500,-0.304601894187793,0.0012802975284170106,0.09278231394279143,-0.23049883456405626,0.01589583161148392,0.053129712735388177,0.23049883456405626,0.010482379307295238,0.06477367842865445,True,False
64,slopeV5001500_sma3nz_amean,0.3043147938252254,0.0012946096510289306,0.09260749374088945,0.2932286848273876,0.001971965164234868,0.08598306160559942,0.2932286848273876,0.010482379307295238,0.01735329344526684,True,True
39,logRelF0H1A3_sma3nz_stddevNorm,0.30400339711531577,0.0013102974134119047,0.09241806545765238,0.2960755888482691,0.001772736495065377,0.0876607543118493,0.2960755888482691,0.010482379307295238,0.017333423507305906,True,True
54,F3bandwidth_sma3nz_amean,0.2967940914677097,0.0017254275019165217,0.08808673273014322,0.32252495154133787,0.0006254812618490815,0.10402234436674233,0.32252495154133787,0.011784403651792851,0.007863193006102739,True,True
20,spectralFlux_sma3_amean,-0.29655749781867613,0.0017408778121966713,0.0879463495124741,-0.2517867657531696,0.008263277218500648,0.0633965754084415,0.2517867657531696,0.011784403651792851,0.057671999400441085,True,False
66,spectralFluxV_sma3nz_amean,-0.2941896826211923,0.0019025558150747612,0.08654756936075787,-0.2422492313690472,0.011151358032416658,0.058684690098894154,0.2422492313690472,0.011958922266184214,0.05788345075303239,True,False
12,loudness_sma3_percentile200,-0.27763311433684157,0.0034684702175282038,0.07708014617637374,-0.2499671423874884,0.008756956977428464,0.0624835722733669,0.2499671423874884,0.020348358609498796,0.057671999400441085,True,False
87,equivalentSoundLevel_dBp,-0.26962174481498785,0.004579912100856974,0.07269588527707843,-0.19602877048841116,0.04106522273774223,0.03842727885919818,0.19602877048841116,0.025189516554713357,0.11292936252879113,True,False
19,loudness_sma3_stddevFallingSlope,-0.2669589399913658,0.005014247631208319,0.07126707564131363,-0.26784076362332415,0.004866508899302398,0.0717386746583254,0.26784076362332415,0.025956105385078355,0.03893207119441918,True,True
60,hammarbergIndexV_sma3nz_amean,0.25342502241483333,0.007839977218569605,0.06422424198595877,0.2149143022444184,0.024819847176410493,0.046188157309205224,0.2149143022444184,0.03832877751300696,0.07526097076030043,True,False
58,alphaRatioV_sma3nz_amean,-0.25116503720200395,0.008429124110932237,0.06308387591268402,-0.2985643723477525,0.0016137106332662747,0.0891406844354074,0.2985643723477525,0.039040153776949305,0.017333423507305906,True,True
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.23296262344522461,0.01477687088411663,0.05427158392248152,0.1876713689185539,0.05068256346555936,0.03522054271176396,0.1876713689185539,0.06501823189011317,0.12743044528483496,False,False
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,0.2272818531783246,0.017466917972794344,0.051657040784173505,0.22835306035139688,0.016929484134761957,0.052145120171848705,0.22835306035139688,0.07319470388599535,0.06477367842865445,False,False
43,F1bandwidth_sma3nz_stddevNorm,0.22061513270707636,0.021154507555672164,0.04867103677936092,0.22634873201052788,0.017947028490849726,0.05123374848277377,0.22634873201052788,0.08461803022268866,0.06580577113311567,False,False
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,0.21048530337107488,0.02802974948359586,0.044304062935213426,0.1822929926538226,0.057803919070372536,0.033230735170686615,0.1822929926538226,0.10724425889375808,0.1412984688386884,False,False
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.20703983905563605,0.03076478529296616,0.04286549495618368,0.17724508989153637,0.06521430454592053,0.03141582189065881,0.17724508989153637,0.11181965191534941,0.15102260000107912,False,False
17,loudness_sma3_stddevRisingSlope,-0.20584218462864054,0.03176694656686063,0.04237100497269134,-0.3266043651481771,0.0005280725640654031,0.10667041133384379,0.3266043651481771,0.11181965191534941,0.007745064272959246,False,True
68,mfcc1V_sma3nz_amean,0.19343397443753535,0.043872861150149815,0.03741670246670108,0.11689248078561111,0.22609543081221128,0.013663852064214463,0.11689248078561111,0.14393615503762142,0.3261704575651572,False,False
41,F1frequency_sma3nz_stddevNorm,0.1931744771792773,0.044162229386542934,0.03731637863348713,0.24216020642288824,0.011182030259108529,0.058641565574775845,0.24216020642288824,0.14393615503762142,0.05788345075303239,False,False
46,F2frequency_sma3nz_amean,0.19124476120423087,0.04636427099412417,0.03657455868806329,0.2446478413175196,0.010352221542797337,0.05985256626132225,0.2446478413175196,0.1457162802672474,0.05788345075303239,False,False
35,HNRdBACF_sma3nz_stddevNorm,0.18662571000723724,0.05200726023380867,0.03482915563570541,0.2137139631064505,0.025657149122829688,0.04567365802666528,0.2137139631064505,0.15781513450259185,0.07526097076030043,False,False
40,F1frequency_sma3nz_amean,0.1800580703073238,0.0609949426122855,0.03242090868279716,0.22884865301435317,0.016685721212644083,0.052371705986483816,0.22884865301435317,0.17891849832937082,0.06477367842865445,False,False
30,jitterLocal_sma3nz_amean,0.17765182300347623,0.06458993539839065,0.03156017021645845,0.23016586224524105,0.016052551632137063,0.05297632414309528,0.23016586224524105,0.1833520746793025,0.06477367842865445,False,False
48,F2bandwidth_sma3nz_amean,0.1700178854787206,0.07715012429348687,0.028906081382655352,0.13243229541138604,0.1698306537425769,0.01753831286792862,0.13243229541138604,0.2121628418070889,0.2533067377855384,False,False
75,mfcc4V_sma3nz_stddevNorm,0.1666538573853023,0.08327496020535183,0.02777350818140068,-0.025787506625520575,0.7901084174553791,0.0006649954979612675,0.025787506625520575,0.22206656054760487,0.8650780133015493,False,False
62,slopeV0500_sma3nz_amean,0.1547830373529876,0.10804278180963611,0.023957788652216355,0.21820179719665678,0.022645133392658997,0.04761202429985093,0.21820179719665678,0.26984217822350764,0.07526097076030043,False,False
22,mfcc1_sma3_amean,0.15442881968185646,0.1088617543836214,0.023848260348331336,0.07130186803961551,0.4612624769106828,0.005083956385938743,0.07130186803961551,0.26984217822350764,0.548528350920812,False,False
32,shimmerLocaldB_sma3nz_amean,0.15377335711176526,0.11038998200052585,0.023646245357422487,0.23700326911453887,0.013089669733259673,0.056170549570978535,0.23700326911453887,0.26984217822350764,0.0639939409181584,False,False
77,hammarbergIndexUV_sma3nz_amean,0.15193790685801584,0.11475833805045098,0.023085127540395097,0.15707457489346055,0.10286022637951125,0.02467242207796135,0.15707457489346055,0.27293874995782935,0.1857886204514373,False,False
