,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
24,mfcc2_sma3_amean,0.35342604785310433,6.681492588200453e-08,0.12490997130106479,0.3298552684390034,5.249373821571983e-07,0.108804498116967,0.3298552684390034,5.879713477616398e-06,7.699081604972243e-06,True,True
70,mfcc2V_sma3nz_amean,0.3309400800073625,4.791988915570503e-07,0.10952133655527951,0.32616439665132285,7.139559401027743e-07,0.10638321364292147,0.32616439665132285,1.9194436875867665e-05,7.853515341130517e-06,True,True
25,mfcc2_sma3_stddevNorm,-0.3272154832585162,6.543558025863976e-07,0.10706997248410428,-0.11897549596741175,0.07757352389343421,0.014155168640691608,0.11897549596741175,1.9194436875867665e-05,0.14221812713796272,True,False
79,slopeUV5001500_sma3nz_amean,-0.32248320064374,9.6636618099562e-07,0.10399541469743065,-0.21592698553502948,0.001238029750163294,0.046624463082244834,0.21592698553502948,2.126005598190364e-05,0.004736809478885647,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,0.27925889952018623,2.5307354108672076e-05,0.07798553296122547,0.12346471197694962,0.06694516214891709,0.015243535103551129,0.12346471197694962,0.00043747473738005825,0.12806900585010225,True,False
58,alphaRatioV_sma3nz_amean,-0.2768859800567493,2.9827823003185788e-05,0.07666584595198657,-0.24640119053957327,0.0002160707295274436,0.06071354669931909,0.24640119053957327,0.00043747473738005825,0.0010563457888008352,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,0.2666605668107129,5.953429733823293e-05,0.07110785789181066,-0.026131328057231347,0.6992499625632254,0.0006828463060346462,0.026131328057231347,0.000603785062989026,0.7325475798281408,True,False
48,F2bandwidth_sma3nz_amean,0.26614542695099974,6.159876069348967e-05,0.07083338828692994,0.3262376984856977,7.09636385038322e-07,0.10643103591324501,0.3262376984856977,0.000603785062989026,7.853515341130517e-06,True,True
71,mfcc2V_sma3nz_stddevNorm,-0.26610814709273106,6.175074507842312e-05,0.07081354594912659,-0.06863911193604244,0.3097218898697398,0.0047113276873685635,0.06863911193604244,0.000603785062989026,0.4067989001274195,True,False
60,hammarbergIndexV_sma3nz_amean,0.2592452640932645,9.660229877599095e-05,0.06720810695478645,0.265295957724669,6.515074207994873e-05,0.07038194518504937,0.265295957724669,0.0008501002292287203,0.0004095189502168206,True,True
85,MeanUnvoicedSegmentLength,-0.2521383527531071,0.00015159578453438462,0.06357374892905027,-0.13921404384673688,0.038648520984564075,0.019380550004161178,0.13921404384673688,0.001212766276275077,0.08279851553068168,True,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.24833073831559438,0.00019197113619527677,0.06166815559236821,0.1710079885872757,0.010878231426411549,0.029243732160665815,0.1710079885872757,0.0013008685663918715,0.031909478850807214,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,0.2477585489758035,0.00019884230096226001,0.06138429859059562,0.15456898698671617,0.021525725603471137,0.023891571738099634,0.15456898698671617,0.0013008685663918715,0.055351818311320064,True,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.24710615145610113,0.00020695636283507048,0.06106145008744559,-0.19670027830682973,0.003321338670384846,0.03869099948598427,0.19670027830682973,0.0013008685663918715,0.011241453961302555,True,True
56,F3amplitudeLogRelF0_sma3nz_amean,0.2447767251606443,0.00023851731188032503,0.0599156451803696,0.15159306483951582,0.02420532092137196,0.022980457307437648,0.15159306483951582,0.0013993015630312403,0.05857622622727154,True,False
38,logRelF0H1A3_sma3nz_amean,0.2365808048049028,0.0003887928228549786,0.055970477202135514,0.27368277563011767,3.714808294530424e-05,0.07490226167660533,0.27368277563011767,0.0020733629286654788,0.00032690312991867735,True,True
53,F3frequency_sma3nz_stddevNorm,0.2360724431012386,0.0004005360203103766,0.055730198391787535,0.25637621781970354,0.00011605590938677198,0.06572876506353607,0.25637621781970354,0.0020733629286654788,0.0006383075016272459,True,True
54,F3bandwidth_sma3nz_amean,0.22777993402180088,0.0006449954459400187,0.051883698342975966,0.3488012856228911,1.0148201530781439e-07,0.12166233685218165,0.3488012856228911,0.0031533110690400916,2.2326043367719165e-06,True,True
11,loudness_sma3_stddevNorm,-0.22201906622661077,0.000889244057199823,0.04929246576813618,-0.13181091632856567,0.050353964253119415,0.01737411766337614,0.13181091632856567,0.00411860405439918,0.10070792850623883,True,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.21388697350699598,0.0013803674233892514,0.045747637435982404,-0.11693507786029819,0.08283612631088205,0.013673812434194,0.11693507786029819,0.006073616662912706,0.1487669207215841,True,False
67,spectralFluxV_sma3nz_stddevNorm,0.19679189910544415,0.003306430868402828,0.038727051553527306,0.15114919723713802,0.02462864057283008,0.02284607982543125,0.15114919723713802,0.013697947578993813,0.05857622622727154,True,False
84,StddevVoicedSegmentLengthSec,0.1960763477914733,0.0034244868947484533,0.03844593416324279,0.14831762552820632,0.027481900549930872,0.021998118042325238,0.14831762552820632,0.013697947578993813,0.062350446290312514,True,False
83,MeanVoicedSegmentLengthSec,0.19443387477471366,0.003710009953911583,0.03780453165990903,0.13860388462548848,0.039517473321461716,0.01921103683327572,0.13860388462548848,0.014194820693226928,0.08279851553068168,True,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.1923211403448863,0.00410882563815401,0.03698742102355745,-0.09806563222566136,0.14619936697863745,0.009616868223818673,0.09806563222566136,0.015065694006564703,0.23825082026148325,True,False
37,logRelF0H1H2_sma3nz_stddevNorm,0.19013574986546766,0.004561624145181956,0.036151603376903686,0.04918383000538416,0.4669416193504713,0.0024190491339985275,0.04918383000538416,0.016056916991040483,0.5628885274361846,True,False
36,logRelF0H1H2_sma3nz_amean,0.18650661214764278,0.005413445443986197,0.034784716374791254,0.12348469347941675,0.06690066259571864,0.01524846952370551,0.12348469347941675,0.018322430733491744,0.12806900585010225,True,False
47,F2frequency_sma3nz_stddevNorm,0.18486742807649445,0.005842963511045571,0.03417596596361785,0.2174737134426374,0.0011392245743071928,0.04729481603853037,0.2174737134426374,0.019043732924889267,0.004556898297228771,True,True
64,slopeV5001500_sma3nz_amean,-0.17970190832092892,0.007403047286596893,0.03229277585418354,-0.15400267582295843,0.022014927737456842,0.023716824160631225,0.15400267582295843,0.023266720043590237,0.055351818311320064,True,False
21,spectralFlux_sma3_stddevNorm,-0.17743461512258663,0.008197916644921302,0.03148304264370044,-0.05083727813348122,0.4520804759078491,0.0025844288480209275,0.05083727813348122,0.02487643671562326,0.5525428038873711,True,False
78,slopeUV0500_sma3nz_amean,0.1750910676686947,0.00909837903224117,0.030656881977363427,0.3069732715123594,3.3132891434380535e-06,0.09423258942300074,0.3069732715123594,0.0266885784945741,3.239660495806097e-05,True,True
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,0.1734974843753738,0.009759746851949566,0.030101377084583075,0.06685274271728087,0.32251209667396596,0.00446928920882295,0.06685274271728087,0.027705087837792314,0.41736859569572066,True,False
28,mfcc4_sma3_amean,-0.17235156293228215,0.010261282069617619,0.029705061245200417,-0.15657904385218185,0.019864474371703435,0.02451699697366349,0.15657904385218185,0.028218525691448452,0.05297193165787583,True,False
73,mfcc3V_sma3nz_stddevNorm,0.16619134877654698,0.013367358796815353,0.027619564408167884,0.02794797827677488,0.6794592245016265,0.0007810894897590805,0.02794797827677488,0.035284998400290465,0.7203905030860619,True,False
69,mfcc1V_sma3nz_stddevNorm,0.16572535054818813,0.013632840291021317,0.02746489181431984,0.08579284668324788,0.20390177949003846,0.007360412542015277,0.08579284668324788,0.035284998400290465,0.2990559432520564,True,False
52,F3frequency_sma3nz_amean,0.1561455566658052,0.02021302063763137,0.024381434866474185,0.2482737916795428,0.0001926449193073071,0.061639875634937016,0.2482737916795428,0.050821309031758875,0.0009972207587672368,False,True
31,jitterLocal_sma3nz_stddevNorm,0.15500965068128444,0.021151592439270908,0.024027991804333827,0.11190453795031508,0.09704275807413623,0.012522625613873507,0.11190453795031508,0.05170389262932888,0.17079525421047975,False,False
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,0.14849414817932177,0.027296093641876268,0.022050512043502373,0.051455747470307414,0.4465906881019171,0.002647693947728048,0.051455747470307414,0.06436310920357467,0.5525428038873711,False,False
61,hammarbergIndexV_sma3nz_stddevNorm,0.14802419602660108,0.0277931607924527,0.021911162609321622,0.08595014295090986,0.20307072102403842,0.007387427073281839,0.08595014295090986,0.06436310920357467,0.2990559432520564,False,False
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.14619578843242223,0.02980147858269403,0.02137320855537756,0.1086634474093067,0.10717723081803852,0.011807744802875162,0.1086634474093067,0.06698072057603625,0.18493326101936058,False,False
43,F1bandwidth_sma3nz_stddevNorm,0.14563150694135496,0.03044578208001648,0.02120853581400992,0.037207582081859154,0.5821929723078715,0.0013844041643782865,0.037207582081859154,0.06698072057603625,0.6553946436169994,False,False
62,slopeV0500_sma3nz_amean,0.13668321126419042,0.042361015209337584,0.018682300241491312,0.2310129972551123,0.0005367286532189774,0.05336700490079052,0.2310129972551123,0.09092120337613921,0.0023616060741635005,False,True
22,mfcc1_sma3_amean,0.13365507004936408,0.04719224707818708,0.01786367774990042,0.173416222327851,0.009794584379678398,0.03007318616646265,0.173416222327851,0.09887899387810627,0.029721497427989622,False,True
41,F1frequency_sma3nz_stddevNorm,0.12765075348275262,0.058137244864577796,0.01629471486471448,0.13322222357341462,0.047919043964857945,0.017748160853844872,0.13322222357341462,0.11897854762983362,0.09806688067226742,False,False
16,loudness_sma3_meanRisingSlope,-0.12539758144284543,0.06275125886537118,0.015724553431715055,-0.3422663739568388,1.8111221076490784e-07,0.11714627074156261,0.3422663739568388,0.12550251773074236,3.187574909462378e-06,False,True
42,F1bandwidth_sma3nz_amean,0.12308905446187264,0.06778627936906353,0.01515091532831785,0.21159973358894255,0.001557673760463296,0.04477444725491146,0.21159973358894255,0.13255983521061313,0.0057114704550320855,False,True
19,loudness_sma3_stddevFallingSlope,-0.11938196794948588,0.07655817805451158,0.014252054271492075,-0.3629467521223999,2.766611684273703e-08,0.1317303448761988,0.3629467521223999,0.14540482088639506,1.7342139813602106e-06,False,True
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.11894131794533448,0.07765939297341554,0.014147037114573147,0.09170941078166552,0.17430777382916143,0.008410616025920267,0.09170941078166552,0.14540482088639506,0.2691067385432668,False,False
15,loudness_sma3_pctlrange02,-0.11794951763782768,0.08018486665506297,0.013912088710996223,-0.26693368338875967,5.846633100737187e-05,0.0712535913274906,0.26693368338875967,0.14700558886761544,0.0004095189502168206,False,True
17,loudness_sma3_stddevRisingSlope,-0.11499198221517691,0.08811121144956922,0.013223155973775562,-0.35107041895765256,8.273559395473135e-08,0.1232504390671017,0.35107041895765256,0.15824054301147128,2.2326043367719165e-06,False,True
66,spectralFluxV_sma3nz_amean,-0.1104161620358618,0.10159799267037777,0.012191728838729689,-0.27001052476634774,4.761627770555187e-05,0.07290568348459849,0.27001052476634774,0.17881246709986484,0.000380930221644415,False,True
18,loudness_sma3_meanFallingSlope,-0.10622048344162004,0.11535248968396924,0.011282791102571476,-0.3591626332410071,3.941395412182297e-08,0.1289977971166142,0.3591626332410071,0.19587107938317483,1.7342139813602106e-06,False,True
12,loudness_sma3_percentile200,0.10610751417413912,0.11574200145369422,0.011258804564215134,-0.19759683043864787,0.0031780378712818608,0.039044507399399755,0.19759683043864787,0.19587107938317483,0.01118669330691215,False,True
59,alphaRatioV_sma3nz_stddevNorm,-0.10530091360432527,0.11855302668877714,0.011088282405905574,-0.014987857226863651,0.824656868287805,0.000224635864252849,0.014987857226863651,0.19684276129457334,0.8438349349921725,False,False
40,F1frequency_sma3nz_amean,0.1030257125572593,0.12676898249754906,0.010614297447931017,0.15910125239359696,0.01793809006249587,0.025313208513211043,0.15910125239359696,0.20658648999600587,0.05092102985482698,False,False
29,mfcc4_sma3_stddevNorm,-0.09634132100041264,0.15345966825741675,0.009281650132104548,-0.06306351251670063,0.35075842658285006,0.003977006610944057,0.06306351251670063,0.2418138687420576,0.44325727553000105,False,False
46,F2frequency_sma3nz_amean,0.09624303773770423,0.15388155283585483,0.009262722312981161,0.22207562737999842,0.0008864793139439107,0.049317584276219906,0.22207562737999842,0.2418138687420576,0.0037147704584316256,False,True
14,loudness_sma3_percentile800,-0.09428358579324747,0.16247636188463446,0.008889394550032657,-0.2660905445088551,6.182263064799958e-05,0.070804177877019,0.2660905445088551,0.250840699049962,0.0004095189502168206,False,True
39,logRelF0H1A3_sma3nz_stddevNorm,0.09020991400788511,0.1814879395224429,0.008137828585310026,0.08402947776628614,0.21338701622215284,0.007060953133674776,0.08402947776628614,0.2753610116892237,0.30783700700900735,False,False
75,mfcc4V_sma3nz_stddevNorm,-0.08351196613894073,0.21622983012578806,0.006974248488391583,-0.03229141766074111,0.6330426489685869,0.0010427356545404229,0.03229141766074111,0.32251228900117546,0.6877500383856253,False,False
86,StddevUnvoicedSegmentLength,-0.07051120001205471,0.29667998897051057,0.004971829327139985,-0.08017418062881107,0.2352166843058531,0.006427899239501224,0.08017418062881107,0.4351306504900822,0.33385593901475924,False,False
10,loudness_sma3_amean,-0.06942356879139383,0.30421188391921483,0.0048196319037333915,-0.26245046061172905,7.85022505526607e-05,0.06888024427530874,0.26245046061172905,0.43886304565394924,0.0004605465365756095,False,True
20,spectralFlux_sma3_amean,-0.06834697167230057,0.3117905028844097,0.004671308536774256,-0.18861034286744058,0.0049037723404804605,0.03557386143657349,0.18861034286744058,0.4425413589327105,0.015411855927224305,False,True
35,HNRdBACF_sma3nz_stddevNorm,0.06573399251546663,0.3306940156966808,0.004320957772023423,-0.021198954357571496,0.7539819606103313,0.0004493956658543995,0.021198954357571496,0.4619217997033001,0.7805930886318724,False,False
49,F2bandwidth_sma3nz_stddevNorm,0.06478787490031385,0.3377165679503671,0.004197468734098717,0.036600808479098815,0.5883656459743517,0.0013396191813236718,0.036600808479098815,0.46436028093175474,0.6553946436169994,False,False
32,shimmerLocaldB_sma3nz_amean,0.05835596965628704,0.38795042480119224,0.0034054191945254936,0.006489914890094571,0.9235734624969792,4.211899528067123e-05,0.006489914890094571,0.5252251905000757,0.9235734624969792,False,False
72,mfcc3V_sma3nz_amean,-0.05641911156532649,0.40392094045720606,0.003183116149820757,-0.12126975134370997,0.07198276480145856,0.014706352590965246,0.12126975134370997,0.5355008475026213,0.13477624047932668,False,False
