,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
24,mfcc2_sma3_amean,0.35278754858950023,9.07583575277511e-09,0.12445905443978898,0.3408351762270984,3.030788856389792e-08,0.11616861735375723,0.3408351762270984,6.727613430551559e-07,5.334188387246033e-07,True,True
70,mfcc2V_sma3nz_amean,0.34767864314604435,1.5290030523980818e-08,0.12088043889987446,0.30685013484878587,7.149363342786651e-07,0.09415700525671808,0.30685013484878587,6.727613430551559e-07,1.0485732902753756e-05,True,True
48,F2bandwidth_sma3nz_amean,0.3184022374913849,2.5495844111088515e-07,0.10137998483952028,0.22963630241209645,0.00024339033238115844,0.052732831385499813,0.22963630241209645,6.589448842924474e-06,0.001427889949969463,True,True
25,mfcc2_sma3_stddevNorm,-0.3166294098663846,2.9952040195111244e-07,0.10025418319233498,-0.11762495616388376,0.06278765733091952,0.013835630312555575,0.11762495616388376,6.589448842924474e-06,0.1497410480731961,True,False
60,hammarbergIndexV_sma3nz_amean,0.2900593617082956,2.9636339259047663e-06,0.08413443331462386,0.2488742614544879,6.716060372921524e-05,0.0619383980145168,0.2488742614544879,5.106096693796259e-05,0.0004925110940142451,True,True
58,alphaRatioV_sma3nz_amean,-0.28776173827026436,3.575402613447853e-06,0.08280681801232413,-0.22160175538480834,0.00040410362998020673,0.04910733798962843,0.22160175538480834,5.106096693796259e-05,0.0020918305551916585,True,True
38,logRelF0H1A3_sma3nz_amean,0.28618890988928547,4.0616678246106605e-06,0.08190409214361756,0.2665487854648245,1.8729235070913116e-05,0.07104825503277305,0.2665487854648245,5.106096693796259e-05,0.00014983388056730493,True,True
53,F3frequency_sma3nz_stddevNorm,0.2819156871890421,5.721189335241962e-06,0.07947645468326983,0.21947507306877623,0.00046076708846555205,0.04816930769854466,0.21947507306877623,6.293308268766158e-05,0.002252639099164921,True,True
54,F3bandwidth_sma3nz_amean,0.2567684695102171,3.839938036029226e-05,0.06593004693461928,0.21468045291547427,0.0006165857756225492,0.046087696863993166,0.21468045291547427,0.0003754606079673021,0.0028557656976202278,True,True
36,logRelF0H1H2_sma3nz_amean,0.25059500257899997,5.954728225313267e-05,0.062797855317569,0.18039537894862115,0.004139969699453288,0.03254249274601663,0.18039537894862115,0.0005240160838275675,0.014572693342075572,True,True
