,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
77,hammarbergIndexUV_sma3nz_amean,0.4698130457008707,1.427537013339224e-05,0.2207242979107284,0.5062943332661258,2.255083256347313e-06,0.2563339518973909,0.5062943332661258,0.0009184359672808125,2.8349618079794796e-05,True,True
71,mfcc2V_sma3nz_stddevNorm,-0.4568135071940463,2.6225183557110206e-05,0.20867858035492498,-0.058549974316032254,0.6106205100341884,0.0034280994924080366,0.058549974316032254,0.0009184359672808125,0.7676372126144083,True,False
76,alphaRatioUV_sma3nz_amean,-0.4529238814990909,3.1310317066391334e-05,0.20514004243220255,-0.46610249592869096,1.7024637850753794e-05,0.21725153671095537,0.46610249592869096,0.0009184359672808125,0.00016646312565181488,True,True
60,hammarbergIndexV_sma3nz_amean,0.44249610208662854,4.9829103003064554e-05,0.19580280036185999,0.4508957490045957,3.431243137238711e-05,0.20330697647041537,0.4508957490045957,0.0010962402660674201,0.00025279871422628623,True,True
54,F3bandwidth_sma3nz_amean,0.42288164093410713,0.00011473922164330606,0.1788288822391231,0.45875555240372945,2.3984878579863107e-05,0.21045665686125095,0.45875555240372945,0.0013557538740748781,0.00021106693150279535,True,True
58,alphaRatioV_sma3nz_amean,-0.4222546946872228,0.00011774107098967061,0.17829902718539975,-0.4187849625522616,0.00013570805132978125,0.17538084485989916,0.4187849625522616,0.0013557538740748781,0.0007463942823137968,True,True
25,mfcc2_sma3_stddevNorm,-0.42166613290443344,0.00012062501508148821,0.17780232763857934,0.07978996076926446,0.48742075815570296,0.006366437839560762,0.07978996076926446,0.0013557538740748781,0.6307798046720862,True,False
24,mfcc2_sma3_amean,0.42114154522846914,0.00012325035218862528,0.1773602011174227,0.32525984287911863,0.003664420593454431,0.10579396538974895,0.32525984287911863,0.0013557538740748781,0.014025197191449647,True,True
70,mfcc2V_sma3nz_amean,0.41050904867416693,0.0001892527991697156,0.16851767904336956,0.30904775997142897,0.005903176997437315,0.09551051794335798,0.30904775997142897,0.0018504718141038857,0.020779183030979347,True,True
48,F2bandwidth_sma3nz_amean,0.37002623387535555,0.0008547957288311577,0.13691941375597932,0.39875711815852255,0.00029909730389733775,0.1590072392820899,0.39875711815852255,0.007522202413714188,0.0014622534857203179,True,True
38,logRelF0H1A3_sma3nz_amean,0.3664436838931598,0.0009679881387840512,0.13428097346519002,0.3252484981267204,0.0036656765386743396,0.10578658553368725,0.3252484981267204,0.00774390511027241,0.014025197191449647,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.3375785668937545,0.002506647712566923,0.11395928882604107,0.40119219991153376,0.00027241192502796483,0.16095518126985608,0.40119219991153376,0.01838208322549077,0.001410132317791818,True,True
12,loudness_sma3_percentile200,-0.3295178294338142,0.0032192433212210234,0.10858199991477226,-0.5755034940449383,3.5530299599165895e-08,0.3312042716579323,0.5755034940449383,0.019815097827360562,3.126666364726599e-06,True,True
13,loudness_sma3_percentile500,-0.32912118997149964,0.00325856961064926,0.10832075768825596,-0.5539882591199329,1.428844232106331e-07,0.3069029912427339,0.5539882591199329,0.019815097827360562,6.286914621267857e-06,True,True
42,F1bandwidth_sma3nz_amean,0.3249244885637847,0.003701709017184499,0.10557592326843705,0.2579253140513442,0.022614816311125004,0.06652546762848455,0.2579253140513442,0.019815097827360562,0.05686010958225716,True,False
75,mfcc4V_sma3nz_stddevNorm,0.32439990088782034,0.0037607167616108524,0.10523529569602766,0.07100132815316773,0.5367579136323108,0.005041188599513809,0.07100132815316773,0.019815097827360562,0.6845608173861356,True,False
10,loudness_sma3_amean,-0.323811339105031,0.003827916625740109,0.10485378333299339,-0.5361469993169365,4.2155178061579434e-07,0.28745360487655514,0.5361469993169365,0.019815097827360562,1.215186321398151e-05,True,True
19,loudness_sma3_stddevFallingSlope,-0.3211500162611143,0.004145312660347154,0.10313733294451397,-0.4269428885044005,9.694410714160377e-05,0.18228023004448093,0.4269428885044005,0.02010864952300169,0.0005687387618974088,True,True
18,loudness_sma3_meanFallingSlope,-0.3184758985958325,0.004487593904934199,0.10142689798642297,-0.5066697595633834,2.210175127553153e-06,0.25671424525601677,0.5066697595633834,0.02010864952300169,2.8349618079794796e-05,True,True
47,F2frequency_sma3nz_stddevNorm,-0.31773379895666337,0.004586925192873996,0.10095476699943338,-0.3355492989401284,0.002671272353511854,0.11259333201921166,0.3355492989401284,0.02010864952300169,0.01119390319566872,True,True
14,loudness_sma3_percentile800,-0.31619842039286516,0.004798654999807222,0.09998144105894309,-0.5315248345210286,5.523574188173414e-07,0.2825186497126069,0.5315248345210286,0.02010864952300169,1.215186321398151e-05,True,True
16,loudness_sma3_meanRisingSlope,-0.31045354559998706,0.005669799983146878,0.09638140397560324,-0.517556048874481,1.2204780307101697e-06,0.2678642637265642,0.517556048874481,0.02186940027832495,2.148041334049899e-05,True,True
15,loudness_sma3_pctlrange02,-0.3101720595299574,0.00571586598183493,0.09620670651305545,-0.5024070434718001,2.773378778838554e-06,0.25241283733007525,0.5024070434718001,0.02186940027832495,3.0507166567224092e-05,True,True
36,logRelF0H1H2_sma3nz_amean,0.30437600545161936,0.0067408418559594735,0.09264475269468422,0.24310686551797175,0.031978076184909665,0.059100948061973205,0.24310686551797175,0.023237024289837233,0.0748476033140941,True,False
74,mfcc4V_sma3nz_amean,0.30367229027654524,0.006875698588171858,0.09221685988180235,0.3091299609566749,0.005889300677411991,0.09556133276107534,0.3091299609566749,0.023237024289837233,0.020779183030979347,True,True
28,mfcc4_sma3_amean,0.3031349077792159,0.006980274042260452,0.09189077231431374,0.3053157669985084,0.00656438601287119,0.09321771757788745,0.3053157669985084,0.023237024289837233,0.021395035893802396,True,True
17,loudness_sma3_stddevRisingSlope,-0.3023800133186818,0.007129541543472787,0.09143367245460618,-0.4507922776668575,3.4472551939948117e-05,0.20321367760407313,0.4507922776668575,0.023237024289837233,0.00025279871422628623,True,True
59,alphaRatioV_sma3nz_stddevNorm,0.288049813389899,0.010546839704536761,0.08297269499395563,0.25811001133185885,0.022514735615006186,0.0666207779497323,0.25811001133185885,0.03314721049997268,0.05686010958225716,True,False
55,F3bandwidth_sma3nz_stddevNorm,-0.28625853839880117,0.011061208757140254,0.08194395080621793,-0.2607079280498545,0.021146510144240623,0.0679686237480481,0.2607079280498545,0.033565047263046294,0.056390693717975,True,False
66,spectralFluxV_sma3nz_amean,-0.278095442367941,0.01369146447750652,0.07733707506582078,-0.44710855109173575,4.064748126107123e-05,0.19990605645935128,0.44710855109173575,0.04016162913401913,0.00027515218084417446,True,True
20,spectralFlux_sma3_amean,-0.2702778065139354,0.016701483873249764,0.0730500926939843,-0.4413036332705628,5.249812233486377e-05,0.1947488967377994,0.4413036332705628,0.04741066389825739,0.0003299881975334294,True,True
41,F1frequency_sma3nz_stddevNorm,-0.25929984978277854,0.021879007495923978,0.06723641209737151,-0.2707555860080022,0.01650242136673736,0.07330858735453667,0.2707555860080022,0.06016727061379094,0.04684558323460927,False,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.2519940067833723,0.026036374967962933,0.06350097945473829,0.3789563960593865,0.000623057046669283,0.14360795011431862,0.3789563960593865,0.06943033324790115,0.002885737900362995,False,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,0.24727271769969297,0.02906451593015768,0.06114379691859206,0.18005746245967588,0.11468680865470304,0.03242068978741759,0.18005746245967588,0.07510910015731032,0.214732748119444,False,False
87,equivalentSoundLevel_dBp,-0.2460827993127494,0.029872937562566603,0.0605567441175989,-0.33744931769818337,0.00251685531151671,0.11387204201496949,0.33744931769818337,0.07510910015731032,0.011074163370673525,False,True
52,F3frequency_sma3nz_amean,0.23905844238337282,0.03504078887763307,0.05714893887476438,0.270972296677063,0.01641280623195579,0.07342598556644225,0.270972296677063,0.08565526170088082,0.04684558323460927,False,True
61,hammarbergIndexV_sma3nz_stddevNorm,-0.21360954268841842,0.06040491505125767,0.04562903672755525,-0.2073797615071454,0.06848251608486991,0.04300636548276051,0.2073797615071454,0.1403644210024834,0.14698686379191592,False,False
84,StddevVoicedSegmentLengthSec,-0.21279067412105943,0.06142026058431375,0.04527987099289491,-0.2219378256875934,0.050833218118133225,0.049256398470936595,0.2219378256875934,0.1403644210024834,0.11470059472809549,False,False
