,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
77,hammarbergIndexUV_sma3nz_amean,0.46528877425140897,1.2052195129611929e-05,0.2164936434443786,0.499860380973032,2.0237837172477577e-06,0.24986040046650468,0.499860380973032,0.0006604444874526486,2.2261620889725334e-05,True,True
71,mfcc2V_sma3nz_stddevNorm,-0.45392353511035866,2.079647692572448e-05,0.206046575727085,-0.06038628702430607,0.5922913522071024,0.0036465036605818754,0.06038628702430607,0.0006604444874526486,0.7553860723800726,True,False
76,alphaRatioUV_sma3nz_amean,-0.4464229346309532,2.9498310671923975e-05,0.19929343656451234,-0.4589385189490091,1.638642083073301e-05,0.21062456417511,0.4589385189490091,0.0006604444874526486,0.00016022278145605607,True,True
60,hammarbergIndexV_sma3nz_amean,0.4398713430536677,3.976618765358382e-05,0.19348679843983743,0.39648497037394204,0.00024802437370647246,0.1572003317324257,0.39648497037394204,0.0006604444874526486,0.0015590103490121126,True,True
24,mfcc2_sma3_amean,0.437287294717775,4.466318188979731e-05,0.1912201781215902,0.33815637779897023,0.0020177596908397145,0.11434973584611989,0.33815637779897023,0.0006604444874526486,0.010444873693758521,True,True
25,mfcc2_sma3_stddevNorm,-0.43710435324266755,4.503030596268058e-05,0.1910602156236907,0.07538190319913485,0.5035944259313173,0.005682431329923737,0.07538190319913485,0.0006604444874526486,0.6714592345750897,True,False
70,mfcc2V_sma3nz_amean,0.4273398520088074,6.92376325460268e-05,0.18261934911490943,0.32177524521593226,0.003397284841744719,0.10353930843377333,0.32177524521593226,0.0008704159520071941,0.014948053303676764,True,True
58,alphaRatioV_sma3nz_amean,-0.41670637876818695,0.00010899626264067384,0.17364420610609568,-0.38625942366692606,0.00036862120062395334,0.1491963423715059,0.38625942366692606,0.0011989588890474123,0.002162577710327193,True,True
54,F3bandwidth_sma3nz_amean,0.3979777452540618,0.00023383209084732717,0.15838628571750693,0.31810008763664127,0.003803958563949108,0.10118766575443885,0.31810008763664127,0.00228635822161831,0.01594039779178674,True,True
48,F2bandwidth_sma3nz_amean,0.3844057745695279,0.0003955336211299908,0.1477677995223987,0.27873833552763466,0.011741888599071795,0.07769505969271624,0.27873833552763466,0.0034806958659439192,0.03974177679685838,True,True
38,logRelF0H1A3_sma3nz_amean,0.3748470824951637,0.0005651527132559245,0.14051033525513604,0.3012412715484444,0.006279404605387762,0.0907463036841236,0.3012412715484444,0.004521221706047396,0.024025548055396657,True,True
42,F1bandwidth_sma3nz_amean,0.33641793888040517,0.002135319005765382,0.11317702960054002,0.1425174734510771,0.20436577458035124,0.020311230238878465,0.1425174734510771,0.015178897767399292,0.35263114045237076,True,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.3349086717107687,0.0022423371701839863,0.11216381838707146,0.33829074005531373,0.002008920839819931,0.11444062480717185,0.33829074005531373,0.015178897767399292,0.010444873693758521,True,True
13,loudness_sma3_percentile500,-0.3213367010262348,0.00344368067413655,0.10325727542642381,-0.5522947777281774,9.031868771919681e-08,0.30502952150581686,0.5522947777281774,0.019700865254269236,3.97402225964466e-06,True,True
75,mfcc4V_sma3nz_stddevNorm,0.32094795039163143,0.003485280663547871,0.10300758686058911,0.06940506100875933,0.5381057938841796,0.004817062493629605,0.06940506100875933,0.019700865254269236,0.7053226386234377,True,False
12,loudness_sma3_percentile200,-0.31821526210721396,0.003790583019925139,0.10126095303796288,-0.5733200119927494,2.2198366912935054e-08,0.3286958361513663,0.5733200119927494,0.019700865254269236,1.953456288338285e-06,True,True
10,loudness_sma3_amean,-0.31718621630973454,0.003911588838012357,0.1006070958168857,-0.5348516074547903,2.694671737454111e-07,0.2860662419969731,0.5348516074547903,0.019700865254269236,7.745725226406114e-06,True,True
36,logRelF0H1H2_sma3nz_amean,0.31537966924304844,0.004132365859389643,0.09946433577185464,0.25165964619104175,0.023430508166463814,0.06333257752100031,0.25165964619104175,0.019700865254269236,0.07363873995174341,True,False
19,loudness_sma3_stddevFallingSlope,-0.31200668579575486,0.004574436698089675,0.0973481719812509,-0.4278185035313869,6.781347976847119e-05,0.1830286719638353,0.4278185035313869,0.019700865254269236,0.00045904509381734343,True,True
