,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
55,F3bandwidth_sma3nz_stddevNorm,-0.4218465186674007,0.00013285025362195217,0.17795448531180563,-0.41632385530456023,0.00016590815039688585,0.1733255524956524,0.41632385530456023,0.011690822318731791,0.0011230705565327657,True,True
13,loudness_sma3_percentile500,-0.3883487015241252,0.00048291980098358355,0.15081471397547408,-0.5427489112691114,3.4089919069185436e-07,0.29457638068380576,0.5427489112691114,0.01897822815931864,1.4999564390441591e-05,True,True
10,loudness_sma3_amean,-0.37133393726087405,0.0008845719936361822,0.13788889296166273,-0.5308127338041163,6.834553395262625e-07,0.28176215836859964,0.5308127338041163,0.01897822815931864,2.004802329277037e-05,True,True
14,loudness_sma3_percentile800,-0.3653920625533169,0.001084515884103237,0.13351135937696706,-0.5172898689869702,1.4563026946108473e-06,0.26758880855655676,0.5172898689869702,0.01897822815931864,2.5630927425150915e-05,True,True
54,F3bandwidth_sma3nz_amean,0.3610453219954395,0.0012558154877404526,0.13035372453479058,0.1896344260461522,0.09856646301961614,0.03596121554185357,0.1896344260461522,0.01897822815931864,0.262843901385643,True,False
24,mfcc2_sma3_amean,0.35644601853052943,0.0014633875959357834,0.12705376412626654,0.32541791677126924,0.0038785868448235157,0.10589682055575271,0.32541791677126924,0.01897822815931864,0.018961980130248298,True,True
15,loudness_sma3_pctlrange02,-0.35550223082530225,0.0015096317854003463,0.12638183612176648,-0.4744974035567047,1.302522542412846e-05,0.2251477859820543,0.4744974035567047,0.01897822815931864,0.0001320153821020258,True,True
12,loudness_sma3_percentile200,-0.3448281248070283,0.002132381989006737,0.11890643565793148,-0.5523117490510766,1.9144399375818547e-07,0.3050482681398594,0.5523117490510766,0.023456201879074105,1.4999564390441591e-05,True,True
18,loudness_sma3_meanFallingSlope,-0.33632074267540274,0.0027845924237290347,0.11311164195373447,-0.5195819667235699,1.283981118599873e-06,0.26996542014433295,0.5195819667235699,0.024165687379966307,2.5630927425150915e-05,True,True
84,StddevVoicedSegmentLengthSec,-0.33513988751997803,0.002887997947827314,0.11231874420690352,-0.32067997362288686,0.004462992963153473,0.1028356454827754,0.32067997362288686,0.024165687379966307,0.02067070425039503,True,True
