,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
55,F3bandwidth_sma3nz_stddevNorm,-0.40906957405846617,0.000164889861010661,0.16733791642037493,-0.3824597322386611,0.0004633511864283481,0.14627544678406834,0.3824597322386611,0.014510307768938168,0.0031365311081303564,True,True
13,loudness_sma3_percentile500,-0.36549617314004157,0.000856724774023066,0.13358745258001525,-0.5371807955911959,2.7873606992818617e-07,0.2885632071519902,0.5371807955911959,0.020250886257437,1.2264387076840191e-05,True,True
24,mfcc2_sma3_amean,0.36378913341079383,0.0009097268397435075,0.13234253358777634,0.33584350793004525,0.0023223083032665112,0.11279086181875836,0.33584350793004525,0.020250886257437,0.012021360628673705,True,True
54,F3bandwidth_sma3nz_amean,0.36345341174659257,0.0009204948298835,0.13209838251023814,0.1723942775688228,0.12622803125087728,0.029719786938476322,0.1723942775688228,0.020250886257437,0.31737333571649146,True,False
10,loudness_sma3_amean,-0.34782119927678906,0.0015702505383641328,0.12097958666634381,-0.5256260894787874,5.5434170034077e-07,0.2762827859407622,0.5256260894787874,0.025094914449211733,1.6260689876662588e-05,True,True
14,loudness_sma3_percentile800,-0.3436958532644404,0.0017999152758150381,0.11812683955117176,-0.512586930865927,1.1687085567397213e-06,0.2627453616945506,0.512586930865927,0.025094914449211733,2.0569270598619096e-05,True,True
15,loudness_sma3_pctlrange02,-0.34053071709979355,0.0019961863766418423,0.11596116928849963,-0.4710971111999037,1.0321215886484606e-05,0.22193248818089445,0.4710971111999037,0.025094914449211733,9.96451632639259e-05,True,True
25,mfcc2_sma3_stddevNorm,-0.32535703061759147,0.0032310797976316027,0.10585719737229635,-0.03961962069191584,0.7271430098190962,0.0015697143437712856,0.03961962069191584,0.02985226469951589,0.9723718079914984,True,False
71,mfcc2V_sma3nz_stddevNorm,-0.32078902293151124,0.0037178686535047694,0.10290559723335364,-0.00946312446175301,0.9336046645265954,8.955072457862821e-05,0.00946312446175301,0.02985226469951589,0.9866298237307712,True,False
70,mfcc2V_sma3nz_amean,0.3193309179511681,0.003886466023479089,0.10197223515953564,0.30090213556862966,0.006684723742543461,0.09054209518976199,0.30090213556862966,0.02985226469951589,0.029412784467191228,True,True
12,loudness_sma3_percentile200,-0.3188133783221419,0.003947925481610146,0.10164197019717718,-0.5470340843706385,1.5192304973339611e-07,0.29924628946322285,0.5470340843706385,0.02985226469951589,1.2264387076840191e-05,True,True
