,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,0.44749973674937155,9.794222679478038e-16,0.20025601439075683,0.44694691932225517,1.072205474647461e-15,0.19976154869165447,0.44694691932225517,8.618915957940674e-14,9.435408176897657e-15,True,True
14,loudness_sma3_percentile800,-0.37544197543062896,3.5734242435400676e-11,0.140956676915253,-0.5283419634611056,2.531811768207469e-22,0.2791452303539363,0.5283419634611056,1.5723066671576298e-09,7.426647853408577e-21,True,True
18,loudness_sma3_meanFallingSlope,-0.36955077138712833,7.576174861398261e-11,0.13656777263282158,-0.5544511860115237,7.4509398298132695e-25,0.3074161176695852,0.5544511860115237,1.9949888193898138e-09,6.556827050235677e-23,True,True
66,spectralFluxV_sma3nz_amean,-0.3681237339893542,9.068130997226427e-11,0.13551508352626482,-0.510141336024782,1.1029429803160441e-20,0.2602441827211495,0.510141336024782,1.9949888193898138e-09,2.4264745566952967e-19,True,True
15,loudness_sma3_pctlrange02,-0.3660887294519422,1.1699937497696474e-10,0.13402095783173734,-0.5348729356632399,6.177038347593777e-23,0.2860890573050124,0.5348729356632399,2.0591889995945796e-09,2.717896872941262e-21,True,True
16,loudness_sma3_meanRisingSlope,-0.3591274934010417,2.7600167565971386e-10,0.12897255651651526,-0.4984072885091669,1.1178785190090416e-19,0.2484098252390599,0.4984072885091669,3.553900130533105e-09,1.9674661934559133e-18,True,True
10,loudness_sma3_amean,-0.3589306606565211,2.826966012924061e-10,0.12883121915932672,-0.49660461935317074,1.5831241085696232e-19,0.2466161479629076,0.49660461935317074,3.553900130533105e-09,2.3219153592354475e-18,True,True
70,mfcc2V_sma3nz_amean,0.34530909661290593,1.427384526398207e-09,0.1192383722036212,0.3714254631259836,5.974600980876097e-11,0.1379568746583514,0.3714254631259836,1.5407101663699296e-08,4.3813740526424716e-10,True,True
74,mfcc4V_sma3nz_amean,0.34420142034311646,1.6227788939343163e-09,0.11847461776621875,0.3227639335395983,1.7634564674015114e-08,0.10417655679395424,0.3227639335395983,1.5407101663699296e-08,1.1084583509380929e-07,True,True
13,loudness_sma3_percentile500,-0.34354375293548706,1.7508070072385564e-09,0.11802231018099897,-0.4736786354555412,1.1106789786592872e-17,0.22437144968702347,0.4736786354555412,1.5407101663699296e-08,1.2217468765252159e-16,True,True
42,F1bandwidth_sma3nz_amean,0.3382071251496732,3.2212189117430595e-09,0.11438405950200672,0.30386708302256116,1.2446829637502814e-07,0.09233520414464008,0.30386708302256116,2.5769751293944476e-08,6.443064753530869e-07,True,True
20,spectralFlux_sma3_amean,-0.3358471005428716,4.202631539032937e-09,0.1127932749430537,-0.4740195672198459,1.0450518888139277e-17,0.22469455010729,0.4740195672198459,3.0819297952908206e-08,1.2217468765252159e-16,True,True
19,loudness_sma3_stddevFallingSlope,-0.32575060457085936,1.2786774986335363e-08,0.10611345637828037,-0.4557289779429617,2.4964564545334803e-16,0.20768890133693646,0.4557289779429617,8.655663067673169e-08,2.440979644432736e-15,True,True
60,hammarbergIndexV_sma3nz_amean,0.3133117196227118,4.7674095282625865e-08,0.09816423365294077,0.30203712949699546,1.493227547954381e-07,0.0912264275947848,0.30203712949699546,2.9401960272534414e-07,7.300223567776974e-07,True,True
38,logRelF0H1A3_sma3nz_amean,0.31282800315305254,5.0116977737274564e-08,0.09786135955672624,0.29173269796126733,4.067123875769669e-07,0.08510796705976004,0.29173269796126733,2.9401960272534414e-07,1.7043185765130042e-06,True,True
87,equivalentSoundLevel_dBp,-0.29592843579037786,2.717385084421973e-07,0.0875736391093398,-0.3131312196661651,4.857192346896878e-08,0.09805116072962013,0.3131312196661651,1.4945617964320852e-06,2.671455790793283e-07,True,True
17,loudness_sma3_stddevRisingSlope,-0.2921335004760213,3.9145178368384573e-07,0.08534198210037355,-0.43105338492116885,1.3501288605318305e-14,0.18580702065199736,0.43105338492116885,2.026338644951672e-06,1.0801030884254644e-13,True,True
28,mfcc4_sma3_amean,0.28811442187384195,5.728978083117825e-07,0.08300992009169818,0.2668459509139238,3.903819464750019e-06,0.07120676151915624,0.2668459509139238,2.80083372952427e-06,1.3741444515920066e-05,True,True
12,loudness_sma3_percentile200,-0.2859615637306483,7.008540000194688e-07,0.08177401593127763,-0.3599598184553202,2.4935500798801717e-10,0.1295710709023871,0.3599598184553202,3.2460606316691185e-06,1.68794159253427e-09,True,True
24,mfcc2_sma3_amean,0.27641468353953946,1.6794207159260463e-06,0.07640507727626375,0.3014202745556005,1.587290071869153e-07,0.09085418191317358,0.3014202745556005,7.389451150074604e-06,7.351659280236077e-07,True,True
