,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,0.3813469107236511,3.1423078979577667e-16,0.14542546631847234,0.3279955874441232,3.625928673438288e-12,0.10758110538281548,0.3279955874441232,2.7652309502028346e-14,2.4544747943274562e-11,True,True
74,mfcc4V_sma3nz_amean,0.36910833961460787,3.144404510440361e-15,0.1362409663730527,0.3141198011892867,3.1206016009439277e-11,0.09867124949919699,0.3141198011892867,1.383537984593759e-13,1.9615210063076116e-10,True,True
70,mfcc2V_sma3nz_amean,0.35943757972700013,1.813076871231795e-14,0.1291953737200036,0.33293414351851647,1.6406717953472465e-12,0.11084514392040812,0.33293414351851647,5.318358822279933e-13,1.203159316587981e-11,True,True
28,mfcc4_sma3_amean,0.32492728342111393,5.892215658473155e-12,0.1055777395114249,0.2730905613767591,9.694661859231444e-09,0.07457845471307342,0.2730905613767591,1.296287444864094e-10,5.332064022577294e-08,True,True
24,mfcc2_sma3_amean,0.32280857131518037,8.21292354745291e-12,0.1042053737145479,0.29569674054696343,4.597361094153318e-10,0.08743656237009821,0.29569674054696343,1.4454745443517121e-10,2.6971185085699467e-09,True,True
60,hammarbergIndexV_sma3nz_amean,0.31699206673799163,2.0167948479217683e-11,0.10048397037482334,0.2609004326005326,4.488513419569461e-08,0.06806903573114505,0.2609004326005326,2.957965776951927e-10,2.1943843384561808e-07,True,True
38,logRelF0H1A3_sma3nz_amean,0.3070855049343742,8.912123189644581e-11,0.09430150734079956,0.24968076575006087,1.7201163991010128e-07,0.06234048478553677,0.24968076575006087,1.1203812009838902e-09,7.568512156044456e-07,True,True
14,loudness_sma3_percentile800,-0.2649525532222298,2.719889702827241e-08,0.07019985545897853,-0.45693948748973756,2.043753196929707e-23,0.20879369522738403,0.45693948748973756,2.940934448122843e-07,5.995009377660475e-22,True,True
18,loudness_sma3_meanFallingSlope,-0.2641441454458599,3.007773867398362e-08,0.06977212957332359,-0.48892387936856835,4.826831703266142e-27,0.23904655981681036,0.48892387936856835,2.940934448122843e-07,4.247611898874205e-25,True,True
58,alphaRatioV_sma3nz_amean,-0.26213595937954837,3.856170000457314e-08,0.06871526119983623,-0.20978313195527704,1.2369057628895001e-05,0.04400896245296518,0.20978313195527704,3.3934296004024366e-07,4.9476230515580005e-05,True,True
10,loudness_sma3_amean,-0.25872724486554094,5.8516198903573895e-08,0.06693978723571357,-0.4318230933507269,7.981864206324484e-21,0.18647118395099058,0.4318230933507269,4.6812959122859116e-07,1.170673416927591e-19,True,True
16,loudness_sma3_meanRisingSlope,-0.25263478918840965,1.2151079937210533e-07,0.06382433670827219,-0.440680140597865,1.0295639383940916e-21,0.19419898631735405,0.440680140597865,8.490414686138448e-07,1.8120325315736012e-20,True,True
15,loudness_sma3_pctlrange02,-0.25236674761570327,1.2542658059068162e-07,0.06368897530212807,-0.46955454057998186,8.421684218084308e-25,0.22048146657927783,0.46955454057998186,8.490414686138448e-07,3.7055410559570957e-23,True,True
66,spectralFluxV_sma3nz_amean,-0.2501255585525093,1.6328698333403302e-07,0.06256279504120475,-0.44409910386459567,4.594818152615415e-22,0.19722401405333692,0.44409910386459567,9.797901603497706e-07,1.0108599935753912e-20,True,True
13,loudness_sma3_percentile500,-0.2499330360438785,1.6700968642325634e-07,0.06246652250611067,-0.4152809755442338,3.1242754322478876e-19,0.17245828864897053,0.4152809755442338,9.797901603497706e-07,3.927660543397344e-18,True,True
46,F2frequency_sma3nz_amean,0.2355640893745571,8.528482668011822e-07,0.05549044020286433,0.15690268713929273,0.0011423386314432318,0.024618453231530776,0.15690268713929273,4.690665467406502e-06,0.0031414312364688875,True,True
19,loudness_sma3_stddevFallingSlope,-0.23095328305725596,1.4085450039633982e-06,0.05333941895492499,-0.4121357310005511,6.133850685379338e-19,0.16985586076735865,0.4121357310005511,7.291291785222296e-06,5.997542892370908e-18,True,True
12,loudness_sma3_percentile200,-0.22688909242219218,2.1733372213531215e-06,0.051478660260166065,-0.3352691139356587,1.1220715846022888e-12,0.11240537875920172,0.3352691139356587,1.0490633869955781e-05,8.97657267681831e-12,True,True
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.22649794179735233,2.265023221922271e-06,0.0513013176384368,0.21473038264179262,7.587637812779267e-06,0.04610913722949067,0.21473038264179262,1.0490633869955781e-05,3.179581559640836e-05,True,True
34,HNRdBACF_sma3nz_amean,0.2203360203283606,4.301017520358763e-06,0.04854796185413974,0.1934418124185846,5.730854154273837e-05,0.037419734791786875,0.1934418124185846,1.892447708957856e-05,0.0002192674632939555,True,True
20,spectralFlux_sma3_amean,-0.21943680468736207,4.715790993849599e-06,0.04815251125139949,-0.4135551022659306,4.527925524081995e-19,0.17102782261018434,0.4135551022659306,1.9761409878988795e-05,4.980718076490194e-18,True,True
52,F3frequency_sma3nz_amean,0.2110080609804739,1.097119043895565e-05,0.04452440179873939,0.12496177393438214,0.009744200520367539,0.015615444944827627,0.12496177393438214,4.38847617558226e-05,0.023175395832225498,True,True
17,loudness_sma3_stddevRisingSlope,-0.20035445632619883,3.0413951131760566e-05,0.04014190816976672,-0.38335663190115266,2.1326422185185713e-16,0.14696230722259584,0.38335663190115266,0.00011550606988278893,1.8767251522963427e-15,True,True
55,F3bandwidth_sma3nz_stddevNorm,-0.1999772340744862,3.1501655422578795e-05,0.039990894148081844,-0.18785635422759817,9.410723686209388e-05,0.03529000982368484,0.18785635422759817,0.00011550606988278893,0.00032721497004134807,True,True
42,F1bandwidth_sma3nz_amean,0.19100757297101975,7.126106263306104e-05,0.03648389293227944,0.12156369209867157,0.011938539719035674,0.014777731236660626,0.12156369209867157,0.00025083894046837486,0.027647144612503668,True,True
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.18186674440390302,0.00015769207124387467,0.03307551272007459,0.18778697697333688,9.468037012834724e-05,0.03526394872078455,0.18778697697333688,0.0005337270103638835,0.00032721497004134807,True,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.17833080589718547,0.0002122650151659304,0.03180187633193964,0.1645390626417873,0.0006416778617642898,0.027073103135038006,0.1645390626417873,0.0006641801638896047,0.0018822550611752502,True,True
87,equivalentSoundLevel_dBp,-0.17833003631574793,0.00021227861653786597,0.031801601852375974,-0.2557559256431298,8.376488494830986e-08,0.06541109350157415,0.2557559256431298,0.0006641801638896047,3.8796367765532984e-07,True,True
36,logRelF0H1H2_sma3nz_amean,0.17796199550279238,0.00021887755400907426,0.03167047184333589,0.07121843663772177,0.14177627311466592,0.005072065717121191,0.07121843663772177,0.0006641801638896047,0.23540211385076606,True,False
0,F0semitoneFrom275Hz_sma3nz_amean,0.1614866994133948,0.0008105007513900905,0.026077954087432124,0.18754831698393906,9.667715023948921e-05,0.03517437120350809,0.18754831698393906,0.0023234036897161405,0.00032721497004134807,True,True
80,spectralFluxUV_sma3nz_amean,-0.16135763701890596,0.0008184717543318222,0.02603628702432501,-0.2690784939249675,1.6190843673060105e-08,0.07240323589292878,0.2690784939249675,0.0023234036897161405,8.381142607231113e-08,True,True
65,slopeV5001500_sma3nz_stddevNorm,-0.16032924478741784,0.0008846237474644967,0.02570546673410375,0.0039053906033052364,0.9358677095700959,1.5252075764384838e-05,0.0039053906033052364,0.002432715305527366,0.9576320749089353,True,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,0.15886717997788047,0.0009872010730443534,0.025238780874124265,0.1793210083247155,0.0001954242493974823,0.03215602402659269,0.1793210083247155,0.0026325361947849425,0.0006369382943325349,True,True
30,jitterLocal_sma3nz_amean,0.1581337474361068,0.001042692448756073,0.025006282078186417,0.17451518904406488,0.0002906991363285381,0.030455551207085704,0.17451518904406488,0.002698733396780424,0.0009136258570325483,True,True
75,mfcc4V_sma3nz_stddevNorm,0.14759375594857838,0.002230454184863776,0.021783916795008514,0.04650189329691766,0.33775222897758994,0.0021624260801979154,0.04650189329691766,0.00560799909337178,0.4644093148441862,True,False
48,F2bandwidth_sma3nz_amean,0.14340486649200188,0.0029780595047094907,0.020564955733588883,0.12502526098850916,0.009706860259772932,0.015631315885244832,0.12502526098850916,0.007279701011512088,0.023175395832225498,True,True
53,F3frequency_sma3nz_stddevNorm,0.14271597183216414,0.003120837621760303,0.02036784861599907,0.11150379597254682,0.02119186812483233,0.012433096516287349,0.11150379597254682,0.007422532722024504,0.04781754858936526,True,True
