,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,0.375206535687237,5.067608980231876e-25,0.14077994442241784,0.3960515654790298,6.226819756360589e-28,0.15685684251839024,0.3960515654790298,4.4594959026040506e-23,6.849501731996648e-27,True,True
70,mfcc2V_sma3nz_amean,0.3379961975584947,2.5087074790847796e-20,0.11424142956400098,0.33450332477425126,6.437540888363763e-20,0.11189247428502822,0.33450332477425126,1.103831290797303e-18,4.357719985969316e-19,True,True
24,mfcc2_sma3_amean,0.32055600303094645,2.462481103017413e-18,0.10275615107917614,0.3071043727206001,6.938750403377153e-17,0.09431309574411326,0.3071043727206001,7.223277902184412e-17,4.3615002535513536e-16,True,True
60,hammarbergIndexV_sma3nz_amean,0.31542975280682567,8.967192009703912e-18,0.09949592895577515,0.29428985669661123,1.4273989714621506e-15,0.08660651975451197,0.29428985669661123,1.9727822421348608e-16,8.374073965911284e-15,True,True
38,logRelF0H1A3_sma3nz_amean,0.2996862559514168,4.0689391085617586e-16,0.0898118520061781,0.2831740833657998,1.7430140656478463e-14,0.08018756149006094,0.2831740833657998,7.161332831068696e-15,9.586577361063154e-14,True,True
18,loudness_sma3_meanFallingSlope,-0.2768015898206966,6.96270514522111e-14,0.07661912012726516,-0.4645541896745498,4.415067725983312e-39,0.2158105951441776,0.4645541896745498,9.166739391858232e-13,3.885259598865315e-37,True,True
25,mfcc2_sma3_stddevNorm,-0.27658626812864273,7.291724516250866e-14,0.07649996371732945,-0.08432064603020646,0.02506001083813819,0.007109971346951373,0.08432064603020646,9.166739391858232e-13,0.04594335320325335,True,True
58,alphaRatioV_sma3nz_amean,-0.27407435997730245,1.2458163816945298e-13,0.07511675479696797,-0.2518387591875354,1.1260841355541536e-11,0.06342276062911745,0.2518387591875354,1.3703980198639828e-12,5.50530021826475e-11,True,True
66,spectralFluxV_sma3nz_amean,-0.26536739040201196,7.64446444588104e-13,0.07041985188877382,-0.3941659163473429,1.164747539217732e-27,0.1553667696099405,0.3941659163473429,7.474587458194794e-12,1.138864260568449e-26,True,True
14,loudness_sma3_percentile800,-0.2646147650132429,8.914915963723476e-13,0.07002097386301374,-0.43030786122291115,3.4522863434517244e-33,0.18516485543023617,0.43030786122291115,7.800422039412925e-12,1.0126706607458391e-31,True,True
15,loudness_sma3_pctlrange02,-0.26417506507663346,9.750527549266156e-13,0.06978846500824352,-0.4126636508301403,2.095485866265378e-30,0.17029128871645993,0.4126636508301403,7.800422039412925e-12,3.6880551246270654e-29,True,True
16,loudness_sma3_meanRisingSlope,-0.25875746987117176,2.9010917639582785e-12,0.06695542821413036,-0.4313142806119066,2.3677375963608994e-33,0.1860320086597665,0.4313142806119066,2.1274672935694043e-11,1.0126706607458391e-31,True,True
71,mfcc2V_sma3nz_stddevNorm,-0.2562028320425988,4.809394809438581e-12,0.06563989114664809,-0.028844320915682117,0.44414423754692683,0.0008319948490868568,0.028844320915682117,3.2555903325430394e-11,0.5504886324525291,True,False
