,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
54,F3bandwidth_sma3nz_amean,0.3538759875290611,1.4607420814226036e-27,0.12522821454966818,0.292212632625488,6.380150163984487e-19,0.08538822266591843,0.292212632625488,1.2854530316518912e-25,4.010380103075963e-18,True,True
70,mfcc2V_sma3nz_amean,0.3472183606198328,1.568061586273667e-26,0.12056058995152426,0.3153915975673228,6.169084029965434e-22,0.09947185981606811,0.3153915975673228,6.899470979604135e-25,4.523994955307986e-21,True,True
60,hammarbergIndexV_sma3nz_amean,0.3342269838331815,1.369253642893205e-24,0.11170767672222577,0.27415982264002303,9.29470966813571e-17,0.07516360835000889,0.27415982264002303,4.0164773524867354e-23,5.452896338639617e-16,True,True
24,mfcc2_sma3_amean,0.32967390720825,6.239819236158779e-24,0.10868488509395384,0.3045453484991399,1.7165956109687215e-20,0.09274786929246256,0.3045453484991399,1.3727602319549312e-22,1.162003182809596e-19,True,True
38,logRelF0H1A3_sma3nz_amean,0.31465476245462043,7.767105469830799e-22,0.09900761953537361,0.2640806862781553,1.2823821522225544e-15,0.06973860886514148,0.2640806862781553,1.3670105626902206e-20,7.053101837224049e-15,True,True
58,alphaRatioV_sma3nz_amean,-0.2908083659915579,9.52400930954721e-19,0.0845695057306799,-0.23651746132236562,9.6337885171673e-13,0.05594050951037672,0.23651746132236562,1.3968546987335908e-17,4.238866947553612e-12,True,True
74,mfcc4V_sma3nz_amean,0.2764302640325359,5.067792225292744e-17,0.07641369087309752,0.24190090223596186,2.8143414421166136e-13,0.05851604650257238,0.24190090223596186,6.370938797510878e-16,1.3034844574013788e-12,True,True
14,loudness_sma3_percentile800,-0.23774791525342923,7.29118835411256e-13,0.05652407120735176,-0.42582892549406315,2.226080161422988e-40,0.1813302737874284,0.42582892549406315,8.020307189523815e-12,9.794752710261146e-39,True,True
15,loudness_sma3_pctlrange02,-0.23018904185175892,3.939277085070209e-12,0.05298699498863082,-0.3910505169235075,8.707351508013432e-34,0.15292050678614244,0.3910505169235075,3.851737594290871e-11,1.2770782211753033e-32,True,True
18,loudness_sma3_meanFallingSlope,-0.2296542030242302,4.428834865548522e-12,0.052741052966694346,-0.4308899146528101,2.098775835618641e-41,0.185666118549506,0.4308899146528101,3.897374681682699e-11,1.846922735344404e-39,True,True
66,spectralFluxV_sma3nz_amean,-0.22857508041831104,5.604638368161434e-12,0.05224656738823736,-0.381019274659559,5.012738556385575e-32,0.14517568766209646,0.381019274659559,4.483710694529147e-11,6.301728470884723e-31,True,True
10,loudness_sma3_amean,-0.2272778758616787,7.426577907542229e-12,0.05165523285619663,-0.4186244917739304,5.993750709883934e-39,0.17524646511298153,0.4186244917739304,5.446157132197635e-11,1.7581668748992874e-37,True,True
48,F2bandwidth_sma3nz_amean,0.22425577507028954,1.4213211121942908e-11,0.0502906526523763,0.16328286007986573,1.013658063297214e-06,0.02666129239586101,0.16328286007986573,9.621250605622892e-11,4.054632253188856e-06,True,True
52,F3frequency_sma3nz_amean,0.22271692873606502,1.971023417221542e-11,0.049602830345625466,0.10494262995482528,0.0017498688193250292,0.011012955581835394,0.10494262995482528,1.2389290051106834e-10,0.003948421951297501,True,True
13,loudness_sma3_percentile500,-0.22024388485237498,3.316803927127503e-11,0.04850736881486621,-0.41210438642817687,1.1025145801029011e-37,0.16983002531334412,0.41210438642817687,1.945858303914802e-10,2.4255320762263825e-36,True,True
16,loudness_sma3_meanRisingSlope,-0.2182889018520799,4.983170586918783e-11,0.04765004467178697,-0.4029648999727844,5.8713774810272225e-36,0.16238071061007614,0.4029648999727844,2.7407438228053306e-10,1.0333624366607912e-34,True,True
46,F2frequency_sma3nz_amean,0.21540806081993677,9.015303051709753e-11,0.04640063266620558,0.13865494722916952,3.417399035253589e-05,0.019225194391123784,0.13865494722916952,4.666745109120343e-10,0.0001002437050341053,True,True
28,mfcc4_sma3_amean,0.21293533101316214,1.4897260055022176e-10,0.04534145519368493,0.19265826452964363,7.293107835846421e-09,0.03711720689157414,0.19265826452964363,7.283104915788619e-10,3.056159474068976e-08,True,True
19,loudness_sma3_stddevFallingSlope,-0.209511027749384,2.956710952345856e-10,0.04389487074860315,-0.3759471857739529,3.6899440529828174e-31,0.14133628649135507,0.3759471857739529,1.3694240200338703e-09,4.058938458281099e-30,True,True
20,spectralFlux_sma3_amean,-0.20404714743148028,8.617682822895812e-10,0.04163523837492425,-0.3578978587110013,3.3871224214121916e-28,0.12809087726991986,0.3578978587110013,3.791780442074158e-09,2.9806677308427288e-27,True,True
25,mfcc2_sma3_stddevNorm,-0.1971912766124492,3.16457071796912e-09,0.03888439957204746,-0.06520223805976545,0.05223206152382712,0.004251331848002327,0.06520223805976545,1.3261058246727741e-08,0.08357129843812339,True,False
36,logRelF0H1H2_sma3nz_amean,0.19357112629648823,6.174305226354143e-09,0.037469780935691,0.10434146583538521,0.001860326890502822,0.01088714149267686,0.10434146583538521,2.4697220905416573e-08,0.004092719159106208,True,True
17,loudness_sma3_stddevRisingSlope,-0.1894210659180438,1.307894222067573e-08,0.0358803402135279,-0.3589189853359869,2.329255342283218e-28,0.12882283803461436,0.3589189853359869,5.004117023562888e-08,2.277494112454702e-27,True,True
42,F1bandwidth_sma3nz_amean,0.18201731874999655,4.7893701978272165e-08,0.03313030432493785,0.10555542809276315,0.0016434974586000653,0.011141948399846491,0.10555542809276315,1.7561024058699795e-07,0.003805994114652783,True,True
87,equivalentSoundLevel_dBp,-0.1776688550668181,1.0017827908140057e-07,0.03156622206075401,-0.24811023087184245,6.556660012619109e-14,0.06155868666327896,0.24811023087184245,3.5262754236653e-07,3.3940357712381267e-13,True,True
12,loudness_sma3_percentile200,-0.16379899306457327,9.360172238547163e-07,0.02683011012896812,-0.3538828976872386,1.4571047677263893e-27,0.12523310527551657,0.3538828976872386,3.168058296123655e-06,1.1656838141811115e-26,True,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,0.16315947878825646,1.0331146027121166e-06,0.02662101551845551,0.12354651953146562,0.000225597226852034,0.015263742488338814,0.12354651953146562,3.367188334765417e-06,0.0006203923738430935,True,True
77,hammarbergIndexUV_sma3nz_amean,0.15914972688431922,1.9017633113171602e-06,0.0253286355673534,0.15425596328072425,3.925136157604642e-06,0.023794902207664146,0.15425596328072425,5.976970406996789e-06,1.381647927476834e-05,True,True
76,alphaRatioUV_sma3nz_amean,-0.15805111446968428,2.2420109739025142e-06,0.024980154785109246,-0.14448156982446544,1.5628043823949942e-05,0.020874924018941882,0.14448156982446544,6.803343644945561e-06,5.0935846537318325e-05,True,True
40,F1frequency_sma3nz_amean,0.15237389132940118,5.15631026818342e-06,0.02321780275886416,0.15083852208730045,6.426197596403712e-06,0.022752259745481025,0.15083852208730045,1.5125176786671368e-05,2.1750207249366408e-05,True,True
53,F3frequency_sma3nz_stddevNorm,0.150234557785114,7.003410274656195e-06,0.022570422352888756,0.13476309399755276,5.6659415910089755e-05,0.01816109150379324,0.13476309399755276,1.9880648521604683e-05,0.00016083963226089994,True,True
55,F3bandwidth_sma3nz_stddevNorm,-0.14982445428837113,7.4232187741243496e-06,0.02244736710280821,-0.13976506654580084,2.9510834073861248e-05,0.019534273826552137,0.13976506654580084,2.041385162884196e-05,9.274833566070678e-05,True,True
34,HNRdBACF_sma3nz_amean,0.149598032298148,7.665182963480594e-06,0.022379571267477732,0.13872420914151296,3.386371058685968e-05,0.019244406201938225,0.13872420914151296,2.0440487902614917e-05,0.0001002437050341053,True,True
71,mfcc2V_sma3nz_stddevNorm,-0.14278276455408526,1.9694635276029327e-05,0.020386917853707345,-0.025518440457652555,0.4478190656347061,0.0006511908033907587,0.025518440457652555,5.097435012619355e-05,0.5254410370113884,True,False
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,0.13461390817247046,5.775264819128832e-05,0.01812090427346631,0.04581154218867511,0.17282703118907008,0.0020986973977047594,0.04581154218867511,0.00014520665830952494,0.24437960935073808,True,False
65,slopeV5001500_sma3nz_stddevNorm,-0.13326735821434546,6.856388256993078e-05,0.01776018876543067,0.02057351230229997,0.5405825643343812,0.00042326940845288815,0.02057351230229997,0.00016760060183760857,0.5955629040288031,True,False
30,jitterLocal_sma3nz_amean,0.12751593536760047,0.00014012426643406683,0.016260313772674062,0.10252606193537428,0.0022338472805556713,0.010511593375976203,0.10252606193537428,0.0003332685255729157,0.004680441921164263,True,True
80,spectralFluxUV_sma3nz_amean,-0.12715449790835726,0.00014641834767037203,0.01616826633832643,-0.24434924578280104,1.5921985729084307e-13,0.05970655391462371,0.24434924578280104,0.0003390740682892826,7.784081911996771e-13,True,True
67,spectralFluxV_sma3nz_stddevNorm,0.1226097020711909,0.00025192192284056926,0.015033139041986195,0.11286157085428865,0.0007590007414805756,0.012737734175697617,0.11286157085428865,0.0005684392105120538,0.001855335145841407,True,True
0,F0semitoneFrom275Hz_sma3nz_amean,0.11810614310944079,0.0004236665598012595,0.013949061040187708,0.11903521142399492,0.0003811379117989425,0.014169381558755172,0.11903521142399492,0.0009320664315627709,0.0009864745952443217,True,True
37,logRelF0H1H2_sma3nz_stddevNorm,0.11640750624688662,0.0005130685408951866,0.013550707510618947,0.030303637467687425,0.3673470949993814,0.0009183104437730292,0.030303637467687425,0.001101220282896986,0.4522419881898785,True,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,0.11436318340036196,0.000643875747989168,0.013078937717464826,0.10371460808199295,0.001982286060079043,0.010756719929601399,0.10371460808199295,0.0013490729957868282,0.004254662763096483,True,True
