,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
38,logRelF0H1A3_sma3nz_amean,0.6857685604269615,1.4515238476336012e-06,0.4702785184700672,0.6780242713242498,2.112959367511185e-06,0.4597169125047799,0.6780242713242498,0.00012026334611721412,3.718808486819685e-05,True,True
47,F2frequency_sma3nz_stddevNorm,0.6725787218492528,2.733257866300321e-06,0.4523621370843746,0.7537318859213581,3.047555485160153e-08,0.5681117558545672,0.7537318859213581,0.00012026334611721412,2.6818488269409344e-06,True,True
60,hammarbergIndexV_sma3nz_amean,0.6592858376576559,5.013084102146271e-06,0.434657815735957,0.5841837918144027,9.44100459522928e-05,0.34127070261865344,0.5841837918144027,0.00014705046699629062,0.0006923403369834807,True,True
21,spectralFlux_sma3_stddevNorm,0.5862264974108164,8.799858066024377e-05,0.343661506266554,0.7033440006655528,5.926117689360138e-07,0.49469278327222516,0.7033440006655528,0.0019359687745253628,1.7383278555456407e-05,True,True
67,spectralFluxV_sma3nz_stddevNorm,0.5628351430581614,0.0001915949718002936,0.31678339826130103,0.6205851736807243,2.502254839669082e-05,0.38512595779233477,0.6205851736807243,0.0033720715036851673,0.00024466491765653243,True,True
52,F3frequency_sma3nz_amean,0.5452143430832537,0.00033169420888671115,0.29725867990370386,0.6552099794980352,6.002103902130856e-06,0.42930011723381567,0.6552099794980352,0.004864848397005097,7.545502048393077e-05,True,True
58,alphaRatioV_sma3nz_amean,-0.5363524202888557,0.00043222714748532,0.28767391874971326,-0.46140268444540683,0.0031114189693262273,0.21289243721342768,0.46140268444540683,0.005433712711244023,0.016106168782394587,True,True
40,F1frequency_sma3nz_amean,0.5045113255973559,0.0010562905471489695,0.25453167765600127,0.5997288756359376,5.4616943852784294e-05,0.3596747242715459,0.5997288756359376,0.011619196018638664,0.00043693555082227435,True,True
53,F3frequency_sma3nz_stddevNorm,0.47998646949192886,0.001986558968009571,0.23038701089532634,0.6941367558246814,9.549518700194371e-07,0.4818258357868133,0.6941367558246814,0.01942413213164914,2.1008941140427617e-05,True,True
12,loudness_sma3_percentile200,-0.4387682239365894,0.0052027678883622835,0.19251755433646905,-0.6011819502992597,5.181740725763436e-05,0.36141973736562155,0.6011819502992597,0.04513534574585967,0.00043693555082227435,True,True
41,F1frequency_sma3nz_stddevNorm,0.4350585818366087,0.005641918218232459,0.18927596962968118,0.5432080122452191,0.000352409327251691,0.2950749445674021,0.5432080122452191,0.04513534574585967,0.0020674680532099207,True,True
13,loudness_sma3_percentile500,-0.42733016079498265,0.006660732765409802,0.1826110663250657,-0.5579977751307352,0.00022343363364103917,0.3113615170508506,0.5579977751307352,0.04884537361300522,0.0014044399828865319,True,True
10,loudness_sma3_amean,-0.4130068204645022,0.00897193657952568,0.17057463375019757,-0.5310030079793383,0.0005053537519128419,0.2819641944831052,0.5310030079793383,0.0607331091537123,0.0027794456355206307,False,True
20,spectralFlux_sma3_amean,-0.40641190117564785,0.010248153385235423,0.16517063341720456,-0.4102713451562839,0.009483740305465565,0.16832257665634662,0.4102713451562839,0.06441696413576552,0.03725624199107275,False,True
54,F3bandwidth_sma3nz_amean,0.3985804345201333,0.011961877376471534,0.15886636278225827,0.7078463445423567,4.662191967171417e-07,0.5010464474819768,0.7078463445423567,0.0693080713480794,1.7383278555456407e-05,False,True
66,spectralFluxV_sma3nz_amean,-0.3959012485590362,0.012601467517832617,0.15673779861060375,-0.35791090326207475,0.025278578551746374,0.12810021467387422,0.35791090326207475,0.0693080713480794,0.07117981984205925,False,False
14,loudness_sma3_percentile800,-0.38786369067574505,0.014697019948261666,0.15043824254461005,-0.4308178823055359,0.006182858341368396,0.1856040477142266,0.4308178823055359,0.07468163322547418,0.028124747153022697,False,True
74,mfcc4V_sma3nz_amean,0.3845662310313178,0.01563814097969274,0.14789118604963292,0.3419779396708513,0.033098906220072194,0.11694891122152043,0.3419779396708513,0.07468163322547418,0.07468471147093213,False,False
84,StddevVoicedSegmentLengthSec,0.3829274765446048,0.01612444353731829,0.14663345229281885,0.43460002930515457,0.005698365733084797,0.18887718547204121,0.43460002930515457,0.07468163322547418,0.02785867691730345,False,True
43,F1bandwidth_sma3nz_stddevNorm,0.36797588719529367,0.02117943504253463,0.1354062535571635,0.29460058641375775,0.06867338451003561,0.08678950551532995,0.29460058641375775,0.08924252392468794,0.134294618597403,False,False
28,mfcc4_sma3_amean,0.36766675035362867,0.021296511391118714,0.13517883931559752,0.3529671800809396,0.02752115678418327,0.12458583021429043,0.3529671800809396,0.08924252392468794,0.07117981984205925,False,False
77,hammarbergIndexUV_sma3nz_amean,0.36023938210463696,0.0242760893558749,0.12977241241913062,0.42538744430780273,0.006940466205895659,0.18095447777472398,0.42538744430780273,0.0971043574234996,0.02908385838661038,False,True
76,alphaRatioUV_sma3nz_amean,-0.3413283646275433,0.033455685794906764,0.11650505249931314,-0.3464145671524882,0.030744678642988698,0.12000305233544575,0.3464145671524882,0.12746035138371953,0.07468471147093213,False,False
18,loudness_sma3_meanFallingSlope,-0.33644392934545897,0.03624068822768826,0.11319451759341219,-0.22231266958985282,0.17374611350544855,0.04942292306016707,0.22231266958985282,0.12746035138371953,0.2756915228883323,False,False
31,jitterLocal_sma3nz_stddevNorm,0.334692153909357,0.03728452256043865,0.11201883788848473,0.36920342276708695,0.02071983281560152,0.13631116738293234,0.36920342276708695,0.12746035138371953,0.0607781762590978,False,False
64,slopeV5001500_sma3nz_amean,0.33407388022602696,0.0376587401815535,0.11160535744927381,0.40896195633321675,0.009737426884030377,0.16724988172789187,0.40896195633321675,0.12746035138371953,0.03725624199107275,False,True
48,F2bandwidth_sma3nz_amean,0.327891143392726,0.04157203571197083,0.10751260191538921,0.3430689492243472,0.032506695963133186,0.11769630392189773,0.3430689492243472,0.13549404232049753,0.07468471147093213,False,False
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,0.3241815012927454,0.0440742577873748,0.1050936457804183,0.35358892637858397,0.02723038499723046,0.12502512885755968,0.35358892637858397,0.13851909590317796,0.07117981984205925,False,False
11,loudness_sma3_stddevNorm,0.30316019605952227,0.06064742295955878,0.09190610447484798,0.6483753549675476,8.069425823288948e-06,0.42039060092929337,0.6483753549675476,0.18403355932555768,8.876368405617842e-05,False,True
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,0.2979048697512165,0.06548138541226163,0.08874731142148927,0.2780354065332744,0.08656297380321544,0.07730368728612318,0.2780354065332744,0.19207873054263414,0.1655987324931078,False,False
46,F2frequency_sma3nz_amean,0.2889399013429301,0.07442529454385054,0.0834862665880622,0.5596331618229907,0.0002121740073083995,0.31318927581199774,0.5596331618229907,0.203706473684956,0.0014044399828865319,False,True
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.2886814128256827,0.07469668807016905,0.08333695811103226,0.1458564885612163,0.37562334889528104,0.021274115255408222,0.1458564885612163,0.203706473684956,0.5170594286135531,False,False
87,equivalentSoundLevel_dBp,-0.28708508029293983,0.0763899276318585,0.08241784332680371,-0.3974305080404679,0.01223293204113435,0.15795100872130444,0.3974305080404679,0.203706473684956,0.04485408415082595,False,True
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.2783262031124302,0.08622055404013819,0.07746547533898177,0.16603735944567788,0.3123990995451562,0.02756840473169324,0.16603735944567788,0.22315908104506355,0.4566006860311856,False,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.27276173996245934,0.09295725214254964,0.07439896678734828,-0.27084212908516747,0.09537288935289794,0.07335545888738652,0.27084212908516747,0.23372109110126768,0.17857051623521317,False,False
56,F3amplitudeLogRelF0_sma3nz_amean,-0.2624571785736245,0.10649329614727991,0.06888377058482742,-0.4292639430464379,0.00639198798932334,0.18426753279977548,0.4292639430464379,0.2603169461377953,0.028124747153022697,False,True
