,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
60,hammarbergIndexV_sma3nz_amean,0.7164176342144453,1.0298548005637464e-08,0.5132542266134227,0.5692664957888933,2.4181579268309414e-05,0.3240643432277661,0.5692664957888933,9.062722244960969e-07,0.0002840478376185393,True,True
38,logRelF0H1A3_sma3nz_amean,0.6845976119522357,8.060051956189578e-08,0.46867389029070383,0.5754395767402846,1.880732152931064e-05,0.33113070647903786,0.5754395767402846,3.5464228607234144e-06,0.00027584071576322274,True,True
58,alphaRatioV_sma3nz_amean,-0.6346418257063835,1.271685670825193e-06,0.40277024693593166,-0.49386182271457774,0.00036080850577918937,0.24389949993496501,0.49386182271457774,3.7302779677539e-05,0.0024423960391206662,True,True
47,F2frequency_sma3nz_stddevNorm,0.569737773389165,2.372620889903094e-05,0.3246011304264435,0.5435345448086282,6.542806624716652e-05,0.2954298014003226,0.5435345448086282,0.0005219765957786807,0.0005234245299773322,True,True
13,loudness_sma3_percentile500,-0.5069220817730933,0.00023617978035107184,0.25696999698916667,-0.6716396303365322,1.7338111642537341e-07,0.4510997930385936,0.6716396303365322,0.0041567641341788645,7.294096937272138e-06,True,True
10,loudness_sma3_amean,-0.4974695017573764,0.0003214962213077091,0.24747590517873233,-0.6529985360443172,4.89473095484203e-07,0.42640708807602146,0.6529985360443172,0.004634773641219883,1.0768408100652465e-05,True,True
54,F3bandwidth_sma3nz_amean,0.49318286663396993,0.00036867517600612705,0.24322933994130017,0.6156513284996026,3.2045926782874657e-06,0.37902655828332554,0.6156513284996026,0.004634773641219883,5.64008311378594e-05,True,True
12,loudness_sma3_percentile200,-0.4884016197655551,0.00042860769084468307,0.23853614218961783,-0.7055842647124054,2.1386059981707486e-08,0.4978491546097458,0.7055842647124054,0.004714684599291513,1.8819732783902588e-06,True,True
14,loudness_sma3_percentile800,-0.47510205951088363,0.0006442968456341159,0.22572196695148322,-0.566071774503352,2.7486595079378505e-05,0.3204372538893738,0.566071774503352,0.0056791774685792905,0.0002840478376185393,True,True
53,F3frequency_sma3nz_stddevNorm,0.47504710265032724,0.0006453610759749194,0.22566974973647055,0.5620171256611801,3.2278163365743105e-05,0.3158632495364547,0.5620171256611801,0.0056791774685792905,0.0002840478376185393,True,True
20,spectralFlux_sma3_amean,-0.4629565933278986,0.000921773140385145,0.2143288073057733,-0.45667321000273836,0.001103764152191147,0.20855042073420518,0.45667321000273836,0.00737418512308116,0.00693794609948721,True,True
21,spectralFlux_sma3_stddevNorm,0.4547680211049812,0.0011649613587139105,0.20681395301974065,0.5183204089799561,0.0001608638700615297,0.268656046365149,0.5183204089799561,0.00854304996390201,0.0011796683804512179,True,True
66,spectralFluxV_sma3nz_amean,-0.44899755074654946,0.0013692318637116556,0.20159880057640026,-0.39515043082481716,0.005442067016020197,0.1561438629810386,0.39515043082481716,0.009268646462048129,0.023626826277627966,True,True
84,StddevVoicedSegmentLengthSec,0.42436082232170524,0.0026467648756124057,0.18008210752155387,0.0014848805067433912,0.9920082231119722,2.2048701193065103e-06,0.0014848805067433912,0.016636807789563692,0.9920082231119722,True,False
52,F3frequency_sma3nz_amean,0.41833162255602624,0.003087434481389304,0.1750013464303576,0.186984964234714,0.20316705310648803,0.03496337684985727,0.186984964234714,0.01811294895748392,0.3654388576127729,True,False
67,spectralFluxV_sma3nz_stddevNorm,0.4108574895203431,0.0037225991304628172,0.16880387669495886,0.43408179458150864,0.002052568825709237,0.18842700438710305,0.43408179458150864,0.020474295217545496,0.012041737110827525,True,True
46,F2frequency_sma3nz_amean,0.39437043135339517,0.0055430968269866284,0.15552803712586297,0.346282768894571,0.015909162212544133,0.11991175603329086,0.346282768894571,0.02738265260004505,0.05254592413599752,True,False
87,equivalentSoundLevel_dBp,-0.3928316392578134,0.005747216945526708,0.15431669680198085,-0.412293485568582,0.003592338228787785,0.1699859182422905,0.412293485568582,0.02738265260004505,0.018595633184313242,True,True
40,F1frequency_sma3nz_amean,0.39162258832557056,0.005912163629555181,0.1533682516868193,0.35168281655581013,0.014239382047766735,0.1236808034606276,0.35168281655581013,0.02738265260004505,0.051776887147236224,True,False
77,hammarbergIndexUV_sma3nz_amean,0.3683283036352093,0.009999473637413898,0.13566573925879094,0.3936472887672492,0.005638219907161219,0.15495818795380606,0.3936472887672492,0.042464157495597746,0.023626826277627966,True,True
41,F1frequency_sma3nz_stddevNorm,0.367716353983496,0.01013349212963128,0.13521531698691575,0.4143553125064222,0.0034123186452731935,0.1716903250022948,0.4143553125064222,0.042464157495597746,0.018595633184313242,True,True
82,VoicedSegmentsPerSec,0.36008103066662167,0.011940085940419176,0.12965834864593653,0.40129644662470554,0.004700653851437599,0.16103883807361513,0.40129644662470554,0.046655931462130026,0.02177144941718467,True,True
74,mfcc4V_sma3nz_amean,0.3590881268761265,0.012194163904874893,0.12894428286340512,0.34278522940569733,0.0170771977128937,0.11750171349871655,0.34278522940569733,0.046655931462130026,0.05254592413599752,True,False
76,alphaRatioUV_sma3nz_amean,-0.3545616048052532,0.013411992690409075,0.12571393160207656,-0.3501106411126791,0.014709342939555746,0.12257746102033118,0.3501106411126791,0.04800896532320147,0.051776887147236224,True,False
11,loudness_sma3_stddevNorm,0.3537573114021467,0.013638910603182237,0.12514423537047542,0.5630727729730838,3.096187011507231e-05,0.3170509476635979,0.5630727729730838,0.04800896532320147,0.0002840478376185393,True,True
28,mfcc4_sma3_amean,0.33941357079690204,0.01827126287384187,0.11520157204110364,0.33960416551837835,0.018201928797969707,0.11533098923743412,0.33960416551837835,0.0618411974191571,0.053392324474044475,False,False
64,slopeV5001500_sma3nz_amean,0.3351269356734955,0.01989072997612149,0.11231006301390718,0.40826976698069034,0.003967841625669558,0.16668420263046718,0.40826976698069034,0.06482904584809966,0.01939833683660673,False,True
43,F1bandwidth_sma3nz_stddevNorm,0.3257842693788917,0.023843559728596656,0.10613539017473828,0.25616437940069015,0.07884422645370695,0.06562018927374072,0.25616437940069015,0.07493690200416092,0.16749945450709097,False,False
68,mfcc1V_sma3nz_amean,0.32364095181718844,0.02483779316719123,0.10474346569313568,0.1934675708034054,0.18765821370978764,0.037429700952570685,0.1934675708034054,0.07536985512802856,0.35136005971194284,False,False
86,StddevUnvoicedSegmentLength,0.3109667380934333,0.031452356314363085,0.09670031220046993,0.3450350699380711,0.01631779883007437,0.1190491994871696,0.3450350699380711,0.09226024518879838,0.05254592413599752,False,False
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,0.3083629445824833,0.032977917328437384,0.09508770559157967,0.27028474549023873,0.06317264899824124,0.07305384364472313,0.27028474549023873,0.09361473306137064,0.14629455557487445,False,False
83,MeanVoicedSegmentLengthSec,-0.3048678730869206,0.03512146990413972,0.09294442004054272,-0.6653092925941191,2.4866239558882285e-07,0.44263645481208713,0.6653092925941191,0.09658404223638421,7.294096937272138e-06,False,True
50,F2amplitudeLogRelF0_sma3nz_amean,-0.29885540770621005,0.03907743470926228,0.08931455471524503,-0.34209450898895266,0.017316270453908274,0.11702865308039262,0.34209450898895266,0.10251763056131376,0.05254592413599752,False,False
48,F2bandwidth_sma3nz_amean,0.29808601165841914,0.03960908453505304,0.0888552703464232,0.24877374874446045,0.08818628599806745,0.06188837806437194,0.24877374874446045,0.10251763056131376,0.1763725719961349,False,False
49,F2bandwidth_sma3nz_stddevNorm,0.29330476479000417,0.04304748249630892,0.08602768504851967,0.3272651863538347,0.02317627448500033,0.10710250219921016,0.3272651863538347,0.10823367027643387,0.06180339862666754,False,False
56,F3amplitudeLogRelF0_sma3nz_amean,-0.2913263178099705,0.0445398445819658,0.08487102344871593,-0.3606244999659347,0.011802946978768677,0.13005002997568044,0.3606244999659347,0.10887517564480527,0.045159101483984505,False,True
8,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,0.2866000278021121,0.04827622745486745,0.08213957593617141,0.31960899801256915,0.026802274294819482,0.10214991161059843,0.31960899801256915,0.11481913556833338,0.06937059229247396,False,False
