,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
78,slopeUV0500_sma3nz_amean,-0.2635042219530924,7.328348208288545e-05,0.06943447498710459,-0.2506360862161461,0.00016647062818942593,0.06281844771374741,0.2506360862161461,0.0064489464232939196,0.0029298830561338965,True,True
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.2008506698509946,0.002703750885494195,0.04034099157959323,0.014337356377176409,0.8321520284084004,0.00020555978788616103,0.014337356377176409,0.10309277053748231,0.9917491269095448,False,False
62,slopeV0500_sma3nz_amean,-0.1955454480905467,0.0035145262683232603,0.03823802226893269,-0.25988024563866213,9.273170734917308e-05,0.06753774207321137,0.25988024563866213,0.10309277053748231,0.0020400975616818077,False,True
26,mfcc3_sma3_amean,-0.17555146338640817,0.00891485479666966,0.03081831629710941,-0.09122497891556007,0.17660400658749265,0.008321996778144379,0.09122497891556007,0.1782144087149447,0.44403293084855294,False,False
13,loudness_sma3_percentile500,0.17063268514787924,0.011056314472534263,0.02911551324077529,0.12767590851467203,0.058087357516320236,0.016301137615046903,0.12767590851467203,0.1782144087149447,0.28398263674645446,False,False
74,mfcc4V_sma3nz_amean,0.16843632333905384,0.012150982412382593,0.028370795019978294,0.2988252367317239,6.157991365254974e-06,0.08929652210777082,0.2988252367317239,0.1782144087149447,0.00027095162007121883,False,True
28,mfcc4_sma3_amean,0.1629021393763129,0.015342307171177525,0.026537107013379673,0.2995339605210467,5.839112911372449e-06,0.08972059350542395,0.2995339605210467,0.178634838530105,0.00027095162007121883,False,True
64,slopeV5001500_sma3nz_amean,0.16152892460695067,0.01623953077546409,0.026091593484677954,0.1679438352943785,0.012409147686158412,0.028205131813385336,0.1679438352943785,0.178634838530105,0.0992731814892673,False,False
42,F1bandwidth_sma3nz_amean,-0.15831284333132756,0.018522001432638217,0.025062956363649466,-0.18325059980545838,0.006296259920258371,0.03358078232906026,0.18325059980545838,0.1811040140080181,0.06075161064271714,False,False
17,loudness_sma3_stddevRisingSlope,0.14985967051154864,0.025894789045308692,0.02245792084582992,0.1110263262026185,0.09971052039796087,0.012326845110050251,0.1110263262026185,0.18384673679531313,0.35098103180082224,False,False
10,loudness_sma3_amean,0.14861713173081215,0.027167278935793567,0.02208705184389357,0.10577359251593765,0.11689934973011631,0.011188052873727622,0.10577359251593765,0.18384673679531313,0.3654155558869003,False,False
46,F2frequency_sma3nz_amean,-0.1449001258321236,0.03129853395156062,0.020996046466165257,-0.27177429506525713,4.228276169646078e-05,0.07386126745821744,0.27177429506525713,0.18384673679531313,0.001240294343096183,False,True
33,shimmerLocaldB_sma3nz_stddevNorm,-0.14227152806092067,0.034533325969025086,0.020241187696789335,-0.2052199930945409,0.0021678701289668057,0.04211524556572341,0.2052199930945409,0.18384673679531313,0.027253224478439843,False,True
19,loudness_sma3_stddevFallingSlope,0.14194539653375207,0.034953783043167305,0.020148495597124113,0.11700903869608216,0.08264047347063652,0.013691115136581252,0.11700903869608216,0.18384673679531313,0.3030150693923339,False,False
14,loudness_sma3_percentile800,0.1401985824635751,0.03728041989764617,0.01965564252479587,0.09232437203694017,0.1714248148165516,0.008523789672015341,0.09232437203694017,0.18384673679531313,0.44403293084855294,False,False
80,spectralFluxUV_sma3nz_amean,0.1388639003575256,0.03914518115936377,0.0192831828225048,0.10161318988854279,0.13208699527086135,0.010325240359325054,0.10161318988854279,0.18384673679531313,0.38745518612785995,False,False
23,mfcc1_sma3_stddevNorm,0.1381289875326046,0.0402051394950463,0.019079617196782438,0.053754347632158736,0.4265208786967382,0.0028895298893589693,0.053754347632158736,0.18384673679531313,0.7506767465062592,False,False
16,loudness_sma3_meanRisingSlope,0.13790672666306164,0.0405304267144438,0.019018265258920395,0.10477310690560973,0.12042103546272849,0.010977403930654326,0.10477310690560973,0.18384673679531313,0.3654155558869003,False,False
18,loudness_sma3_meanFallingSlope,0.13706068340336913,0.041788985098710554,0.018785630934998587,0.10637064016330787,0.11483634321795587,0.011314713088751925,0.10637064016330787,0.18384673679531313,0.3654155558869003,False,False
54,F3bandwidth_sma3nz_amean,-0.13694396852463928,0.04196515994110668,0.018753650515277394,-0.11791359219672082,0.08027757467525427,0.013903615224734581,0.11791359219672082,0.18384673679531313,0.3030150693923339,False,False
27,mfcc3_sma3_stddevNorm,0.13523680400656676,0.044614188703910186,0.018288993157910553,-0.002145071824352373,0.9747049279519735,4.601333131630417e-06,0.002145071824352373,0.18384673679531313,0.9917491269095448,False,False
87,equivalentSoundLevel_dBp,0.13405625255376813,0.046526862117203055,0.017971078848759665,0.09158565033511769,0.17489228817960648,0.008387931347306444,0.09158565033511769,0.18384673679531313,0.44403293084855294,False,False
76,alphaRatioUV_sma3nz_amean,0.13314431285536696,0.04805085166241138,0.017727408045727835,0.035261138610120465,0.6020992635688422,0.0012433478960821283,0.035261138610120465,0.18384673679531313,0.9135299171389331,False,False
20,spectralFlux_sma3_amean,0.12891409655690453,0.055675105953363876,0.016618844291082905,0.07831592197811027,0.24628127256030172,0.006133383635281455,0.07831592197811027,0.19917354957927713,0.5286037069586964,False,False
15,loudness_sma3_pctlrange02,0.12844276948681843,0.0565833947668401,0.016497545033443976,0.08186181054888907,0.22547507322937677,0.006701356026342205,0.08186181054888907,0.19917354957927713,0.4960451611046289,False,False
67,spectralFluxV_sma3nz_stddevNorm,0.12294600129859859,0.06810884428091703,0.015115719235315007,0.13602110638736725,0.04338027225285311,0.01850174138284348,0.13602110638736725,0.2305222421815653,0.2385914973906921,False,False
38,logRelF0H1A3_sma3nz_amean,-0.12144825342896477,0.07156189199918866,0.014749678260946053,-0.14191856657735502,0.03498856532583119,0.02014087953937115,0.14191856657735502,0.23323875910846675,0.21992812490522462,False,False
52,F3frequency_sma3nz_amean,-0.11551589861199235,0.0866630860027574,0.013343922832136097,-0.23500384666404076,0.0004263013012460326,0.05522680794689598,0.23500384666404076,0.272369698865809,0.006252419084941812,False,True
