,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
42,F1bandwidth_sma3nz_amean,-0.2773316264514229,4.634289599318608e-07,0.07691283103019157,-0.04440202102974365,0.42861162024307276,0.0019715394715257976,0.04440202102974365,4.078174847400375e-05,0.7253427419498154,True,False
34,HNRdBACF_sma3nz_amean,-0.24751904117407034,7.4525169778325464e-06,0.061265675743731124,-0.24293737260366913,1.1087304158909861e-05,0.05901856700757397,0.24293737260366913,0.00032791074702463204,0.00019513655319681358,True,True
62,slopeV0500_sma3nz_amean,-0.2224471580370082,5.9675499140733845e-05,0.0494827381187417,-0.2617876545566792,2.0571449729362995e-06,0.06853277607828719,0.2617876545566792,0.001750481308128193,5.973557759980735e-05,True,True
63,slopeV0500_sma3nz_stddevNorm,-0.21482528498354914,0.00010742062779565721,0.0461499030682631,0.08114189319209517,0.14755577883196305,0.0065840068307973796,0.08114189319209517,0.0023632538115044587,0.34613335898628594,True,False
46,F2frequency_sma3nz_amean,-0.2081037778404552,0.0001773758251357149,0.043307182351469534,-0.030127996284178615,0.5912960443014187,0.0009076961600994805,0.030127996284178615,0.003121814522388582,0.8188132036891663,True,False
52,F3frequency_sma3nz_amean,-0.19369663703759674,0.0004931536389142726,0.03751838719967449,-0.0142334327233379,0.7997799877652918,0.00020259060708978618,0.0142334327233379,0.006597413959337127,0.8908941635866542,True,False
40,F1frequency_sma3nz_amean,-0.19278708371998285,0.0005247942922199987,0.037166859649255674,-0.055398634634902036,0.3232106081329035,0.0030690087194113675,0.055398634634902036,0.006597413959337127,0.5576967356018726,True,False
38,logRelF0H1A3_sma3nz_amean,-0.17893173859647676,0.0013077149136065604,0.032016567077157894,-0.12559520280238587,0.02465107692122706,0.015774154966972435,0.12559520280238587,0.013725404903346951,0.09038728204449922,True,False
0,F0semitoneFrom275Hz_sma3nz_amean,-0.17781436612689905,0.0014037345923877565,0.03161794880111091,-0.0756668945480968,0.17694861942992887,0.0057254789305528015,0.0756668945480968,0.013725404903346951,0.3892869627458435,True,False
2,F0semitoneFrom275Hz_sma3nz_percentile200,-0.17546055238980135,0.001627513257566808,0.030786405444934224,-0.11376924749152945,0.04197077138561116,0.01294344167478888,0.11376924749152945,0.014322116666587911,0.12735958213564766,True,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,-0.1725141508851674,0.00195355468279621,0.0297611322556303,-0.06564635250128073,0.24160452485902656,0.004309443596722407,0.06564635250128073,0.01562843746236968,0.4520783351899472,True,False
54,F3bandwidth_sma3nz_amean,-0.16654123368469145,0.0028042474195139034,0.027735982517219007,-0.02565331731478387,0.6475417225921347,0.00065809268925299,0.02565331731478387,0.020564481076435295,0.8302813478753703,True,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,-0.15720039673501462,0.004822953909046129,0.024711964733645998,-0.023220792604627595,0.6790085392969527,0.0005392052091871276,0.023220792604627595,0.0312456115943043,0.8302813478753703,True,False
78,slopeUV0500_sma3nz_amean,-0.156665402706362,0.00497089275363932,0.02454404840514658,-0.1732825601076986,0.0018632150531401493,0.030026845637478178,0.1732825601076986,0.0312456115943043,0.010247682792270821,True,True
81,loudnessPeaksPerSec,-0.1472791063665671,0.008322379694783215,0.021691135172134588,-0.0008958571660154877,0.9872640128848212,8.025600619013011e-07,0.0008958571660154877,0.04706584134887102,0.9998639713772027,True,False
21,spectralFlux_sma3_stddevNorm,-0.14675702665928614,0.008557425699794731,0.021537624873874422,-0.12721777991936634,0.0228405790415671,0.01618436352761233,0.12721777991936634,0.04706584134887102,0.08739004155034369,True,False
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.14252148558854968,0.010693199225561712,0.020312373854367176,0.23950161194632452,1.4859408285395967e-05,0.05736102212488782,0.23950161194632452,0.05483906099597129,0.00021793798818580754,False,True
29,mfcc4_sma3_stddevNorm,-0.1415981747828141,0.011217080658266855,0.020050043101824375,0.01481663686070514,0.7917603908180323,0.00021953272786200627,0.01481663686070514,0.05483906099597129,0.8908941635866542,False,False
48,F2bandwidth_sma3nz_amean,-0.13935771686560539,0.012583687235480203,0.019420573249994237,-0.03209388352466744,0.5673127951517234,0.00103001735969492,0.03209388352466744,0.058282340880118834,0.8184184585795353,False,False
15,loudness_sma3_pctlrange02,0.12840194926346815,0.021592920517744148,0.01648706057465825,0.19752296566134186,0.0003784757781903915,0.039015321963651636,0.19752296566134186,0.09500885027807425,0.0025619898831349577,False,True
17,loudness_sma3_stddevRisingSlope,0.12480195985750414,0.02558034380666073,0.015575529184274075,0.17894312410116245,0.00130676834493373,0.03202064166308403,0.17894312410116245,0.10719382166600687,0.007666374290277883,False,True
16,loudness_sma3_meanRisingSlope,0.12017810002748106,0.03161906921511277,0.014442775726215242,0.1721445912346069,0.0019984126555358138,0.0296337602913299,0.1721445912346069,0.12515258238167942,0.01034472433453833,False,True
83,MeanVoicedSegmentLengthSec,-0.11942460562496923,0.032710334031575306,0.014262236428679433,-0.07163290438900491,0.20123666124198067,0.005131272991204318,0.07163290438900491,0.12515258238167942,0.40202089558792486,False,False
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,0.11269457479308143,0.0439597500363025,0.012700067187793424,0.25878147055274753,2.7152535272639704e-06,0.06696784950144254,0.25878147055274753,0.16118575013310918,5.973557759980735e-05,False,True
