,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
63,slopeV0500_sma3nz_stddevNorm,-0.3431413474320869,2.8488199818929054e-10,0.11774598431750817,-0.008664000451360829,0.8773079596844762,7.506490382118064e-05,0.008664000451360829,2.5069615840657567e-08,0.9531246969411593,True,False
40,F1frequency_sma3nz_amean,-0.3093479111294689,1.5919443942035525e-08,0.0956961301201658,-0.08674625386766796,0.12147498671699375,0.007524912560073899,0.08674625386766796,7.004555334495631e-07,0.29693885641931805,True,False
46,F2frequency_sma3nz_amean,-0.29091127837919273,1.1666206217412257e-07,0.08462937188821616,-0.03991522383689763,0.4767653766492909,0.0015932250939496406,0.03991522383689763,2.735653133804754e-06,0.6908059887601841,True,False
52,F3frequency_sma3nz_amean,-0.2902987301742639,1.2434786971839792e-07,0.08427335274079006,-0.02271556535294781,0.6856168334222031,0.000515996909304043,0.02271556535294781,2.735653133804754e-06,0.8467435624864771,True,False
34,HNRdBACF_sma3nz_amean,-0.28286577302878885,2.664895987869956e-07,0.08001304555117429,-0.21000952063868406,0.00015411061547210882,0.044103998758889866,0.21000952063868406,4.6902169386511225e-06,0.004520578053848526,True,True
4,F0semitoneFrom275Hz_sma3nz_percentile800,-0.2659628984203673,1.3911212734612123e-06,0.07073626333616262,-0.05999409062023967,0.28463227362454435,0.00359929090934953,0.05999409062023967,2.0403112010764448e-05,0.5566142239768868,True,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,-0.26412478247888876,1.6539330436147747e-06,0.0697619007195203,-0.06141095012900651,0.27339066200058465,0.003771304795747325,0.06141095012900651,2.0792301119728595e-05,0.5467813240011693,True,False
0,F0semitoneFrom275Hz_sma3nz_amean,-0.2563564362519101,3.3882154872990378e-06,0.06571862240777966,-0.07791646026695212,0.1643855035139695,0.006070974780531528,0.07791646026695212,3.634525363162821e-05,0.390970927276468,True,False
42,F1bandwidth_sma3nz_amean,-0.2553344643712301,3.7171282123256124e-06,0.06519568869574296,-0.02422026860192789,0.6660080455372364,0.000586621411149534,0.02422026860192789,3.634525363162821e-05,0.8467435624864771,True,False
62,slopeV0500_sma3nz_amean,-0.22216806781989432,6.0995960054651705e-05,0.04935865035882516,-0.26986671366056275,9.59152430299953e-07,0.07282804314195217,0.26986671366056275,0.000536764448480935,8.440541386639587e-05,True,True
