,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
17,loudness_sma3_stddevRisingSlope,0.2166051847975411,0.0008518778429900143,0.046917806081176926,0.20033711132986498,0.002073924074519321,0.04013495817599472,0.20033711132986498,0.02468532073440954,0.03650106371154005,True,True
19,loudness_sma3_stddevFallingSlope,0.2141708103722197,0.0009773079607646035,0.045869136015493285,0.12722445868977597,0.05193846099689357,0.016186062888906512,0.12722445868977597,0.02468532073440954,0.16928090991580128,True,False
59,alphaRatioV_sma3nz_stddevNorm,-0.21380690176058295,0.0009974547363359627,0.04571339124045957,-0.15279994355200827,0.019354988466131217,0.023347822749496913,0.15279994355200827,0.02468532073440954,0.10292204839887209,True,False
16,loudness_sma3_meanRisingSlope,0.21058539253751693,0.001193195497075301,0.044346207550180095,0.17899769806535956,0.006038461367072954,0.03204017591269762,0.17899769806535956,0.02468532073440954,0.07591208575748856,True,False
76,alphaRatioUV_sma3nz_amean,0.20553492476825602,0.0015719583015668147,0.042244605299492664,0.12195511149739466,0.06252948437600615,0.014873049220341963,0.12195511149739466,0.02468532073440954,0.19652123661030504,True,False
18,loudness_sma3_meanFallingSlope,0.2042652462099323,0.0016830900500733777,0.04172429080920426,0.14567822786262757,0.02585277771810259,0.02122214607319564,0.14567822786262757,0.02468532073440954,0.10451102769627597,True,False
78,slopeUV0500_sma3nz_amean,-0.19633458065801498,0.0025556453270871833,0.038547267562158594,-0.23217507508664997,0.0003414398209945011,0.05390526549149156,0.23217507508664997,0.029909223407088983,0.030046704247516095,True,True
66,spectralFluxV_sma3nz_amean,0.19444724608615005,0.0028163210494902904,0.0378097315104878,0.11952322627932688,0.06798430269801552,0.014285801620219175,0.11952322627932688,0.029909223407088983,0.20629719439397812,True,False
14,loudness_sma3_percentile800,0.18914726788458971,0.0036823563229494583,0.035776688948204745,0.1614766418212026,0.013393098841990407,0.02607470585385296,0.1614766418212026,0.029909223407088983,0.09821605817459633,True,False
10,loudness_sma3_amean,0.18909171650532305,0.0036925864799423782,0.035755677250929464,0.173428950492726,0.007839038177815187,0.030077600869008406,0.173428950492726,0.029909223407088983,0.08451312234890013,True,False
48,F2bandwidth_sma3nz_amean,-0.18639700383648922,0.004220745911404591,0.03474384303922018,-0.09741594455920348,0.13734966809694035,0.009489866254361806,0.09741594455920348,0.029909223407088983,0.3453363083580215,True,False
87,equivalentSoundLevel_dBp,0.1862491806747118,0.004251597772010178,0.03468875730200144,0.1704942904418809,0.008968410088508414,0.029068303073280444,0.1704942904418809,0.029909223407088983,0.08451312234890013,True,False
15,loudness_sma3_pctlrange02,0.18546628284657227,0.004418408003319964,0.034397742072924745,0.1574294740148192,0.01593673329853021,0.02478403928858263,0.1574294740148192,0.029909223407088983,0.10017375216218989,True,False
20,spectralFlux_sma3_amean,0.17307267597729908,0.007969036502870501,0.02995415116994316,0.1454125026077278,0.026127756924068993,0.021144795914642446,0.1454125026077278,0.04838240333614255,0.10451102769627597,True,False
