,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
23,mfcc1_sma3_stddevNorm,0.2761922794680257,0.00030277093272984616,0.07628217523774401,0.06971357144400091,0.3706689272131247,0.004859982043477819,0.06971357144400091,0.020253149080347328,0.7193542078405756,True,False
86,StddevUnvoicedSegmentLength,-0.2680934723697745,0.0004602988427351666,0.07187410992728303,-0.15487656626433668,0.04566368275573906,0.02398675077783147,0.15487656626433668,0.020253149080347328,0.21149495171079144,True,False
58,alphaRatioV_sma3nz_amean,0.25625681265008304,0.0008297074149118711,0.06566755402957976,0.2804720884499186,0.00024137527268304167,0.07866459239945897,0.2804720884499186,0.02433808417074822,0.019018481777612183,True,True
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,-0.22325791690953384,0.003729777355799334,0.049844097462784315,-0.09093500370495257,0.2425100115347543,0.008269174898819738,0.09093500370495257,0.08205510182758535,0.5747312748720931,False,False
59,alphaRatioV_sma3nz_stddevNorm,-0.2128953239223189,0.0057397541805574446,0.045324418947989095,-0.1217679808474841,0.11697237961409265,0.014827441159673254,0.1217679808474841,0.08616803986202227,0.3812433113348205,False,False
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,-0.2123217089462214,0.005875093626956064,0.04508050808984396,-0.04452464374142299,0.567764462107496,0.0019824439003006374,0.04452464374142299,0.08616803986202227,0.7757998332988135,False,False
25,mfcc2_sma3_stddevNorm,-0.19529986505151448,0.011429735938114421,0.038142037289139764,-0.26932564262453335,0.0004322382222184587,0.07253630177511786,0.26932564262453335,0.1240160175754017,0.019018481777612183,False,True
84,StddevVoicedSegmentLengthSec,-0.19293981847993488,0.01248529594233377,0.03722577355507022,-0.146306500564541,0.059205950248637236,0.021405592107442035,0.146306500564541,0.1240160175754017,0.2481011248514322,False,False
22,mfcc1_sma3_amean,-0.1915589654287058,0.013141774561818953,0.0366948372361161,-0.06542899520513897,0.40086415618993426,0.004280953413554098,0.06542899520513897,0.1240160175754017,0.7199193009125351,False,False
78,slopeUV0500_sma3nz_amean,-0.1883278347212105,0.01479729723225938,0.03546737333077958,-0.1645350804494518,0.03360375402821653,0.02707179269850758,0.1645350804494518,0.1240160175754017,0.20516615310244485,False,False
34,HNRdBACF_sma3nz_amean,-0.1870475753842784,0.015502002196925213,0.034986795457137315,-0.19199194710756365,0.01293274680803391,0.036860907754153516,0.19199194710756365,0.1240160175754017,0.1338532556398999,False,False
