,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
63,slopeV0500_sma3nz_stddevNorm,-0.24062185799613067,1.351267963226511e-05,0.057898878545510075,-0.0063604452951462245,0.9097649699185238,4.0455264352547744e-05,0.0063604452951462245,0.0011891158076393297,0.9418743217980011,True,False
62,slopeV0500_sma3nz_amean,-0.23227596734287825,2.7124889639447308e-05,0.053952125005069844,-0.2728758224873178,7.172609360070124e-07,0.07446121449813017,0.2728758224873178,0.0011934951441356816,3.1559481184308545e-05,True,True
9,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,-0.19105732747402673,0.0005902223177175206,0.03650290238151749,-0.06513792463713998,0.2452772720721982,0.0042429492260337275,0.06513792463713998,0.009714339106365238,0.3981543814242065,True,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,0.19099303593380942,0.0005927939324896622,0.03647833977521342,0.02304395967257695,0.6813187262368073,0.0005310240773913527,0.02304395967257695,0.009714339106365238,0.7566378256345578,True,False
83,MeanVoicedSegmentLengthSec,-0.18976051895247026,0.0006441453104973322,0.03600905455311083,-0.04741061525314114,0.39796378884364914,0.0022477664386813794,0.04741061525314114,0.009714339106365238,0.5472002096600176,True,False
44,F1amplitudeLogRelF0_sma3nz_amean,-0.18720750710371253,0.0007638635205913547,0.03504665071598658,-0.07227498734346055,0.1972167315671091,0.005223673795497383,0.07227498734346055,0.009714339106365238,0.34710144755811195,True,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.18697310674447026,0.000775827935668678,0.03495894264567907,0.03398527672075474,0.544685391872611,0.0011549990337862742,0.03398527672075474,0.009714339106365238,0.6464993297282866,True,False
56,F3amplitudeLogRelF0_sma3nz_amean,-0.18500861729836027,0.0008831217369422944,0.03422818847465113,-0.06401999809453424,0.2534894759638356,0.004098560156024167,0.06401999809453424,0.009714339106365238,0.39834060508602737,True,False
78,slopeUV0500_sma3nz_amean,-0.1818494552586275,0.0010847181069118521,0.033069224377859564,-0.22205107342529973,6.155764542492796e-05,0.04930667920932785,0.22205107342529973,0.010040951741392221,0.0006771340996742075,True,True
50,F2amplitudeLogRelF0_sma3nz_amean,-0.18106411030663214,0.001141017243340025,0.03278421204113225,-0.06464889676448293,0.24884648839012907,0.004179479852864772,0.06464889676448293,0.010040951741392221,0.3981543814242065,True,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.178243172229316,0.0013661456200497679,0.0317706284463696,-0.0027569387982651315,0.9608199037672804,7.600711537379587e-06,0.0027569387982651315,0.010929164960398143,0.9608199037672804,True,False
27,mfcc3_sma3_stddevNorm,0.17195494817155485,0.002021795429381734,0.029568504200682116,0.22837855656438777,3.7234523102077045e-05,0.05215676509843326,0.22837855656438777,0.01482649981546605,0.00046809114756896856,True,True
73,mfcc3V_sma3nz_stddevNorm,-0.17010387562409962,0.00226350873937442,0.028935328502339153,-0.06670441506729197,0.2340852990369556,0.004449478989469568,0.06670441506729197,0.015322213004996074,0.3886699304764546,True,False
34,HNRdBACF_sma3nz_amean,-0.1624376003716092,0.0035708507318518274,0.026385974014486613,-0.12315902988627077,0.02760129320604031,0.015168146642527336,0.12315902988627077,0.022445347457354343,0.08674692150469812,True,False
22,mfcc1_sma3_amean,-0.15522481010165712,0.005389768349274882,0.024094741671095515,0.019195364991059116,0.7323020410354019,0.00036846203713997795,0.019195364991059116,0.03161997431574598,0.7955874026063625,True,False
28,mfcc4_sma3_amean,0.14060400624473612,0.011806410402387588,0.019769486572069794,0.18329493746478281,0.0009877289048627082,0.033597034100218644,0.18329493746478281,0.06172141539794987,0.0057946762418612215,False,True
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,-0.1404117903259969,0.011923455247331224,0.019715470862551716,-0.0100535627090926,0.8578243631872942,0.00010107412314565732,0.0100535627090926,0.06172141539794987,0.9077772199966978,False,False
