,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
13,loudness_sma3_percentile500,0.21754247740203003,0.0007088405003146674,0.04732472947421275,0.14857793239810468,0.0215797594175837,0.022075401995695767,0.14857793239810468,0.019513054395265385,0.22514447472446386,True,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.21607707846447252,0.0007716436436856283,0.046689303837741815,0.15005401064231022,0.020299159155785083,0.02251620610984255,0.15005401064231022,0.019513054395265385,0.22514447472446386,True,False
50,F2amplitudeLogRelF0_sma3nz_amean,0.21519961589001285,0.0008116664715831185,0.04631087467920907,0.1581787795218338,0.014365355083440485,0.025020526291016906,0.1581787795218338,0.019513054395265385,0.22514447472446386,True,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.2110944249220536,0.0010255968656193919,0.044560856233172526,-0.1534407130537589,0.01760734758370302,0.023544052422445973,0.1534407130537589,0.019513054395265385,0.22514447472446386,True,False
56,F3amplitudeLogRelF0_sma3nz_amean,0.20971014711661023,0.0011086962724582605,0.043978345803670306,0.14699925207194983,0.02302613946045653,0.021608780109712646,0.14699925207194983,0.019513054395265385,0.22514447472446386,True,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.204893407359556,0.0014484167193795714,0.04198130837940896,-0.16703045867776897,0.009684687219153084,0.02789917412610589,0.16703045867776897,0.02124344521756705,0.22514447472446386,True,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.19782512078319547,0.0021213753212685343,0.03913477841288588,-0.13812979106064535,0.03280339376781396,0.01907983917845754,0.13812979106064535,0.02666871832451872,0.24774563287654836,True,False
61,hammarbergIndexV_sma3nz_stddevNorm,-0.1771346230430072,0.006035900405909847,0.03137667468058826,-0.1511775762563103,0.019369049883470008,0.022854659562732513,0.1511775762563103,0.06596758261838535,0.22514447472446386,False,False
86,StddevUnvoicedSegmentLength,-0.1731525084000061,0.007293536691396066,0.02998179116521418,-0.08255109183485543,0.20348340033134438,0.006814682763126734,0.08255109183485543,0.06596758261838535,0.5639477752418786,False,False
85,MeanUnvoicedSegmentLength,-0.17256878160822153,0.007496316206634699,0.02977998438574606,-0.10039498251862,0.12165967150948748,0.010079152514914015,0.10039498251862,0.06596758261838535,0.5154297448478184,False,False
