,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
78,slopeUV0500_sma3nz_amean,-0.28772717266631537,1.6969047975036666e-07,0.08278692589055166,-0.2961063900276812,7.077138041882535e-08,0.08767899421522525,0.2961063900276812,1.4932762218032266e-05,6.217861915641165e-06,True,True
40,F1frequency_sma3nz_amean,-0.25700067489188966,3.3112317344912866e-06,0.06604934689488676,-0.0706648613953462,0.20812630511399677,0.004993522636023489,0.0706648613953462,0.0001456941963176166,0.43817564913208673,True,False
21,spectralFlux_sma3_stddevNorm,-0.23710858408477217,1.873542804994976e-05,0.05622048064668547,-0.17937464166981382,0.0012940757712549646,0.03217526207417411,0.17937464166981382,0.00045696817661384934,0.007117416741902305,True,True
77,hammarbergIndexUV_sma3nz_amean,0.23586954830197646,2.077128075517497e-05,0.0556344438161784,0.23940954577525986,1.5446383383888432e-05,0.05731693060831625,0.23940954577525986,0.00045696817661384934,0.00015103130419802022,True,True
76,alphaRatioUV_sma3nz_amean,-0.21485117787130129,0.00010992904668670636,0.04616102863268554,-0.22925898621963164,3.567956978527972e-05,0.05255968276245325,0.22925898621963164,0.0019347512216860321,0.0003139802141104615,True,True
46,F2frequency_sma3nz_amean,-0.20712028087939552,0.0001951301968658974,0.04289881075155969,-0.007615472013549561,0.8922286605573044,5.79954139891566e-05,0.007615472013549561,0.002861909554033162,0.9626612783696744,True,False
81,loudnessPeaksPerSec,0.19032916290597673,0.0006323786075315492,0.03622519025248983,0.1721021062070965,0.002036724106141269,0.02961913496091873,0.1721021062070965,0.006813266367587776,0.0105430424317901,True,True
42,F1bandwidth_sma3nz_amean,-0.18958198437960966,0.000664873993057523,0.03594132880131056,0.014816115895854309,0.7920881908052757,0.00021951729023938672,0.014816115895854309,0.006813266367587776,0.917154747248214,True,False
34,HNRdBACF_sma3nz_amean,-0.18887986664900064,0.0006968113330487499,0.03567560402534426,-0.2134137159303332,0.00012249877978767477,0.04554541414719296,0.2134137159303332,0.006813266367587776,0.000898324385109615,True,True
63,slopeV0500_sma3nz_stddevNorm,-0.18207245795748478,0.0010888676565276275,0.03315037994668006,-0.0031972725617645916,0.9546399190706428,1.0222551834212714e-05,0.0031972725617645916,0.009582035377443123,0.9754726663884131,True,False
31,jitterLocal_sma3nz_stddevNorm,0.17692782228117154,0.001510320248755921,0.03130345429715782,0.21346205541720412,0.00012205502310067053,0.045566049102937524,0.21346205541720412,0.012082561990047367,0.000898324385109615,True,True
62,slopeV0500_sma3nz_amean,-0.16976194430691516,0.002348133016661249,0.028819117734864164,-0.2582223800560406,2.9626701180048834e-06,0.06667879756180627,0.2582223800560406,0.016542989078181174,5.214299407688595e-05,True,True
6,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,0.16909948173569248,0.0024438506592767647,0.028594634723279794,0.18967543131988407,0.0006607270175690421,0.03597676924638406,0.18967543131988407,0.016542989078181174,0.0041531412532911215,True,True
52,F3frequency_sma3nz_amean,-0.15790585118914793,0.004699012815146982,0.024934257839769332,0.029811048811521624,0.5957860138389814,0.0008886986312429248,0.029811048811521624,0.029536651980923888,0.7710171943798584,True,False
25,mfcc2_sma3_stddevNorm,-0.15554765853870572,0.005365495220004421,0.024195074076873792,-0.26523138935043683,1.5481601699196246e-06,0.07034768989676302,0.26523138935043683,0.03147757195735927,4.541269831764232e-05,True,True
32,shimmerLocaldB_sma3nz_amean,0.14235932938699408,0.01090852288220438,0.020266178663514677,0.19011829470735594,0.0006413972487237623,0.036144965982433046,0.19011829470735594,0.059996875852124085,0.0041531412532911215,False,True
28,mfcc4_sma3_amean,0.13979653434313846,0.012442870416676372,0.019543071014352292,0.18811378028783912,0.0007332733541797806,0.03538679433418141,0.18811378028783912,0.06441015274514827,0.0043018703445213795,False,True
80,spectralFluxUV_sma3nz_amean,0.13670256020827465,0.014546265958758216,0.018687589967496955,0.15863605873028078,0.004508319284025486,0.02516539912947709,0.15863605873028078,0.0683314102173747,0.022040672055235706,False,True
67,spectralFluxV_sma3nz_stddevNorm,-0.13641960249617796,0.014753372660569536,0.018610307945215204,-0.11234698180615464,0.04495703316901481,0.012621844320952442,0.11234698180615464,0.0683314102173747,0.1471199801601929,False,False
85,MeanUnvoicedSegmentLength,-0.13217968012236542,0.018181087417743866,0.017471467837250843,-0.08849009011839877,0.114709256647608,0.007830496049162335,0.08849009011839877,0.07576965244264985,0.2884118452854144,False,False
1,F0semitoneFrom275Hz_sma3nz_stddevNorm,0.13150514918610332,0.018786016305424324,0.01729360426245929,0.2415027785946234,1.2936959283774221e-05,0.058323592068923694,0.2415027785946234,0.07576965244264985,0.00014230655212151642,False,True
86,StddevUnvoicedSegmentLength,-0.13133383765109333,0.018942413110662464,0.01724857691216374,-0.11225231949521622,0.04513908482187737,0.012600583232056099,0.11225231949521622,0.07576965244264985,0.1471199801601929,False,False
53,F3frequency_sma3nz_stddevNorm,-0.13040719798444855,0.019808168301035822,0.017006037286155164,-0.010037509250596877,0.8582703378379448,0.00010075159195581787,0.010037509250596877,0.07578777436918054,0.9451201456865755,False,False
20,spectralFlux_sma3_amean,0.1275882404293973,0.022656626100897474,0.016278759095869687,0.1560537154307247,0.0052157035518717075,0.0243527620997336,0.1560537154307247,0.08307429570329074,0.023983751210872456,False,True
37,logRelF0H1H2_sma3nz_stddevNorm,0.12422181331886166,0.02651648634098731,0.015431058904226117,0.022502442032702106,0.6888770547178338,0.0005063598974351185,0.022502442032702106,0.09333803192027533,0.8660168687881339,False,False
82,VoicedSegmentsPerSec,0.11810208865612959,0.03498995504783401,0.013948103344940293,0.24497428420258016,9.607451588121677e-06,0.06001239992056651,0.24497428420258016,0.11842754016189973,0.00012077939139352966,False,True
71,mfcc2V_sma3nz_stddevNorm,-0.11680795437732673,0.037050233555515955,0.013644098205815643,-0.0028470192685479973,0.9596045158594189,8.105518715483574e-06,0.0028470192685479973,0.12075631677353348,0.9754726663884131,False,False
44,F1amplitudeLogRelF0_sma3nz_amean,0.11344476038914421,0.042890457294253954,0.012869713659750343,0.06045357945464252,0.2817118758380311,0.003654635268878776,0.06045357945464252,0.1327974391154697,0.49789010081812846,False,False
45,F1amplitudeLogRelF0_sma3nz_stddevNorm,-0.11297606389509098,0.04376279243577979,0.012763591013227679,-0.05208977129937078,0.3537549147969069,0.0027133442740207517,0.05208977129937078,0.1327974391154697,0.5380880057248002,False,False
7,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,0.11078817431131271,0.04803457167157812,0.01227401956723381,0.10678884813022448,0.05674446388333063,0.011403858084980147,0.10678884813022448,0.13985732620835642,0.1664504273911032,False,False
15,loudness_sma3_pctlrange02,0.1101868607344039,0.0492679217324892,0.01214114427850292,0.0671869125445754,0.2314474823175339,0.004514081217272424,0.0671869125445754,0.13985732620835642,0.44276909660745617,False,False
36,logRelF0H1H2_sma3nz_amean,0.10836845105086207,0.0531595683538862,0.011743721183163087,0.1072806453595584,0.05560747190777244,0.01150913686876334,0.1072806453595584,0.14618881297318706,0.1664504273911032,False,False
54,F3bandwidth_sma3nz_amean,-0.10696662581686822,0.056331255310890276,0.0114418590386459,0.015808634088353816,0.7785106664862544,0.0002499129117394623,0.015808634088353816,0.15021668082904074,0.9134525153438718,False,False
66,spectralFluxV_sma3nz_amean,0.10608040380675177,0.05841611086528652,0.011253052071803514,0.1407782773447776,0.01183395885152365,0.019818523372163124,0.1407782773447776,0.15119463988662393,0.0473358354060946,False,True
24,mfcc2_sma3_amean,0.10534177288287007,0.060202127918038875,0.01109688911410618,0.05976350518674845,0.287250975062073,0.003571676552206509,0.05976350518674845,0.15136535019392633,0.49789010081812846,False,False
58,alphaRatioV_sma3nz_amean,-0.104368215467123,0.0626247953063649,0.010892724399791812,-0.11629451682790876,0.03789565579011225,0.013524414644236753,0.11629451682790876,0.1530828329711142,0.1333927083811951,False,False
56,F3amplitudeLogRelF0_sma3nz_amean,0.10169842531112362,0.0696827605747583,0.01034256971076219,0.05760411993694848,0.3050539660208382,0.0033182346337103453,0.05760411993694848,0.16573197109672244,0.5065046982987501,False,False
50,F2amplitudeLogRelF0_sma3nz_amean,0.10041711143833809,0.07329395882409806,0.010083596269619612,0.060603832888694434,0.28051544493952235,0.003672824560800801,0.060603832888694434,0.16973337832949023,0.49789010081812846,False,False
87,equivalentSoundLevel_dBp,0.09582420563615178,0.0875082923033078,0.009182278385799502,0.12085117882853201,0.030934611202859126,0.014605007424245824,0.12085117882853201,0.19260492704354518,0.11342690774381681,False,False
16,loudness_sma3_meanRisingSlope,0.09581233996353485,0.08754769411070235,0.009180004489287977,0.06974714023448367,0.21410855582590602,0.00486466357088873,0.06974714023448367,0.19260492704354518,0.43817564913208673,False,False
70,mfcc2V_sma3nz_amean,0.09322332478257896,0.09649132975681383,0.0086905882835182,0.04303249140428851,0.4437223589040964,0.0018517953164601645,0.04303249140428851,0.2049202996395936,0.6198026600565155,False,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,-0.09251786981427496,0.0990504115658589,0.008559556234971129,-0.05378517144430265,0.33828663724789665,0.0028928446672930293,0.05378517144430265,0.2049202996395936,0.5380880057248002,False,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.09222419289711502,0.10013151005116505,0.00850530175552428,-0.04795698602059908,0.3932889499012622,0.0022998725081799353,0.04795698602059908,0.2049202996395936,0.567367665431329,False,False
13,loudness_sma3_percentile500,0.08814618844732654,0.11613136793031062,0.007769750537791603,0.08020855518334678,0.15293221771718482,0.006433412324599986,0.08020855518334678,0.23226273586062124,0.3415539710830051,False,False
