,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
78,slopeUV0500_sma3nz_amean,-0.16737746690414293,1.7757263411644522e-08,0.028015216427247462,-0.17516647340834396,3.6640370545302056e-09,0.03068329340631607,0.17516647340834396,9.760262765940302e-07,1.6121763039932904e-07,True,True
17,loudness_sma3_stddevRisingSlope,0.16427517700722477,3.263302564880079e-08,0.02698633378075503,0.12397310557121519,3.203472476445158e-05,0.015369330904971666,0.12397310557121519,9.760262765940302e-07,0.00031322841991908207,True,True
16,loudness_sma3_meanRisingSlope,0.16417510549911118,3.3273623065705576e-08,0.026953465265644287,0.11221167500985155,0.0001690097972215628,0.012591460008516542,0.11221167500985155,9.760262765940302e-07,0.000874874244441031,True,True
62,slopeV0500_sma3nz_amean,-0.16045670581479582,6.79481353046419e-08,0.02574635444093593,-0.20072621259762347,1.2341248028775765e-11,0.04029101242378633,0.20072621259762347,1.4948589767021218e-06,1.0860298265322673e-09,True,True
18,loudness_sma3_meanFallingSlope,0.15844756707495677,9.926183732586409e-08,0.025105631511972926,0.09012924253522284,0.002546770644973281,0.008123280359973022,0.09012924253522284,1.7470083369352081e-06,0.009338159031568698,True,True
14,loudness_sma3_percentile800,0.1492118764605942,5.334628361743899e-07,0.022264184076891624,0.10103957481477434,0.0007122783253921654,0.01020899567875038,0.10103957481477434,6.225367967564321e-06,0.003134024631725528,True,True
10,loudness_sma3_amean,0.1489272289977529,5.609563086259187e-07,0.022179319536949134,0.11523795521928035,0.00011179834095297849,0.013279786323120862,0.11523795521928035,6.225367967564321e-06,0.0006299049124285789,True,True
19,loudness_sma3_stddevFallingSlope,0.14858118127236167,5.962203789193121e-07,0.0220763674282904,0.09173747762251498,0.0021277090885273354,0.008415764800541438,0.09173747762251498,6.225367967564321e-06,0.008140799990887196,True,True
15,loudness_sma3_pctlrange02,0.14820758586035762,6.366853603190784e-07,0.021965488506555275,0.08690272564567404,0.003622632407561579,0.007552083724647293,0.08690272564567404,6.225367967564321e-06,0.012751666074616757,True,True
20,spectralFlux_sma3_amean,0.1405698941237517,2.353015386701635e-06,0.019759895133962764,0.0798217353148437,0.007552823553670185,0.006371509428672965,0.0798217353148437,2.0706535402974388e-05,0.022918912852516425,True,True
87,equivalentSoundLevel_dBp,0.13716904623059595,4.121491992547493e-06,0.01881534724381137,0.10483531779189031,0.0004436481883732493,0.010990443856526633,0.10483531779189031,3.2971935940379947e-05,0.002054791609307681,True,True
66,spectralFluxV_sma3nz_amean,0.13151043471645352,1.0172196939680218e-05,0.017294994439310582,0.029702777709696176,0.32085142747222123,0.0008822550036716241,0.029702777709696176,7.459611089098827e-05,0.5041951003134905,True,False
76,alphaRatioUV_sma3nz_amean,0.12742203917416203,1.9102892838461487e-05,0.016236376067301685,0.07162771927018001,0.016554649138387383,0.005130530167847717,0.07162771927018001,0.0001293118899834316,0.0455252851305653,True,True
80,spectralFluxUV_sma3nz_amean,0.1206666124123299,5.193199390793395e-05,0.014560431351067448,0.07658574309469922,0.010383001412709435,0.005865376045367269,0.07658574309469922,0.0003264296759927277,0.029474326590917106,True,True
13,loudness_sma3_percentile500,0.11590593315796256,0.00010191252510430797,0.013434185341218085,0.12275246841546268,3.8343781996975036e-05,0.015068168502089163,0.12275246841546268,0.0005920196233397713,0.0003374252815733803,True,True
59,alphaRatioV_sma3nz_stddevNorm,-0.11551187127652528,0.00010763993151632206,0.013342992405804546,-0.028269406713225087,0.344768770147974,0.0007991593559177356,0.028269406713225087,0.0005920196233397713,0.5190142340650259,True,False
63,slopeV0500_sma3nz_stddevNorm,0.11400769642624399,0.00013241199008642547,0.012997754844418606,-0.008576914296264742,0.7744225269618635,7.35634588454705e-05,0.008576914296264742,0.0006854267722120848,0.86068369700431,True,False
28,mfcc4_sma3_amean,0.11111378246126061,0.00019585666054867782,0.012346272652848345,0.14947394928752009,5.093005589304943e-07,0.022342461515608127,0.14947394928752009,0.0009575214515713138,1.4939483061961168e-05,True,True
42,F1bandwidth_sma3nz_amean,-0.10903944163122299,0.0002578318181480437,0.011889599831248886,-0.05577358340505977,0.062170990845230686,0.003110692605841159,0.05577358340505977,0.0011941684208962024,0.13677617985950752,True,False
36,logRelF0H1H2_sma3nz_amean,-0.10784483100871985,0.0003014161686358147,0.011630507575299341,-0.07918902187324796,0.008044645123834829,0.0062709011852417436,0.07918902187324796,0.001326231141997585,0.023597625696582167,True,True
54,F3bandwidth_sma3nz_amean,-0.10372807038458945,0.0005101766639565978,0.010759512585710342,-0.06735626236517377,0.024246156440118502,0.004536866079806124,0.06735626236517377,0.0021378831632466954,0.06465641717364934,True,False
23,mfcc1_sma3_stddevNorm,0.10287659105277905,0.0005675325105993324,0.010583592986640739,0.03701148615043662,0.216039461838964,0.0013698501070639616,0.03701148615043662,0.0022701300423973295,0.3960723467047674,True,False
46,F2frequency_sma3nz_amean,-0.10039737989143292,0.0007704850421982586,0.0100796338890647,-0.14420437387222296,1.2738363189337857e-06,0.020794901443879858,0.14420437387222296,0.002947942770149859,2.8024399016543285e-05,True,True
77,hammarbergIndexUV_sma3nz_amean,-0.09753195587267163,0.0010879716686751032,0.009512482416348767,-0.03162511189155732,0.2905170169095124,0.00100014770215352,0.03162511189155732,0.003989229451808712,0.4648272270552199,True,False
5,F0semitoneFrom275Hz_sma3nz_pctlrange02,-0.09509916384461098,0.001448187126710224,0.009043850963944163,-0.053384109534236654,0.07425266432548035,0.002849863150763377,0.053384109534236654,0.005097618686019988,0.1555770109676731,True,False
52,F3frequency_sma3nz_amean,-0.0924052599492497,0.0019730572103553615,0.00853873206628841,-0.1335868624485469,7.332838576387257e-06,0.01784544981884699,0.1335868624485469,0.006485474159327651,0.00012905795894441573,True,True
55,F3bandwidth_sma3nz_stddevNorm,0.0923304212536778,0.001989861389793711,0.008524906688881596,-0.008829454626766084,0.767968082027153,7.795926900612101e-05,0.008829454626766084,0.006485474159327651,0.86068369700431,True,False
