,Feature,Spearman Correlation,Spearman P-Value,Spearman R-Squared,Pearson Correlation,Pearson P-Value,Pearson R-Squared,Effect Size,Spearman P-Value fdr_bh,Pearson P-Value fdr_bh,Spearman Significant,Pearson Significant
63,slopeV0500_sma3nz_stddevNorm,-0.25998046429035465,4.1001157282366724e-26,0.06758984181262837,-0.00508824496792206,0.8388940004557758,2.5890236853584164e-05,0.00508824496792206,3.6081018408482714e-24,0.8759520489911937,True,False
62,slopeV0500_sma3nz_amean,-0.2239375934867932,1.2686583615728333e-19,0.05014804577665625,-0.2715796402271793,1.9651732874956528e-28,0.07375550098592414,0.2715796402271793,5.582096790920466e-18,1.7293524929961744e-26,True,True
34,HNRdBACF_sma3nz_amean,-0.21386007707302826,5.3688083548193794e-18,0.04573613256568159,-0.18765217380323587,3.8735075630626134e-14,0.035213338333079845,0.18765217380323587,1.574850450747018e-16,4.869552364992999e-13,True,True
42,F1bandwidth_sma3nz_amean,-0.1945967522139181,4.143340378821117e-15,0.03786789597220504,0.011741107660356952,0.6389648997750611,0.0001378536090920927,0.011741107660356952,7.544970704707388e-14,0.7398540944763865,True,False
78,slopeUV0500_sma3nz_amean,-0.19449286100279714,4.286915173129198e-15,0.03782747298105337,-0.1955409712494307,3.0374738052834217e-15,0.038236271437170684,0.1955409712494307,7.544970704707388e-14,6.80225159674754e-14,True,True
46,F2frequency_sma3nz_amean,-0.1656888785912472,2.6210107974997623e-11,0.027452804488825054,0.01110967891595298,0.6571043633727444,0.00012342496561557019,0.01110967891595298,3.8441491696663183e-10,0.7407812344198943,True,False
40,F1frequency_sma3nz_amean,-0.16377533972952865,4.44661572543284e-11,0.026822361903522527,-0.009578358307939695,0.7019245375818193,9.174494787527738e-05,0.009578358307939695,5.590031197686999e-10,0.7532848696000012,True,False
21,spectralFlux_sma3_stddevNorm,-0.15616720091185674,3.420533239542027e-10,0.024388194640644227,-0.11116182176930119,8.37285284393682e-06,0.012356950619069882,0.11116182176930119,3.762586563496229e-09,2.8338886548709233e-05,True,True
52,F3frequency_sma3nz_amean,-0.15065076984369136,1.4127652374731505e-09,0.022695654454496866,0.02274147539109173,0.3634656970190922,0.0005171747029636307,0.02274147539109173,1.3813704544181916e-08,0.45692830482400165,True,False
0,F0semitoneFrom275Hz_sma3nz_amean,-0.1456409569844936,4.90147601413665e-09,0.02121128835135912,-0.027616515301695527,0.26973967864730947,0.0007626719174087832,0.027616515301695527,4.313298892440252e-08,0.35428495105915275,True,False
2,F0semitoneFrom275Hz_sma3nz_percentile200,-0.129401144911244,2.0779534522238836e-07,0.016744656304340768,-0.05341460021065083,0.03269811301762258,0.0028531195156636597,0.05341460021065083,1.662362761779107e-06,0.059946540532308065,True,False
4,F0semitoneFrom275Hz_sma3nz_percentile800,-0.12762899384831272,3.0468402554849575e-07,0.016289160070732646,0.00152493726709535,0.9514143400086276,2.3254336685762348e-06,0.00152493726709535,2.234349520688969e-06,0.9514143400086276,True,False
54,F3bandwidth_sma3nz_amean,-0.1252220874932922,5.082138408307537e-07,0.015680571196177724,0.017114391045274128,0.4940531051123525,0.00029290238085055926,0.017114391045274128,3.4402167687004865e-06,0.6038426840262086,True,False
3,F0semitoneFrom275Hz_sma3nz_percentile500,-0.12479115624376731,5.564131939261367e-07,0.015572832676656346,-0.013779562733325095,0.5819041538745199,0.0001898763491216418,0.013779562733325095,3.497454361821431e-06,0.6919941289318614,True,False
38,logRelF0H1A3_sma3nz_amean,-0.11994721478493975,1.5092045543682178e-06,0.014387334334664468,-0.06827993297702362,0.006306653611974735,0.0046621492473468374,0.06827993297702362,8.854000052293544e-06,0.014230397893686582,True,True
25,mfcc2_sma3_stddevNorm,-0.11577844385904378,3.455762324385853e-06,0.013404648062421752,-0.12165918363465973,1.065301930268311e-06,0.014800956962651858,0.12165918363465973,1.900669278412219e-05,3.906107077650474e-06,True,True
28,mfcc4_sma3_amean,0.11537188183646065,3.7409723991586978e-06,0.013310671118486238,0.19190428598301015,9.95616571713617e-15,0.03682725497864895,0.19190428598301015,1.9365033595645026e-05,1.752285166215966e-13,True,True
83,MeanVoicedSegmentLengthSec,-0.10175475395384762,4.575399776182613e-05,0.010354029952208067,-0.02433558643525028,0.3308007546013669,0.0005922207671475374,0.02433558643525028,0.00022368621128003883,0.42189081746261287,True,False
56,F3amplitudeLogRelF0_sma3nz_amean,-0.09566661233789174,0.00012748512452816818,0.00915210071620846,-0.009949937145557895,0.69094585957065,9.900124920055278e-05,0.009949937145557895,0.0005904574188673053,0.7532848696000012,True,False
57,F3amplitudeLogRelF0_sma3nz_stddevNorm,0.0946693166213356,0.00014995389439459257,0.008962279509550688,0.002125168424210939,0.9323299143111915,4.516340831263206e-06,0.002125168424210939,0.0006443280193898151,0.9430463501078719,True,False
50,F2amplitudeLogRelF0_sma3nz_amean,-0.0945144654946029,0.00015376009553620586,0.008932984187730484,-0.008697886080481571,0.7281847084551598,7.565322226903508e-05,0.008697886080481571,0.0006443280193898151,0.7720512571572778,True,False
48,F2bandwidth_sma3nz_amean,-0.09421376857880105,0.00016141206006229435,0.00887623418981988,0.028774384744887103,0.2501628385668671,0.0008279652174467916,0.028774384744887103,0.0006456482402491774,0.3429252231653171,True,False
67,spectralFluxV_sma3nz_stddevNorm,-0.0938401510621581,0.0001714186483651394,0.00880597395136865,-0.03440735296502443,0.16907094221608496,0.0011838659380597756,0.03440735296502443,0.0006558626546144464,0.23997165991960445,True,False
51,F2amplitudeLogRelF0_sma3nz_stddevNorm,0.09124140149290612,0.00025890710337456575,0.00832499334638969,-0.010847348216420373,0.66470105956534,0.00011766496332827824,0.010847348216420373,0.0009493260457067411,0.7407812344198943,True,False
