file,start,end,F0semitoneFrom275Hz_sma3nz_amean,F0semitoneFrom275Hz_sma3nz_stddevNorm,F0semitoneFrom275Hz_sma3nz_percentile200,F0semitoneFrom275Hz_sma3nz_percentile500,F0semitoneFrom275Hz_sma3nz_percentile800,F0semitoneFrom275Hz_sma3nz_pctlrange02,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile200,loudness_sma3_percentile500,loudness_sma3_percentile800,loudness_sma3_pctlrange02,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0H1H2_sma3nz_amean,logRelF0H1H2_sma3nz_stddevNorm,logRelF0H1A3_sma3nz_amean,logRelF0H1A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0500_sma3nz_amean,slopeV0500_sma3nz_stddevNorm,slopeV5001500_sma3nz_amean,slopeV5001500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0500_sma3nz_amean,slopeUV5001500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/193/03b57384-ab22-4f55-8118-6af8b6b022d5.wav,0 days,0 days 00:00:02.048000,-0.6919066,-0.47545,-0.74536186,-0.49972707,-0.5417834,0.051620428,-0.38037813,-0.55463576,-0.8097506,-0.42975548,-1.0477575,2.87936,-0.25792837,-0.8425503,-1.0961183,-1.0788567,-1.1121005,-1.0832636,-0.94275206,-1.001967,-0.87552196,2.8092399,-2.2459104,1.9626157,-1.8962008,1.4747614,-1.7921284,-0.04553355,-0.92153645,-0.056814443,-0.033797797,-1.8056579,2.3558826,-1.7453246,-2.429505,1.8386831,1.90666,0.006114585,-0.6924616,-1.3133523,-0.06422566,-0.67350614,-0.6449403,-1.5978028,-1.83207,1.3851478,-1.4281405,-0.70709664,0.15262884,-2.569561,-1.7814815,1.3091158,-0.85933745,-1.3465868,0.66493064,0.22807585,-1.8751591,1.752268,2.4813828,0.31206587,-0.59998405,-1.1781905,-0.16285133,-0.09563529,1.7806803,0.7206023,-0.6834923,-0.99454427,-0.66863084,-0.20536847,-1.24058,0.07947812,-3.2126148,-0.11123482,-0.7154721,-0.045479577,2.2571762,-0.9086758,2.2278106,2.906375,-0.73524964,-2.0053906,-1.4706455,-0.18539074,-0.83498996,0.97081995,-0.1199298,-1.6602669
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/193/2dcf42d7-6030-45de-806e-8882081e1180.wav,0 days,0 days 00:00:05.120000,-0.19806944,-0.57973075,-0.06468783,-0.14543395,-0.26824898,-0.33385563,-0.42872098,-0.5152845,-0.2055771,-0.281376,-0.8955922,-0.029742232,-0.25792837,-0.6588416,-0.8882717,-0.86377907,-0.84640104,-0.8189061,-0.8481373,-0.8603514,-0.83748204,-0.14414023,-0.12208346,-0.22811219,1.4486836,-0.052700717,-1.9981608,-0.048625052,0.015059241,0.091114536,-0.42711294,-0.32642567,-0.26843292,0.24017248,-0.052184206,-0.23495896,0.89123565,0.013771104,0.71006525,-0.31910977,0.40853375,-0.27475694,0.7968326,-0.5316715,0.11494691,-0.008666787,0.063854806,0.6826319,0.9384121,-0.65238786,0.08024969,-0.014345635,0.58249646,0.008427529,-0.24943666,-0.016163478,0.021070313,0.05051782,0.096254826,-0.12662454,0.5696463,-0.38316113,0.10479415,-0.05695092,0.24666491,-0.013124645,-0.72466546,0.10292991,-0.65861994,0.031323597,1.5581547,0.017074592,-1.9090881,-0.20356902,0.15979107,-0.015998771,-1.9099376,2.0270774,0.7468977,0.63066024,-0.7061608,-0.4391161,0.015974114,-0.16536279,-0.3245442,-0.28422153,-0.40814072,-1.3071342
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/193/4efdf84b-5aa1-48f2-a991-a51ac367c140.wav,0 days,0 days 00:00:13.653312500,-0.21137193,1.4407214,-0.27246842,-0.447892,-0.32796368,-0.17981303,-0.020713009,-0.30051562,-0.03431298,-0.01076498,-0.9183295,0.074241795,-0.25792837,-0.7444327,-0.8616492,-0.83623046,-0.8355028,-0.7826434,-0.84427005,-0.7732755,-0.851637,0.032911118,-1.3429072,1.1928948,1.0362821,-0.045682587,-0.7408601,-0.013300369,-0.6763087,1.1668328,-0.8270801,0.193161,-0.74801224,0.9076666,-0.035411093,-0.082422554,1.5110993,0.02518222,-0.33833587,0.95957315,0.3944873,-0.5320008,0.24481998,1.3209047,-0.59705365,0.51661444,0.4440996,1.6282154,-0.15515402,1.7920815,-0.5614593,0.4542555,0.19444019,0.47856808,-0.33899835,-0.05607462,-0.5110087,0.3906921,0.5508118,-0.41700655,-0.968393,1.0289414,-0.12662835,-0.05041708,-0.46289933,0.025926596,-0.73151183,0.20546652,-1.6558787,0.9565142,1.6683882,0.008977851,-0.7456953,1.2719185,-0.51338565,-0.07974809,0.16928898,-0.51769435,0.7100852,0.5567828,-0.706402,-0.68856746,0.0012064026,-0.23957348,-0.3187568,-0.08397171,0.043081447,-1.3888963
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/193/843f952e-1af2-4ffb-9dd1-3f4b4afd9654.wav,0 days,0 days 00:00:06.144000,-0.5161753,-0.6780059,-0.3253904,-0.4546169,-0.54587406,-0.45057788,-0.45963034,-0.52022886,-0.13415915,-0.25201473,-0.91731054,-0.2476163,-0.22208977,-0.6434932,-0.89115685,-0.87446177,-0.9585277,-0.92964274,-0.9040617,-0.8615325,-0.8526646,-0.34384653,0.37393147,-0.4291392,1.4103756,-0.05765362,-1.6716161,-0.056470133,-0.11736579,0.11533376,-0.7991941,-0.6794135,-1.1640551,0.09249885,0.054045986,-0.3086723,1.460579,0.010290984,1.1618378,-0.28204393,0.67299867,-0.451862,0.923925,0.24872568,0.32268718,-0.1783943,0.4095982,0.7862922,1.0727291,-0.28807017,0.2379116,-0.124278225,0.7460846,-0.23731036,-0.0250109,1.0950224,0.17905934,-0.07331313,-0.06857511,-0.1779352,0.7512127,-0.3375978,-0.07773241,-0.042350534,0.05992854,-0.00862649,-0.7404382,-0.14860298,-0.046759225,-0.08010128,1.3573945,0.019355403,-1.6050373,-0.25540182,-0.18357684,0.07445984,-1.2432204,1.4967588,0.06847446,0.32427138,-0.7282524,-0.76891863,-0.32947928,-0.07952878,0.005776944,-0.19641146,-0.4048672,-1.4120561
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/193/fd4770c5-69be-40ee-86f0-4942f8699206.wav,0 days,0 days 00:00:18.090687500,-0.25047922,-0.49565974,-0.21421178,-0.15592003,-0.20456567,-0.05988989,-0.36160076,-0.4378362,0.03446949,-0.10369739,-0.90020156,-0.661931,-0.13584489,-0.6112446,-0.8888366,-0.8905839,-0.8682052,-0.91111094,-0.8534632,-0.8628729,-0.8418681,-0.5336494,-1.7120068,2.4857635,2.1227207,-0.07792125,-0.63315225,-0.020238128,0.079615094,0.07336336,-0.65138745,0.10475488,-0.38459083,0.8030748,0.014381527,-0.16497093,0.70443916,0.01587622,-0.26572853,0.09202012,0.22054096,-0.69082797,0.11608671,-0.41210437,-0.40045446,0.43633416,0.58344716,0.43719083,-0.34483317,1.1570337,-0.470059,0.48174772,-0.06090002,0.42948106,-0.11868572,0.5150444,-0.40099743,0.4068048,0.2655835,-0.022569727,-0.672251,0.56823474,0.032061666,-0.05796812,-0.7541359,0.038798653,-0.7284309,-0.61263883,-1.4225756,0.79527664,1.6968843,0.00720567,-0.6281326,0.4357746,-0.10542569,0.0059933425,0.8816856,-1.7487814,0.20029883,-0.6730248,-0.7085099,0.7532559,1.3710253,-0.32142958,-0.43237326,-0.448549,-0.48344123,-1.4357524
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/206/17508a8b-e7ce-4e7b-ad84-4c3c9a14fcbf.wav,0 days,0 days 00:00:05.120000,-0.45863706,-0.5720242,-0.38786918,-0.22961906,-0.41333067,-0.17409241,-0.43646884,-0.51047045,-0.2273918,-0.20460285,-0.99165523,-0.13949506,-0.25792837,-0.72201854,-0.9670995,-0.9453493,-0.95369667,-0.9504508,-0.93913496,-0.9133344,-0.8720577,-0.3678731,0.18071418,-0.422051,1.0206451,-0.052218612,-1.0931864,0.08885986,0.09605588,0.080196515,-0.9774128,-0.59010816,-0.8361797,0.83855766,0.27736223,-0.36769426,1.6184644,0.018408379,0.79905194,-0.5018869,0.20523441,-0.48397622,0.17663684,-0.9167867,-0.3363938,0.35086632,0.22395213,0.63662946,0.4996674,0.5500379,-0.36886388,0.35238835,0.5666746,-0.45921722,0.18230085,0.084526435,-0.42305103,0.47026506,-0.11104444,0.08326494,0.75888723,-0.5464916,-0.32182026,-0.049531117,0.41916633,-0.014490905,-0.75130427,-0.6543547,-0.025743086,-0.16265225,1.145028,0.016974488,-1.3657453,-0.29491475,0.019071374,-0.008451245,-2.104869,2.478363,-0.08390133,0.54894036,-0.737498,-0.27394533,0.24665652,-0.23946619,-0.28457847,-0.27526525,-0.37601435,-1.683559
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/206/59e2ba48-9a63-44b2-91c4-345c9fa4df81.wav,0 days,0 days 00:00:04.778687500,-0.30113244,-0.4248362,-0.1650833,-0.2740535,-0.32493395,-0.30199003,-0.33118817,-0.35977787,-0.25629032,-0.21274143,-0.95109475,-0.31691587,-0.2141759,-0.67683476,-0.92213553,-0.90821797,-0.9411717,-0.92848986,-0.89432305,-0.86859846,-0.8563944,-0.4042506,0.25025037,-0.5538153,1.424825,-0.063148245,-0.8948766,-0.0023898005,-0.08362719,0.11017642,-0.6024916,-0.7432978,-0.7071563,0.13069892,0.14409123,-0.31012326,1.4509392,0.0104034245,0.7291984,-0.3316981,0.3465691,-0.35701066,0.07522742,1.0673437,0.03195532,0.09404513,0.34506944,0.755894,-0.00538276,-0.37479246,-0.0037475415,0.09559023,0.5457074,-0.70840377,0.12175687,0.28275108,-0.030864593,0.11266415,-0.18816361,0.14569086,0.5929949,-0.3879899,-0.256909,-0.035299543,0.36558577,-0.011096172,-0.74075806,-0.35745403,-0.37510866,-0.06766176,1.3820175,0.010417212,-1.0776113,-0.5545291,-0.118083104,0.02070304,-1.4560324,1.6399058,-0.44862595,-0.12173092,-0.73532456,-0.11606138,0.1702521,-0.19111301,-0.16830564,-0.32063055,-0.4681903,-1.5102714
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/208/747add24-f965-4810-b4db-200cb1a81a18.wav,0 days,0 days 00:00:04.096000,-0.46965307,-0.6473416,-0.32020444,-0.41987923,-0.45603898,-0.31931314,-0.43844965,-0.51805776,-0.29556945,-0.33201966,-0.93368465,-0.66077685,-0.24429005,-0.61000097,-0.9202375,-0.8997862,-0.9375119,-0.9535899,-0.89867234,-0.9203646,-0.8591608,-0.792698,0.5074427,-0.5781916,1.2391894,-0.057314053,-1.1763612,-0.83049953,0.07615803,0.085631184,-0.6470028,-0.5835349,-0.17085876,0.7978424,0.15632293,-0.40627712,1.1290152,0.010164697,0.4976847,-0.5810951,-0.075619236,-0.12105631,0.3908831,-0.18371633,0.3991154,-0.18221043,-0.1558034,0.8037493,0.1010687,-0.041868445,0.3920248,-0.22952801,0.05079945,-0.472732,0.22693779,-0.8869145,0.32693705,-0.18967326,-0.039887995,0.08446254,0.3603192,-0.30876288,-0.3189443,-0.030196413,0.50714356,-0.018151931,-0.7487003,-0.72605103,-0.34608534,-0.044198625,1.076089,0.012796902,-1.2152311,-0.4040675,0.1832021,-0.019907778,-2.2100778,2.2631593,0.47394255,0.28811935,-0.7113623,0.4749907,0.5530853,-0.20112698,-0.32307518,-0.4534165,-0.43528003,-1.57743
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/208/c0fe686a-6017-48a5-bb9f-c9ad85c196fb.wav,0 days,0 days 00:00:04.437312500,-0.21268897,-0.27794558,-0.2093622,-0.2290035,-0.19551471,-0.05177468,-0.4036065,-0.48422158,-0.19346428,-0.28434518,-0.9172217,-0.4472869,-0.19049603,-0.62501335,-0.8984691,-0.888814,-0.92469996,-0.90878254,-0.8769189,-0.86203396,-0.8478124,-0.52139866,0.24677132,-0.39084643,1.3475065,-0.060634855,-0.77479595,-0.014443783,-0.14266488,0.12999861,-0.46858522,-0.5135658,-0.7873,-0.14120315,0.25302503,-0.3162308,1.2738848,0.01203753,0.58122075,-0.44608334,0.5336657,0.031569075,0.3147752,0.43423444,0.21312934,-0.0440727,0.1727304,1.3033233,0.48440507,0.04732992,0.16026239,-0.023470463,0.40350366,-0.17272016,-0.5432688,0.40733185,0.14981364,-0.053413674,-0.23456286,0.08008292,0.42844522,-0.25086412,-0.3027631,-0.019424673,0.2974601,-0.0063798525,-0.73738664,-0.27009287,-0.2904307,-0.041894957,1.2112426,0.010807142,-0.9245381,-1.4981586,-0.19237226,0.08386675,-1.3070542,1.3396705,-0.15848428,0.051892173,-0.7180703,-0.1297014,0.34378597,-0.19540471,-0.33236107,-0.3870235,-0.40375355,-1.4134704
/scratch/phecker/audeering-cache/cache_root-auglib/c73f462a/-1552144743233267369/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/facebook_denoiser-master64-converted_int16_dithering/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/282/30d187a9-e676-48a2-acbb-d638c56858ee.wav,0 days,0 days 00:00:03.413312500,-0.24907278,-0.531927,-0.047438033,-0.19309007,-0.2947794,-0.3948,-0.43804365,-0.5099337,-0.24954256,-0.3386653,-0.8955519,-0.6844467,-0.20982343,-0.5680634,-0.8843799,-0.87008363,-0.8917883,-0.9365436,-0.85144293,-0.82153374,-0.8417845,-0.8769433,-0.10168229,-0.27482152,1.8863933,-0.07297553,-1.1866161,-0.440429,-0.19647408,0.116593555,-0.5705454,-0.680446,-0.4639444,0.54958236,0.23938556,-0.3824196,1.5590769,0.009245128,0.3560615,-0.46946007,0.758539,-0.2314386,0.29661417,0.19791716,0.50500256,-0.19058156,0.43960643,1.9526868,0.008713604,0.4151205,0.49859303,-0.22206992,0.42918855,0.2186421,0.08250978,0.058288652,0.49212855,-0.28761733,-0.06689438,0.13932763,0.0723416,-0.2758205,-0.44596785,-0.00040952905,0.20782305,0.004595202,-0.7378541,-1.1735281,-0.96075594,-0.06438756,1.5699754,0.0021031944,-1.120043,-0.5077011,-0.14050356,0.022903293,-1.4061521,1.5226299,-0.21968205,0.26775363,-0.70004106,0.8059799,1.0757359,-0.23259945,-0.2363204,-0.5497934,-0.5608845,-1.3877192
