file,start,end,F0semitoneFrom275Hz_sma3nz_amean,F0semitoneFrom275Hz_sma3nz_stddevNorm,F0semitoneFrom275Hz_sma3nz_percentile200,F0semitoneFrom275Hz_sma3nz_percentile500,F0semitoneFrom275Hz_sma3nz_percentile800,F0semitoneFrom275Hz_sma3nz_pctlrange02,F0semitoneFrom275Hz_sma3nz_meanRisingSlope,F0semitoneFrom275Hz_sma3nz_stddevRisingSlope,F0semitoneFrom275Hz_sma3nz_meanFallingSlope,F0semitoneFrom275Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile200,loudness_sma3_percentile500,loudness_sma3_percentile800,loudness_sma3_pctlrange02,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0H1H2_sma3nz_amean,logRelF0H1H2_sma3nz_stddevNorm,logRelF0H1A3_sma3nz_amean,logRelF0H1A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0500_sma3nz_amean,slopeV0500_sma3nz_stddevNorm,slopeV5001500_sma3nz_amean,slopeV5001500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0500_sma3nz_amean,slopeUV5001500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
/scratch/phecker/audeering-cache/cache_root-auglib/528b320d/633979376087359973/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/raw/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/193/03b57384-ab22-4f55-8118-6af8b6b022d5.wav,0 days,0 days 00:00:02.048000,0.08650863,0.07867356,0.11285346,0.10345014,0.11125324,0.030145062,-0.72535765,-0.701095,-0.50969297,-0.48394004,-0.75392807,1.9477081,-0.68097615,-0.75147647,-0.806574,-0.7438749,-0.771082,-0.78109634,-0.69416714,-0.7813278,-0.57046753,0.03297714,0.30738226,-0.4482975,-0.031003958,0.011025829,-0.8043401,1.2674271,0.84115875,-0.017287932,-0.3272844,-0.99838483,1.363996,0.41921312,-1.0512573,0.2174123,0.84638226,-0.025115814,0.18573846,-0.16054864,-0.06664959,-1.7304505,0.08124251,-0.4678363,-0.9298691,0.42121792,-0.08540331,-1.6339937,0.36277914,-1.0524417,-0.8941414,0.5647692,0.1476701,-1.5128132,1.0529015,-0.49993914,-0.9475254,0.7412029,1.2002012,-1.2207205,0.26970065,-1.2504392,-0.46008804,-0.09292897,1.0010054,-0.020705355,-0.5347791,-0.33192235,0.46224487,-0.55650514,-0.97692376,0.051975735,-3.0544038,-0.0595395,-0.5360781,0.019169379,-1.0709835,1.2688206,-0.8431604,0.17256866,-0.5135097,-1.3745536,-0.98244447,-0.13411297,-0.45498773,-0.12306779,-0.09480508,-0.1456529
/scratch/phecker/audeering-cache/cache_root-auglib/528b320d/633979376087359973/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/raw/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/193/2dcf42d7-6030-45de-806e-8882081e1180.wav,0 days,0 days 00:00:05.120000,0.20211717,0.789123,0.3314184,0.28211263,0.2189,-0.2172812,0.79708606,1.7715018,1.2548923,1.5858848,-0.6747255,0.8060515,-0.6704582,-0.6810905,-0.6439457,-0.51732415,-0.51202655,-0.5136742,-0.56463474,-0.6113093,-0.5610711,-0.3430542,0.5688125,-0.20909081,1.1335051,0.013632992,-1.2797525,-0.88439935,0.58019614,-0.005042068,0.47723937,1.3157673,0.6590832,0.21381645,-0.4361717,0.07358941,0.8114652,-0.024989272,1.0020204,-0.017802993,0.4126744,0.3737267,0.44222844,0.15691961,0.59020585,-0.19815663,0.374426,0.62857914,0.5078797,-0.21325354,0.5385767,-0.34613466,0.51511556,0.39860985,0.26040682,0.5581405,0.4914361,-0.39205897,-0.46628463,-0.97266173,0.7996445,0.15759373,-0.42119643,-0.22044216,-0.024546301,-0.0055632214,-0.58039486,-0.008775456,0.31275985,0.6856773,1.4284339,0.031330716,-1.4405754,-0.13696992,0.3767724,0.035164576,-1.0857325,1.1335776,-0.8027738,-0.21008728,-0.5086527,-0.12438269,0.6912053,-0.13725033,-0.14519086,-0.39806187,-0.43587506,-0.07026094
/scratch/phecker/audeering-cache/cache_root-auglib/528b320d/633979376087359973/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/raw/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/193/4efdf84b-5aa1-48f2-a991-a51ac367c140.wav,0 days,0 days 00:00:13.653312500,0.051322985,1.1680695,0.2258159,0.1415203,0.12876272,-0.20587234,1.2595387,1.3996292,0.3166003,0.48623163,-0.69559354,0.789531,-0.68262637,-0.7367498,-0.6284842,-0.48783338,-0.51907074,-0.4704451,-0.5584176,-0.52334374,-0.5687066,-0.313511,0.1717126,0.14957425,0.9675778,0.013008104,0.035228983,0.122617975,0.32273993,0.0022602638,1.1107781,1.8558038,0.46254298,0.57070506,-0.3565761,0.07383314,2.2117033,-0.025015866,0.48282325,-0.022025073,0.389565,0.14580904,0.49262834,0.3100565,-0.0027677037,0.032005083,0.43929446,1.2656175,0.39089596,1.5274545,-0.032481015,-0.003949529,0.4093536,0.5680141,0.24924524,0.24105878,-0.0040055783,-0.11688612,-0.30318144,-0.44560665,0.09924136,0.9253048,-0.3959219,-0.22380613,-0.6989518,0.003483619,-0.5802656,-0.1146343,-0.06972996,1.6600013,1.6664169,0.026785385,-0.36285716,0.7851812,-0.29326832,-0.07229969,-0.9630732,0.8350861,-0.81360847,-0.22681332,-0.5149616,-0.3234901,0.14823085,-0.14430939,-0.091984086,-0.32607967,0.010795367,-0.106335185
/scratch/phecker/audeering-cache/cache_root-auglib/528b320d/633979376087359973/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/raw/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/193/843f952e-1af2-4ffb-9dd1-3f4b4afd9654.wav,0 days,0 days 00:00:06.144000,-0.07238477,1.4351101,-0.47405326,0.10931477,0.04705195,1.3323256,-0.040227763,0.3243345,0.7840219,0.90975195,-0.6924077,0.57682747,-0.67537946,-0.66934294,-0.64407027,-0.51453066,-0.6336845,-0.6375315,-0.6263764,-0.61363906,-0.5670564,-0.38356033,0.8395647,-0.24505523,0.9634433,0.01752499,-1.0751816,-2.0165586,0.3452714,0.0062725665,0.4977492,1.6482894,0.67428046,0.14287226,-0.7316053,0.1626288,1.9452467,-0.024999766,0.8879477,0.20056044,0.38646272,0.256341,0.5232869,0.18073219,0.8563814,-0.31938356,0.38084024,0.8277053,0.6940811,-0.027946051,0.7872015,-0.5088071,0.48854405,0.098486625,0.18296632,0.7378958,0.75366765,-0.60136884,-0.63322425,-0.9037118,0.90383065,0.1931286,-0.51562285,-0.157052,-0.17134073,-0.00418428,-0.58535546,-0.14427145,0.58121246,0.40105522,1.312629,0.031086423,-1.0202674,-0.21539176,0.059957515,0.047287837,-1.0378025,1.1871761,-0.8353827,-0.08432998,-0.51689416,-0.38762492,0.9243763,-0.13175996,0.11363714,-0.4179304,-0.4182719,-0.09753728
/scratch/phecker/audeering-cache/cache_root-auglib/528b320d/633979376087359973/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/raw/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/193/fd4770c5-69be-40ee-86f0-4942f8699206.wav,0 days,0 days 00:00:18.090687500,0.1452972,1.0455405,0.22776707,0.2605494,0.24125226,0.10824904,0.099293925,-0.0059805694,0.7884369,0.37555757,-0.6898678,0.16438127,-0.6472882,-0.6564449,-0.6523886,-0.5434074,-0.5463751,-0.58141303,-0.57902175,-0.6109766,-0.56756586,-0.47516888,-0.34757555,0.79366887,1.6523945,-0.0028926986,-0.41831464,0.2394059,0.6593321,-0.0088399695,0.70538324,1.2141068,0.39783666,0.38945535,-0.3781979,0.079051286,1.4410101,-0.02500545,0.44832024,0.048862446,0.4731991,0.21193443,0.45470503,0.06495496,0.033684045,0.027033934,0.51829076,0.88623214,0.45060837,1.2546719,-0.01307684,0.012549032,0.39229405,0.617553,0.3912103,0.7708418,0.025537774,-0.10828539,-0.5041521,-0.5223178,0.28755543,1.2510227,-0.3652288,-0.30973962,-0.94989616,0.0046931054,-0.5832398,-0.27002802,0.03977627,2.1528368,1.6785258,0.026553858,-0.30811915,0.41380364,0.055868547,0.042759486,-0.74940014,0.610304,-0.69046724,-0.2632569,-0.51220673,0.790085,0.7043829,-0.18007897,-0.13878469,-0.37925243,-0.34645864,-0.12253601
/scratch/phecker/audeering-cache/cache_root-auglib/528b320d/633979376087359973/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/raw/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/206/0d13a82a-3f49-41b6-aff1-f5f5fb0f883c.wav,0 days,0 days 00:00:14.677312500,0.2500734,-0.5662829,0.33290765,0.24333774,0.16436759,-0.3757186,-0.31648967,-0.2862911,-0.03887149,0.16774733,-0.7586686,-0.07702736,-0.68759507,-0.7055619,-0.7349887,-0.63735956,-0.63806057,-0.66073376,-0.6524663,-0.6678063,-0.6037797,-0.16060245,-0.16534606,0.5814841,0.98287076,0.0065094535,-0.5264976,0.31780717,0.104847565,0.0020842967,-0.10727306,0.70064414,0.3612279,1.0059818,0.46418095,0.005776278,0.18518624,-0.025061956,0.7115365,-0.098770365,0.42368752,0.043180585,0.5023595,0.1706729,-0.05934799,0.07980195,0.44658786,0.92654985,0.61165786,0.8011557,-0.09696987,0.087721325,0.3719714,0.1551859,0.63489294,0.66620225,-0.10104808,0.05568335,-0.37295464,-0.24338146,0.5811803,0.5472387,0.19917211,0.05658215,0.12681302,0.00116548,-0.6145892,-0.25147378,0.33323297,1.3698417,1.1999714,0.029193563,-0.35047182,0.53947234,-0.0608038,0.047710616,-0.10193633,0.17279275,-0.22879711,-0.14173584,-0.54712546,1.0508121,1.081043,-0.20435925,-0.22041182,-0.4027293,-0.46935734,-0.30212158
/scratch/phecker/audeering-cache/cache_root-auglib/528b320d/633979376087359973/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/raw/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/206/17508a8b-e7ce-4e7b-ad84-4c3c9a14fcbf.wav,0 days,0 days 00:00:05.120000,0.19138286,-0.33333352,0.23239759,0.24256547,0.15313865,-0.1533794,-0.62027264,-0.6059872,-0.09870582,0.061299793,-0.74928653,0.63988775,-0.7071939,-0.7317778,-0.71583873,-0.59809905,-0.6050336,-0.6351911,-0.6725899,-0.6620986,-0.6011222,-0.11744563,0.65391225,-0.19516912,0.7161724,0.016936189,-0.6627355,0.6189732,0.1349537,0.0049149347,-0.44117272,-0.29897955,-0.1328755,1.3865898,0.56606376,0.0051614936,0.5510856,-0.025075413,1.0618205,-0.11690885,0.44692543,0.2792311,0.4360886,0.17064922,0.5584693,-0.19200303,0.4625238,0.81950647,0.5252894,0.43143559,0.4853362,-0.31788725,0.4880752,-0.030402321,0.43559414,0.08418824,0.4594737,-0.39413354,-0.52799934,-0.46743223,0.8461272,0.0089999465,0.009865852,0.11116207,0.046122536,-0.0029986824,-0.6141639,-0.049591582,0.57951504,0.31672847,1.1985135,0.029832678,-0.8732688,-0.2514335,0.14480603,0.039539136,-0.5815379,0.649128,-0.49606222,-0.18151455,-0.5474427,0.007453489,0.15957539,-0.08705255,-0.013712177,-0.38757616,-0.33387694,-0.21414143
/scratch/phecker/audeering-cache/cache_root-auglib/528b320d/633979376087359973/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/raw/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/206/59e2ba48-9a63-44b2-91c4-345c9fa4df81.wav,0 days,0 days 00:00:04.778687500,0.25051087,-0.16301385,0.31920075,0.2286938,0.18943089,-0.26996672,-0.49820358,-0.43039975,0.3070062,0.70092463,-0.72577244,0.616705,-0.70345134,-0.70192873,-0.6771033,-0.54488564,-0.60291123,-0.6098052,-0.6169529,-0.6007505,-0.5968369,0.18504891,0.44069868,-0.017616339,1.0879778,0.00957615,-0.6825519,0.66412574,-0.11418388,0.032377284,-0.20051557,0.5102198,0.017599087,0.2497784,0.5444796,0.005831121,0.51140845,-0.025095778,1.0675893,-0.09564762,0.467459,0.29144683,0.35536712,0.3071495,0.66078186,-0.2273211,0.48579493,0.81226075,0.4410856,0.30783442,0.60038424,-0.37659404,0.4773898,0.080230884,0.47496876,1.604102,0.5920414,-0.4950866,-0.5836069,-0.3247447,0.76928735,0.211353,0.06882959,0.08571157,-0.0424759,-0.0031569013,-0.6081382,0.31246156,0.4332037,0.5591209,1.4858477,0.02818483,-0.65628284,-0.5220422,-0.0708886,0.06233974,-0.51869357,0.5830158,-0.3877517,-0.18875717,-0.54577416,0.2750035,0.27809158,-0.08705255,-0.004032954,-0.38976282,-0.42630583,-0.1636037
/scratch/phecker/audeering-cache/cache_root-auglib/528b320d/633979376087359973/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/raw/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/206/7513296c-30ce-41a6-a898-5d27a4a93f82.wav,0 days,0 days 00:00:08.192000,0.28873995,-0.32119763,0.36064932,0.2880528,0.21138704,-0.3125147,-0.44669825,-0.50508106,-0.47118032,-0.47817346,-0.74872893,0.428593,-0.7147267,-0.72576696,-0.6865469,-0.55160093,-0.60648876,-0.6070476,-0.6032671,-0.51953715,-0.60326874,0.31722042,0.01235587,0.5501496,1.0775461,0.008826015,-0.40710175,0.261138,0.084895,0.0046758815,-0.49326274,0.28220606,0.08023792,1.5472046,0.8629183,0.00072777254,0.7663633,-0.025096172,0.8107523,-0.07038041,0.44431844,0.05682351,0.52083135,0.4877493,0.1274157,-0.012005529,0.39705047,0.89832634,0.5382836,0.5336879,0.1281163,-0.108588025,0.43415174,0.34715286,0.43931204,0.56322366,0.11969759,-0.1798513,-0.51237583,-0.47871053,0.61536795,0.5197503,-0.07010275,0.16780704,-0.018710455,0.0011169151,-0.6170069,0.908971,0.31320715,0.6218496,1.4885925,0.025845848,-0.7262755,-0.39513785,0.3066029,0.032622002,-0.26387665,0.2506724,-0.4481092,-0.18468064,-0.54643005,-0.05927035,-0.22209089,-0.07592917,0.015688973,-0.31014815,0.18343581,-0.2312809
/scratch/phecker/audeering-cache/cache_root-auglib/528b320d/633979376087359973/0/data/share/aisoundlab-mental_wellbeing_at_sea/data_mwas_processed-final_data/raw/pilot-mental_wellbeing_at_sea/data/0fd438-2fe8a81/206/d63f8f1f-3540-479f-9da7-daea1efee736.wav,0 days,0 days 00:00:01.706687500,0.14278077,-0.32739452,0.1351102,0.14400086,0.11803962,-0.0068934737,-0.7272489,-0.701095,-0.5132707,-0.48394004,-0.79210955,2.194066,-0.7123005,-0.7786459,-0.83315843,-0.7630307,-0.76939225,-0.7554741,-0.6481823,-0.7813278,-0.6048498,1.7886964,0.14517081,-0.30186942,-0.16389048,0.015792077,-1.1700957,-1.0281941,0.42099687,-0.018928314,0.3425856,-1.0670872,0.3618754,-0.87836343,-1.1243861,0.21507846,1.015828,-0.0251067,0.47306785,-0.14381526,-0.07533958,-1.7341369,0.22070731,-1.3957793,-0.92617464,0.4165334,-0.028429642,-1.7475764,0.58527154,-1.2725734,-0.8885059,0.553352,0.117428675,0.7368432,1.5258827,-0.7207015,-0.95089835,0.74635714,1.4257184,-1.024673,0.28371364,-1.0121568,-0.093387656,0.19563943,1.3139666,0.045704473,-0.5481911,-0.37183255,0.7295532,-1.3700396,-0.75648665,0.04224131,-3.6156855,-0.047638558,-0.45580816,0.019899966,-0.31492653,0.5531378,-0.33795875,0.12057931,-0.5519804,-1.3077883,-0.8818067,-0.15293714,-0.45498773,-0.19480538,-0.7521346,-0.27241114
